0:1:58|0:2:3|行进途中，一个头戴钢盔的日本士兵正迎着冬日清冷的阳光仰面休憩。
1:35:13|1:35:24|随后用力一推，那名中国军官踉跄着，[唐太太]看着中国军官逐渐靠近，也忍不住迈着步子向他挪去，仿佛这样还能离[唐天祥]再近一些。
1:35:26|1:35:45|与中国军官擦肩而过之时，终于还是没能控制自己，调转脚尖，直直地向[唐天祥]的方向走了过去。[拉贝]先生则在另一旁的木栅栏外，看到中国军官靠近，伸出手，拍了拍他的肩膀。
1:35:45|1:35:49|[唐天祥]则微笑着，站在这头的木栅栏外。
1:35:59|1:36:13|话音刚落，[唐太太]一把扒住木栅栏上的铁丝，丝毫不在意那戳进皮肉的尖刺。远处的拉贝先生则与中国军官一同向这边望来。
1:36:18|1:36:24|[唐太太]虽然竭尽全力，装作镇定的模样，不让自己发出太大的哭声。
1:36:25|1:36:43|可止不住的颤抖，还是通过那铁丝，清晰明了地震动着唐先生的耳膜。唐先生一边竭力伸出手，牢牢抓住[唐太太]的指尖，一边又逐渐松开，扭头对傅田先生拜托斩。
1:36:43|1:36:52|看着傅田先生搀扶着[唐太太]，一点点地远离自己，唐先生无力地将胳膊放下，搭在铁丝网上，虚虚地撑住自己。
1:36:54|1:37:6|原本低眉慎眼，下垂的嘴角，在看到[唐太太]再次回头后，又强撑着荡起了弧度。然后又奋力地挥挥手，示意[唐太太]安心地离开。
1:37:6|1:37:14|终于，[唐太太]艰难地转过身，在傅田先生的搀扶下，弯着腰，一点点迈步向拉贝先生走去。
1:37:24|1:37:42|一处低矮的山背面，强行被除了草的沙地上，被钉入了三个将近两米的树桩子。一列六人小队整齐地听着口令，站定在那树桩前，抬起枪，就冲树桩下被蒙着双眼的人开着枪。
1:37:42|1:37:48|此时，[唐天祥]被绑着双手，架到了这简易的刑场前。
1:37:56|1:38:19|看了看周围的环境，赞叹道。然后上前一步，将[唐天祥]的眼镜摘了下来。日本士兵见状，就要用布蒙上他的双眼，可[唐天祥]趁机脱下，怎么也不肯戴上。日本军官摆摆手，然后重新将眼镜架在了[唐天祥]的耳朵上。
1:38:19|1:38:25|或许是[唐天祥]用力甩额前的动作激怒了他，他一把将烟拽走，狠狠地踩在地上。
1:38:51|1:39:10|没一会儿，[唐天祥]就被按在了最中间的那根树桩前。几个日本士兵先将早前失手捆上的麻绳解开，再将那人随意地丢在一旁的草丛中。最后，强行将[唐天祥]抵在树桩上，拿起那根麻绳，不断地缠绕在他的身上。
1:39:10|1:39:17|日本军官就站在不远处，[唐天祥]的正对面，看着那麻绳穿过他的胸腹，又穿过他的双膝。
1:39:20|1:39:38|可听到瞄准的命令，却下意识地背过了身。六枪齐发，[唐天祥]就这样结束了生命，不知是哪一颗子弹刚好将他胸腹处的麻绳打断。重力原因之下，[唐天祥]就向
1:39:40|1:40:3|上半身竟轻微地荡在了空气中。而指挥看着这样的场景，忍不住抬起手枪，就冲着他的脑袋补了一枪，随后命令小队收起长枪跑出刑场。终于，这里就只剩下被枪决后的一地尸体和背身站在远处的日本军官。
1:40:9|1:40:26|一阵威风裹挟着沙石刮过，日本军官还是忍不住回了头，看着[唐天祥]还悬挂在空中的尸体，双手插兜，抬起脚就向他走去。可最终还是选择站定在不远处，定定地望着他。
1:41:21|1:41:38|南京城内，所有百姓听着口令，逐渐被划分为两个阵营，一队是妇女儿童，一队是所有男性。[顺子]此时正抱着小男孩站在三人一排的队伍中，单手举过头顶，撑起竹竿，丈量着身高。
1:41:40|1:42:0|队伍外，一个日本军官拦下一名青年男子，先摸了摸他的棉帽，摸了摸他的眉心，便命令属下将他带到另一边去。通过竹竿检测的[顺子]和小男孩，分别来到登记处前。小男孩面前的士兵看了一眼，就将他打发走了。
1:42:0|1:42:6|[顺子]面前的士兵摸了摸他的全身，没发觉异常后，就将他赶去了身后的登记处。
1:42:9|1:42:25|登记处的士兵正在给一个个通过检测的百姓发放他们有印章的良民证。被随意打发走无需良民证的小男孩，扭头看到[顺子]手中的纸，连忙转身低下头。
1:42:25|1:42:32|可下一秒，一个日本军官就夺走[顺子]手上的证明，撕成两片后扔到地上，拽着他就向后方走去。
1:42:35|1:42:51|随便叫来两个日本士兵，就将[顺子]推给了他们。匆忙间，[顺子]发现了一条麻省外的江老师。
1:43:1|1:43:19|突如其来的骚乱惹得日本士兵不得不开枪警告，可一个没看住，江老师那边的队伍中就钻出来一个妇女，直直地朝被拉上卡车的丈夫追去。互乱中，[角川正雄]来到了良民的队伍外。
1:43:19|1:43:36|外国女人在汹涌的人潮中扯着嗓子高呼，要与[角川正雄]的长官对话。同在安全区工作的外国男子帮腔。只是说几句话，[角川正雄]看了看四周，随后冲动在维持秩序的日本士兵说。
1:43:40|1:43:43|一同去见[角川正雄]的长官，可还是被拽了回去。
1:43:57|1:44:10|也就是[姜淑云]，紧紧地跟在脚穿身后，一边听着外国男同事说日本人肯定不会放人，一边捏紧拳头，直呼自己不怕日本军队。
1:44:10|1:44:23|终于，[姜淑云]被带到了日本军官面前，她喘了口气便大声表示，希望日本军官能够听听这些女人们为了丈夫和儿子的哀求，毕竟她们都是很普通的市民。
1:44:24|1:44:45|况且自己的同事现在也在那辆卡车上，可是他们并不是军人。每一会儿，[角川正雄]就带着[姜淑云]一行三人回到了江老师这边。[角川正雄]叫走两个士兵后，[姜淑云]就告诉江老师有个好消息。
1:45:23|1:45:33|但[角川正雄]只是站定在人群外，低着头看着眼前黑压压的一片。[小江]老师此时逆着人群向后走去，边走边将围巾挪在头上。
1:45:49|1:46:1|日本士兵一听带着眼镜的陈老师是[小江]老师的丈夫，干脆一把将他推向卡车。接着，[小江]老师还住他的肩膀，挤在人群中压低身体赶忙离开。
1:46:16|1:46:24|一个中年妇女从卡车上先领走了自己的儿子，下一秒看到另一辆卡车上的丈夫便急忙冲了过去。
1:46:29|1:46:39|随后意识到面前的众人听不懂日语，又冲着女人竖起一根手指。于是，母子俩便被赶回了良民队伍中。
1:47:4|1:47:22|被押在卡车区的[顺子]此时看到了人群中四处张望的小男孩，也就是小豆。随后，小豆连忙拨开拥挤的人群，直直挤向了[顺子]所在的那辆卡车。可下一秒，就被一个面带刀疤的日本军官一掌拽开。
1:47:22|1:47:26|无奈之下，[小豆]只好跟在又领走一个男人的[小江]身后。
1:47:28|1:47:50|虽然[小江]将围巾换成了棉帽盖在头上，但此时，一个留着八字胡的日本士兵，似乎还是发现了异常。[角川正雄]虽然看在眼里，可只是看了看，并没有什么动作。而那八字胡士兵却找上了日本军官，告知了自己的所见。
1:47:50|1:47:55|听着[顺子]阵阵的呼救，[角川正雄]站在人群外，紧紧关注着[小江]的动向。
1:48:7|1:48:23|[小江]和[小豆]刚刚趁乱将[顺子]从那辆卡车上拧下来，下一秒，枪声响彻全城。接着，[顺子]和[小豆]就被直接按在了泥地中，[小江]则被三四个日本士兵架走，压到了日本军官面前。
1:48:44|1:48:50|接着，日本军官扭头命令下属将[小江]带走。路过[蒋川]时，[小江]开口。
1:48:52|1:49:12|在[江老师]吸紧的目光下，[陆剑雄]清楚地听到，他要让自己冲他开枪。甚至在走远后，那目光依旧紧紧地锁定在自己身上。直到[江老师]被四个日本士兵争先恐后地按压着后腰向教堂处走去，那目光才被强制中断。
1:49:12|1:49:20|接着，[江老师]一行人踩着泥泞不堪的地面，越过了一众手持长枪站在教堂底部阶梯处的日本士兵。
1:49:22|1:49:39|然后一步一步跨过了教堂的台阶，眼看兴奋的士兵就要压着他走进教堂。一阵清烟自[江老师]的后脑勺飘向空中，然后他便如一滩泥一般软在了地上。
1:49:39|1:49:49|在他身后，[角川正雄]缓缓放下横起的手臂，将那正在冒烟的手枪收回了腰间。[八字湖士兵]见此，赶忙与众人追到[角川正雄]身后。
1:49:54|1:50:12|没有理会身后众人的诧异，[角川正雄]抬起脚，慢慢地向着[江老师]的方向走去。原本押送[江老师]的士兵们也都在枪响的一瞬间跳开，再一抬眼看到[角川正雄]正在靠近，只能呆愣愣地小心后退。
1:50:12|1:50:24|此时，距离[江老师]两米开外，[角川正雄]停下了前进的步伐，低头看了看仰躺在地上的[江老师]，握着手枪的右手无意识地轻晃，沉默地站了许久。
1:50:31|1:50:55|日子一天天过去，[江]穿着迎着寒风，骑着自行车来到了皇军休息所。得知[百合子]已经生病死在了前线，[江]呆愣在原地，看着婆子从门上将[百合子]的名牌慢慢摘下，然后将布袋子塞进了婆子手中。
1:51:27|1:51:45|然后推着自行车落寞地离开了皇军休息所。风和日丽的赏舞，少见的暖阳洒入南京城内。道路两边，炸毁倒塌的电线杆被强行撑起，挂在顶端的日本军旗迎着寒风鞭打着散落的电线。
1:51:45|1:51:52|城中央最大的广场上，日本士兵们正在擦拭着几只形似酒桶般的牛皮鼓。
1:51:56|1:51:59|打亮着远处用布条围在额头上的日本士兵们。
1:52:0|1:52:21|道路两旁的队列中，三三两两的日本士兵围坐在一起，手上都捧着自己兄弟好友的骨灰盒。队列前方，曾在军中担任要职的军官们则拥有简单的灵位，一块块木板竖在粗粒的地面上。
1:52:21|1:52:35|等站在牛皮鼓前的士兵们调试好之后，一个身穿和服的军官命令众人站起身，对列中的士兵们瞬间将骨灰盒整齐地挂在胸前，严肃而立。
1:52:35|1:52:51|广场另一头的日本士兵们则分为两阵，阵分后，每个打头的士兵高高举起自己所属番号的旗帜。阵前方，一众头戴日本国旗的士兵们将一个长约十米、宽约六米的木板顶在肩上。
1:52:52|1:53:17|木板之上，两个士兵相对而立，只听那身穿和服的军官一声令下，便挥起双手大力击打着正中央的牛皮太鼓。鼓点阵阵，随着节奏逐渐雄浑起来，似旋风骤雨，又似惊雷滚滚。
1:53:17|1:53:33|在这少有的寒冬暖阳中，净透出了一股肃杀之气，围在木板周围的士兵们死死地目视前方，可不同于他人的目光如举，[角川正雄]虽然站在队伍中，神情却仿佛游离在外。
1:53:33|1:53:41|鼓声暂告一段落，众人便如排练好的那般，左手竖于眼睑边，右臂贴着耳朵，直冲云霄。
1:53:46|1:54:3|此时，木板之上重新响起雷鼓，众人循着重节拍，将右手臂在空中一下一下轻点，而后奋力地呼喊。接着，[角川正雄]所在的方阵，便静止从广场另一边向着日本军官的方向走来。
1:54:3|1:54:18|在那牛皮太鼓前的阵中，[角川正雄]等人已经不再直立着身子，而是诡异般地挺直上身，却半塌着腰。向前行进时，更是右手同右脚，左手同左脚，一并轮换着向前伸出。
1:54:20|1:54:40|重复着跳满24个节拍，并握紧双拳向右膝刺去，接着双臂大开大合，奋力一击，拍出声响后，又重新换至左膝。在左右两侧均完成一次这样的动作后，又重新还原至他腰的模样，同手同脚继续向前走去。
1:54:44|1:54:56|几乎被炸得看不清前路的主街上，因为这次占领的盛典，只来得及，只来得及匆匆清扫了一遍，道路两边堆满了半溪高的石砾瓦片。
1:54:56|1:55:9|可这残破的景象，依旧不能阻挡队伍近乎狂热的情绪，不一会儿，整支队伍就沿着主街来到了城门洞正前方。而此时，众人手上的姿势也发生了变化。
1:55:10|1:55:24|原本一直将指尖冲前的士兵们此时踏着鼓点，四个重节拍过后，指尖顺势对立着平举在下巴处，做五嘴状。就着这个姿势，左右掌心交替着推向身前。
1:55:26|1:55:47|又重复四个重节拍后，推向身前的左掌，手弯一翻，刺向左膝，右掌以画虎垂至身前，与左掌保持着半拳的距禿。然后两掌心向上，自双膝前，一左一右奋力伸开，与肩膀齐平后，又再次重复着刺向左膝的动作。
1:55:47|1:55:54|而[顺子]，小豆一行人，则被关押在城门洞前的木栅栏后，被迫观看着日军庆祝占领南京的盛典。
1:55:57|1:56:7|终于，伴着一声悠扬的口号，一行人停在了城门洞不远处。冬日少见的暖阳下，[角川正雄]竟在这阳光中迷失了自我。
1:56:8|1:56:25|原本站在手牌的他，恍惚间仿佛又回到了为这场庆典彩排的时候。木台上方，士兵脱掉上衣，奋力击打着牛皮太鼓，下方则有[角川正雄]等数十人围成一个圆圈，肩扛着木台快速向前行进。
1:56:25|1:56:43|不似他人的兴奋激昂，[角川正雄]死死地盯着上方打鼓的士兵，双眼却渐渐变得无神。搁挤在[角川正雄]身后的士兵，情绪却异常地高涨，一边扛着那木台，一边放声地在[角川正雄]耳边大吼。
1:56:43|1:56:59|而[角川正雄]也在这生生怒吼中，逐渐松了手上的力道。整个人无力地将上半身摊靠在后人的肩膀处。随后，终于忍不住宣泄着自己的情绪。
1:56:59|1:57:6|如今，迎着烈日站在广场前，[角川正雄]又再一次回想起那个虚脱的自己，缓缓地闭上了双眼。
1:57:10|1:57:27|江外繁杂的小道上，缕缕阳光穿过飞扬的尘土，照向[角川正雄]的面旁。早起的鸟儿在低雅的天上叽叽喳喳唤出声响，一阵微风拂过，小道两旁的杂草堆中，蒲公英纷纷扬扬，弥散满天。
1:57:27|1:57:34|小道上，[顺子]和[小豆]双手竖于身后，慢吞吞地向前走着。
1:57:42|1:57:57|那士兵顺势从身后掏出一把短刀，快步走到[顺子]身后，抬起他的手腕，便用刀磨断了麻绳。看到[小豆]的束缚也被解除后，[角川正雄]背着双手，轻抬下巴，让二人离开。
1:57:59|1:58:13|看到背对脚穿的二人毫无反应，士兵只好上前轻轻一推。亮腔着顿了两步的[顺子]，不解地回头看去，只见那士兵摆摆手，催促着二人离开。
1:58:13|1:58:27|[顺子]不可思议地瞪大双眼，然后小心地回过头，挪着碎步紧挨着[小豆]连忙向前方走去。接着又飞速将手上的麻绳正托，搂着[小豆]的肩膀，一步一步逐渐加快。
1:58:34|1:58:43|看着二人慌张的背影，[角川正雄]站定在原地，不知是自言自语，还是询问那士兵，只听到他说。
1:58:45|1:58:58|然后他慢慢整过身，抬起眼眸看了看身旁的士兵，接着举起右手向他敬了个礼。那士兵本就十分的慌张，看到[角川正雄]如此行为，便猛地弯下腰深深地鞠了一躬。
1:59:0|1:59:20|再一抬眼，并撞见脚穿压抑又痛苦的面庞。士兵紧了紧发干的喉咙，就未能说出一句话，心口仿佛也被什么震着，压着，深吸一口气，却找不到出口。接着，他深深地看了眼脚穿，捏紧肩上的枪带，扭头向来石路走去。
1:59:30|1:59:45|繁杂的郊外小道上，响彻着[角川正雄]的云子。发出怒吼的士兵此时则转过身望向[角川正雄]，冲着他深深地鞠了一躬。再次抬起头时，孩子气般的笑容竟绽放在他的脸上。
1:59:45|1:59:51|迎着刺眼的阳光，士兵深深一笑，便踏着轻快的步子再次向来时路走的过去。
1:59:53|2:0:13|角川见此，也轻扯嘴角，静静地看着那士兵逐渐走远。然后他转过身，向[顺子]和[小江]的方向跟了过去。可下一秒，就在一处杂草坡前蹲了下来。盯着杂草堆中肆意飘扬的蒲公英，[角川正雄]的情绪突然间开始失控。
2:0:13|2:0:27|大颗大颗的泪珠从他眼角滚落，尖头也剧烈地抖动着。他只好抬起左手，死死地抓住头顶的军帽。稍作平缓后，突然又用力地闭紧了双眼。
2:0:27|2:0:48|此时，[赵川]毅然抬起右手，将手枪对准自己的太阳穴后，轻轻一扣，便滚下了那长满蒲公英的草坡。就这样，背对着暖阳，结束了自己年轻的生命。
2:0:49|2:1:6|听到声响，已经走远的士兵忍不住回过头，可他却也只是弄在原地，远远地望着。而另一边，[顺子]和小豆在枪响的一瞬间就定住了脚步，发觉竟毫发无伤后，赶忙摸了摸身体。
2:1:7|2:1:31|接着，二人都忍不住朝内声响出看去，意识到脚穿真的结束了自己的生命后，[顺子]又再次搂紧了小豆的肩膀，原本的不可思议，瞬间被笑意充满。走着走着，小豆也终于放松下来，抬起头看着[顺子]，笑得十分灿烂。
2:1:32|2:1:47|过了一会儿，[顺子]才有闲心打探了四周，发觉小豆旁只有几只饱满的蒲公英，弯响腰将它摘了下来，现饱一般地塞到了小豆的手上。
2:1:47|2:2:0|小豆将它们举在面前，用力一吹，无数张小伞迎着太阳飘向空中，忽高忽低消失在了视线里。吹散过去，手中的根茎也成了小豆好奇的对象。
2:2:1|2:2:10|原本饱满自容求的蒲公英，现在只剩下长长的一条，仔细闻一闻，还传来淡淡的清香。
2:2:21|2:2:41|而在郊外的小河边，日本军官正趁着暖阳坐在酱缸中刷洗着自己。可见见的，他竟开始尝试让自己憋在水中，屏住呼吸一动不动，耳边充斥着砰砰的心跳，但到底还是从水中一跃而起。
2:2:41|2:2:49|而被那枪声震在原地的士兵，正愣地看向与杂草混为一体的[角川正雄]后，又重新回过头，再次踏上了来时之路。
2:2:55|2:3:17|飞舞的蒲公英种子正随风飘向不知名的远方，落地深耕。[小江]欣喜地追在后面，望着一个个自由的新生命，展开一个皱巴巴的微笑。尽管笑里有泪水和阴霾，可他还是在笑着。
