0:1:24|0:1:32|他伸出粗糙的手指抚摸着刻痕，每一道刻痕的背后都写满了生存的不易。
1:11:43|1:11:56|慢慢地蹲在他的身边，[嫘祖]将手搭在他的胳膊上，听到声音的他终于回过神来，他抬头看了眼[嫘祖]，随后又低下头慢慢地站起身，目光依旧呆滞地看向远方。
1:11:57|1:12:15|这时非同寻常的鸟叫声，吸引了姬地的注意力，他转头看向山间的河流，只见成群的飞鸟在空中盘旋，水上的禽畜扇动着翅膀显得格外吵闹，姬地向前走了几步，脸上终于露出笑容。
1:12:42|1:13:1|[嫘祖]突然感到不是他捂着肚子快要临盆，族人见状赶忙搀扶着他，此时九黎族也发现了异样，看着眼前的飞鸟不同寻常的动作，九黎族瞬间慌乱起来，他们刚要逃跑之际，洪水似山林野兽般从山后冲出来，姬地拿着绳子对敌人说道，
1:13:2|1:13:11|[嫫母]跟上姬地将绳子一头扔着[蚩尤]，他瞟了一眼无动于衷。
1:13:12|1:13:21|[蚩尤]无力地闭着眼睛姬地再一次喊道，肆虐的湖水夹杂着折断的树枝和石块从山谷上奔泻而下。
1:13:22|1:13:35|随后他一跃而下跳进陷阱，将绳子一圈一圈绑在[蚩尤]的腰部，洪水冲入早已翻腾汹涌的河流中，姬地绑好绳子后拍了拍[蚩尤]的脸，他几近昏迷，姬地对[嫫母]说道，
1:13:36|1:13:55|嫫用力的拉着绳子，昏迷的[蚩尤]却一动不动，[姬地]扒着陷阱的边上艰难地爬了上去，随后他快速拉住绳子，就在这时洪水咆哮声越来越近，[姬地]担心地抬头看了一眼，只见洪水似猛兽般冲毁了不远处的村庄，千钧一发之际，二人拼尽全力死死向后拉着绳子，
1:13:55|1:14:21|就在洪水要抵达有熊氏部落的上面，二人终于将[蚩尤]拉了出来，随后他们扶着[蚩尤]快速向部落里跑去，身后的洪水马上要追上来，[姬地]突然说到洪水就咆哮而来，巨大的威力使旁边的山石不断地滑落下来，[姬地]一把推开[嫫]滚落的山石重重砸向他的胳膊，洪水犹如巨兽般瞬间吞噬了整个部队不堪一击
1:14:21|1:14:26|的木质门投机图腾被无情地摧毁，伴随而来的昏鸣声响彻天际。
1:14:26|1:14:46|不久之后，洪水终于退去雨过天晴，经过洪水的冲刷洗礼，年老粗壮的大树依旧挺拔，众多分支也慢慢发芽，昏迷中的[姬地]眉心紧皱，由于肩膀的疼痛，他不由颤抖起来，一旁的[嫫]小心的帮他整理着头发上的枯树叶，[姬地]慢慢睁开眼睛，
1:14:46|1:14:54|[嫫]终于笑了，他伸手抚摸[姬地]的脸，[姬地]低头看向自己受伤的胳膊，这时[嫫]轻轻抓住他受伤的胳膊说道
1:14:59|1:15:15|意识还未完全清醒的[姬地]，看着[嫫]仔细回味着她刚才说的话，随后终于露出笑容，[嫫]细心地帮他梳理着杂乱的头发，这对他来说无疑是一个天大的喜讯，刚刚死里逃生的他得到了上天的后代。
1:15:16|1:15:30|发自肺腑的话让[嫫]感到很欣慰，满脸笑容的[姬地]突然神情紧张，他似乎想起了什么？
1:15:32|1:15:54|此时他的心里五味杂陈，有种说不出来的难过，一场激烈的山洪过后，有熊氏部落里变得破败不堪，坚固的大墙上也出现了深深的裂缝，泥土地上还残存洪水的痕迹，[姜炎]走过来慢慢弯下腰捡起地上沾满泥土的稻谷，他拿在手里反复看着眼里满是心疼。
1:15:54|1:16:1|头发花白的[姜炎]为了种植谷物耗费了一生，自己的心血，此时却被山洪蹂躏得奄奄一息。
1:16:1|1:16:14|所有的族人整齐地站在两边，看着稻谷满脸沉重，他抬头看向[姬地]，随后迈着沉重地步伐，缓缓走到他的面前，他努力控制自己的情绪，随后对他说道，
1:16:24|1:16:50|这场灾害让他失去了太多，[姬地]深深地叹了口气，此时[蚩尤]手拿武器肩上扛着九黎族族领慢慢地朝[姬地]走过来，这时的[蚩尤]不再把[姬地]看作敌人，眼里也没有了杀气，当他走到[姬地]面前时，将肩上的族领扔在了地上，族领疼得叫喊几声，随后惊恐地看着四周，最[蚩尤]跨过族领走到[姬地]面前，沉默一会儿。
1:16:55|1:17:8|[蚩尤]对[姬地]心服口服，他将手中的武器双手举起递到[姬地]面前，族人们全部看向[姬地]似乎都在等他做着决定，[姬地]看着昔日的敌人投降，不由得深吸一口气。
1:17:8|1:17:26|随后双手接过武器，他不安地看向[姬山长老]长老握紧的拳头和兴奋的表情，终于让他的眼神坚定起来，族人不断的牺牲与坚持，终于换来如今的安稳与和平，投降的[蚩尤]决定离开此地，他信服[姬地]，但又不完全臣服于他。
1:17:26|1:17:34|离别的日子到来，[姬地]送别[蚩尤]，他们一前一后走在河边的草丛里，[蚩尤]身边除了自己的妻子和武器之外，什么也没带。
1:17:34|1:18:0|[姬地]跟随着走了一段路之后停了下来目送[蚩尤]力去，此时大河平静得犹如一幅画，旁边的杂草丛十分安静，仿佛也在和[蚩尤]道别，[蚩尤]走了几步，突然停下脚步，随后将[姬地]送给他的梨缓缓地放在地上转过身来看着[姬地]，他很敬佩[姬地]的勇猛与聪慧，如此强大的对手让他不忍离去，[姬地]看着停下来的[蚩尤]，他以为[蚩尤]反悔了，
1:18:20|1:18:38|[姬地]立刻转过身，只见[嫫母]和[嫘祖]分别背着自己的孩子手里拿着东西向他们跑来，[嫘祖]手里举着一块布，[姬地]看了一眼，没有伸手去接，[嫫母]见状伸手摸了摸肩上的麻布包，随后向着[蚩尤]走去。
1:18:38|1:18:42|他将麻布包摘下递给[蚩尤]。
1:18:45|1:18:53|[蚩尤]脸上露出惊讶的表情，他伸手接过盐水，瘦肉和神水递给身旁的妻子，妻子抿了抿嘴，随后背在身后。
1:18:53|1:19:13|[嫫母]看他收下转头离去，这时[嫘祖]手里举着那块布向他们走来，他看了看[蚩尤]和他的妻子，随后将手中的布举起递给[蚩尤]，布上面还放了一把由鱼骨制成的梳子，[蚩尤]拿起梳子看了一眼，随后插在了自己的头上，[嫘祖]欣慰地笑了笑，随后转身走了。
1:19:13|1:19:23|[蚩尤]将手中的布慢慢展开，这是一条围巾，他挂在了自己的脖子上，看着眼前大度的[姬地]、[嫫母]和[嫘祖]他终于露出了笑容。
1:19:23|1:19:38|整理好这些物品之后，他拿起放在地上的狸转过身径直向前走，去[嫘祖]地看着他远去的背影，不由得担心起来同时想挽留他，可他知道[蚩尤]有更大的目标，他向前走了一步大喊。
1:19:49|1:19:55|说完便头也不回地走了，[嫫母]与[嫘祖]骄傲地看着[姬地]打败[蚩尤]的[姬地]成了族人的信仰。
1:19:55|1:20:17|[蚩尤]的妻子再次吹响口哨，从草丛里冲出两头仅剩的野兽，他们回头看了一眼[姬地]，仿佛在跟他告别，随后缓缓转过身跟在主人身后走着，[姬地]紧绷的脸上终于露出了安心的笑容，他看着两人两兽渐行渐远的背影逐渐感到欣慰，[蚩尤]终于放下心中的仇恨收起了抢夺的野心。
1:20:18|1:20:35|高兴之余他也担心[蚩尤]没有亲朋好友没有族人帮忙，只有妻子陪伴在身边的[蚩尤]能否度过接下来的难关，无从可知。随着[蚩尤]的离去，[姬地]带领着百族群众度过了安稳的20年，他们种庄稼织麻布、做陶瓷，
1:20:36|1:21:5|这天族众站在稻田的两旁[姬地]拿着铁锹挖着地上湿润的泥土，他将中间的泥土拨到两旁，上游的水通过缝隙流了下来，缝隙越来越大，水流也越来越快，看着源源不断的水流[蚩尤]兴奋地叫起来，甚至有人像孩子一样在水坑里踩来踩去，女人们拿着陶瓷罐蹲下来装着水，此后每个人都拿着手中的农具顺着水流的方向拨弄起来，水流尽头是一个小型池塘，
1:21:5|1:21:27|周围是一望无际的田野，一条小小的溪流解决了田野用水的问题，周围占着零零散散的[蚩尤]，他们全部手舞足蹈着，期盼已久的一天终于到来了，就在这时一位族人慌忙地从河边跑来，他穿过密集的人群跑到大族领身边。
1:21:30|1:21:54|[姬地]眉头看向河边，这时一个木排缓缓停靠在岸边，一个头顶长毛冠身后背着弓箭，身穿兽皮的男人牵着一头野牛走下来，身后跟着一个同样打扮的女人，族众全部围上前拿着农具做出抵御状态，只见那两人走到[姬地]面前，二话不说双膝下跪，[姬地]愣了一下，没有伸手扶起他们。
1:22:2|1:22:8|博和舞站起身看着长大成人的[蚩尤]后代。
1:22:30|1:22:47|舞说完低下头将神冠举过头顶，弯曲着双腿，用最高的礼仪小心地将神官盛在姬地面前[姬地]伸手接过神冠，仔细看着上面精致的图案。这是[蚩尤]对他的祝福与期望，他有些哽咽。
1:22:48|1:22:56|博转过头拉扯了一下身后的野牛。
1:23:8|1:23:25|博牵着野牛走向前，弯下腰并举起双手中的绳子递给[姬地]，[姬地]将手中的神冠递给身边人，腾出手拽住绳子他收了收绳子随后向前走了几步，伸手抚摸着野牛的头，野牛一动不动，他的心中充满了对[蚩尤]的敬意。
1:23:25|1:23:46|另一边[嫫母]站在一棵大树旁，年老粗壮的树干上长满了裂纹，上面还有许多划痕，她伸出手不停地抚摸着这些划痕发着呆不知在想些什么，这时一只手突然伸到她面前，她吓了一跳，这才回过神来，原来是[嫘祖]她拿出一颗野果递给[嫫母]，[嫫母]看着[嫘祖]笑了笑，
1:23:46|1:23:54|随后接过野果仔细看了看，她将野果放进嘴里咬了一口，随后开心地笑了起来。
1:23:56|1:24:18|夜幕降临，大石头组成的火盆中燃烧着火把，火把中心的祭坛上摆着一个圆形石桌，[姬地]站在中间，他左手撑着巨石，右手拿着尖头石头在巨石上画着特殊图案，只见他画了一个正方块，上方画了一个人下方两个人[姬地]不停地画着站在一旁的两个孩子看不懂父亲要表达的意思，于是开口问道，
1:24:46|1:25:4|第二天天刚大亮，只见两位族人端着装满澡的容器，一边走一边撒在通往神坛的台阶上，台下所有族众汇聚在此全部望向神坛，这时一位族人开始敲鼓。
1:25:37|1:25:54|[姬地]头顶神冠，端着陶瓷碗，他抓了一把碗里的沙土撒向神坛，随后转过身看向百足群众，他望着聚在一起的百足群众，心中充满敬佩，他又抓了一把沙土撒向万千族众，[姬地]看着大家聚集的目光开口说道，
1:26:5|1:26:12|族众看着大族领上充满希望。
1:26:24|1:26:31|为了生存跨过大河换取生活必需品，与其余族人殊死相斗的场面历历在目。
1:26:31|1:26:50|看着如今安稳幸福的生活，[黄帝]内心感慨万分，[嫫母]端着两碗酒递到[黄帝]面前，他端起其中一碗面向族人重重地撒在地上，这一晚近战争中死去的英勇战士，正是他们拼死与敌人抗战，才保全了现在的族人能够过上安稳的生活。
1:26:50|1:26:56|随后他将空碗放在盘子里，端起另一碗酒，这一碗他一饮而尽。
1:26:56|1:27:11|敬向今天还幸存的族众，各个族人协力合作为家园种稻谷、制陶器、织麻布、尝百草，才有了今天安稳的生活。神坛下族众看着大族领，不由得举起双手大声欢呼着。
