0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
1:49:27|1:49:50|瞬间，骨灰坛从手中脱离，她也仰面倒在路上。此时，一阵风吹过，骨灰直接被扬入空中，口吐鲜血的[老鹰]看到后，用头和手部拼命地挪动自己。望着一点一点被吹飞的骨灰，他双眼通红，嘴里不断呜咽。
1:49:50|1:49:56|想尽一切办法，要爬到骨灰坛的方向去，想要再亲手摸摸，玉楠留给自己随后的印记。
1:49:58|1:50:19|突然，[李建国]再次睁开双眼，望着已经爬到自己脚边的[老鹰]，他从身后掏出短刀，跪在地上，直直插进[老鹰]的背部。[清水]望着这样的[李建国]，又想起了小时候，自己躲在木板下，看到爸爸被射杀的场景。
1:50:19|1:50:27|[李建国]温柔地拍拍她。
1:50:36|1:50:51|说完，[李建国]将手从她的嘴角上移开，又点了点她的鼻子，微笑着，随后，猫着腰，从木板下离开了。如今，看到曾经不忍对自己痛下杀手的男人，落得浑身是血。
1:50:52|1:50:57|[清水]慢慢闭上双眼，泪从眼角流了下来。
1:51:12|1:51:34|夕阳西下，三个人就这样，久久倒在地上。另一边，[林凯]驾车，急忙穿过一片半人高的稻田，即便扬起的灰尘挡住了后方毒贩的视线，但对方疯狂扫射的子弹，让他仍不敢掉以轻心。此时，车辆穿过稻田来到树林里，
1:51:34|1:51:41|七扭八歪之后，向深处钻去。但[林凯]突然发现张海涛没了动静。
1:51:51|1:52:14|说完，[林凯]狠踩油门，穿过了又一个弯道，身后的毒贩，则架着机关枪，穷追不舍。此时，[林凯]伸长脖子，望向天空，观察了树叶摇摆的方向后，从怀里，掏出信号枪。接着，带有特殊标识的信号弹，绽放在河道上方。
1:52:20|1:52:38|直升机上，飞行员看到信号弹后，迅速报告方位。河道上赶来的特警，则驾驶飞艇，向目标处进发。此时，[林凯]从树林中钻出，在毒贩的疯狂扫射下，狠踩油门，直直向河道开去。
1:52:38|1:52:48|落水前，整个人扑向[张海涛]，用身体抵挡住了绝大部分水流带来的冲击力，然后奋力地将他从车内推出去。
1:52:49|1:53:7|此时，[张海涛]手脚并用，钻出水面，大口呼吸着新鲜空气。见[林凯]却久久不见浮上来，原来他的鞋带缠在了离合上。于是，他咬紧牙关，弯腰摸索。终于在最后一口气用完之前，顺利钻出水面。
1:53:7|1:53:18|二人的身影很快被驾驶飞艇的武警捕捉到，赶在毒贩冲他们开枪前，不断对岸上，进行火力压制。
1:53:19|1:53:34|看到救兵赶到，毒贩连忙后退，钻进车内，准备溜之大吉。但特警早已锁定[老鹰]在小镇中所有的据点。制毒工厂，还有运输线全部被大批武装力量一网打尽。
1:53:34|1:53:44|接着，[林凯]和张海涛二人被拉上飞艇，在多架直升机的护航下，转过弯，迎着夕阳，向中国的方向开去。
1:54:14|1:54:22|[林凯]身穿警服，来到墓地。
1:54:33|1:54:41|局长话音刚落，近50名手捧警帽的警察，庄严致意。
1:54:43|1:54:49|站在局长两侧的[林凯]和张海涛，望着[李建国]的墓碑，久久不愿意放下敬礼的右手。
1:55:11|1:55:24|此时，[林凯]回想起局长在办公室中对自己的嘱托，终于，忍不住掉下了眼泪。张海涛则坐在轮椅上，看着享年36岁的战友。
