0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
1:51:3|1:51:9|Looking at the imperial cat, he understood that in order to survive and continue to accompany [Yang Yuhuan], he couldn't keep his own body.
1:51:9|1:51:15|So he wanted to discard his youthful body and transfer his soul into the body of Master Konghai.
1:51:18|1:51:23|It seems that Yumaomiao sensed that behind his crazy behavior, there was a deep love for [Yang Yuhuan].
1:51:23|1:51:32|Yumo happily came to his side, and together they completed this soul's journey. [Bai Long] succeeded,
1:51:32|1:51:42|He infused his soul into the body of the Imperial Cat, and from then on, the graceful and handsome youth [Bai Long] no longer existed in this world, nor did the Imperial Cat. They merged into one and became the current Monster Cat.
1:51:42|1:52:2|The demon cat approached [Bai Long], touched him with its claws, still holding hope that [Bai Long] would wake up, but there was no response. He turned into a lifeless body lying quietly on the ground. The demon cat stared at [Bai Long] for a long time, tears filling its eyes. Upon hearing his narration, [Master Konghai] said sorrowfully.
1:52:18|1:52:27|With a rush of water, Bai Long's body was carried downstream and plunged into the water. He stood at the edge of the cliff, looking on, bidding farewell to his physical form.
1:52:27|1:52:34|He turned around and returned to the cave, continuing to accompany Yang Yuhuan day and night.
1:52:34|1:52:41|He wished so much that the woman in front of him could wake up and ask again.
1:52:41|1:52:51|Unfortunately, he never heard it again.
1:53:13|1:53:18|He longed to help [Yang Yuhuan] open the heavy coffin lid on the stone tomb, but he couldn't do it, he couldn't.
1:53:18|1:53:24|He could only hear the desperate screams of [Yang Yuhuan] over and over again. He was furious, he roared,
1:53:24|1:53:28|The final decision was to seek revenge on Emperor Tang Xuanzong.
1:53:28|1:53:40|The demon cat arrived at the Seven Star Pavilion. At this moment, the Emperor was looking at the final token left to him by [Yang Yuhuan], the sachet containing her hair. His reverie was interrupted by a cat's cry.
1:53:40|1:53:52|He has aged, his back is no longer as straight as before, and his hair has turned white. He finally recognized that this was his imperial cat, hurried forward, and ended up slipping on the stairs by accident.
1:53:54|1:54:0|The emperor awkwardly lay on the stairs and asked the imperial cat. The imperial cat immediately jumped in front of the emperor, who then touched the cat's head and asked again.
1:54:14|1:54:22|He was extremely scared, quickly got up, and stared at the demon cat, which also stared back at him.
1:54:22|1:54:30|He was so scared that he tried to escape by rolling and crawling, but how could an old man escape from a demon cat? With a light leap, the demon cat pounced and knocked down the emperor.
1:54:30|1:54:37|It showed its sharp claws and reached for the Emperor's eyes, blinding him.
1:54:37|1:54:40|Hearing the Emperor's screams, the demon cat gleefully completed the first step of revenge.
1:54:40|1:54:45|Emperor was actually blinded by the demon cat. Upon hearing the truth, [Bai Letian] was in a panic.
1:55:38|1:55:50|Faced with the roar of [Bai Letian], the demon cat only weakly responded and then left. The words of [Kong Hai] made it pause, but it did not answer, and finally it left with its head drooping.
1:55:51|1:56:3|It returned to the cave at the cliff edge in a daze. Just as it arrived at the entrance, it seemed to see [Yang Yuhuan] standing under the cherry blossom tree in splendid attire, with a smile on her face. It was extremely excited, too overwhelmed to consider whether this was real.
1:56:4|1:56:11|It rushes towards [Yang Yuhuan]. One step, two steps, then it leaps, at this moment it only wants to fall into [Yang Yuhuan]'s arms, gently comforting her.
1:56:12|1:56:16|Just as it touched [Yang Yuhuan], [Yang Yuhuan] disappeared.
1:56:18|1:56:31|It let out a mournful cry, the sound echoing for a long time at the edge of the cliff. Suddenly, it rushed into the cave, and [Yang Yuhuan] was gone, she was actually gone, leaving only the jade hairpin picked up by [Bai Long] at the feast of paradise, and then disappeared.
1:56:31|1:56:42|The demon cat felt sorrow, anger, pain, and despair. All emotions surged up at once, and it let out a long roar towards the sky, then spat out a mouthful of blood.
1:56:42|1:56:51|The next morning, a watermelon and a box appeared in front of Master Konghai's house. Bai Letian picked up the watermelon, while Kong Hai held the box. The two of them entered the house, expressing their confusion.
1:56:54|1:57:0|[Bai Letian] was very puzzled, so he opened the box placed on the table by [Master Konghai].
1:57:0|1:57:6|Inside the box was a piece of paper with only four words written on it: "Feast of Paradise".
1:57:7|1:57:14|As agreed, the two pushed open the doors of the Huie Tower, and as soon as the doors opened, they saw the [Demon Cat] crouching at the entrance.
1:57:18|1:57:27|Just as [Bai Letian] lazily stretched his ribs, a bright light suddenly appeared behind him, accompanied by joyful sounds in his ears. In an instant, they were transported back to the magnificent and splendid feast of paradise 30 years ago.
1:57:27|1:57:43|[Bai Letian] was extremely excited as he watched the guests frolicking in front of him, dancers performing aerial dances, 7000 catties of fine wine poured into the Taiye Pool, [Yang Yuhuan] and [Tang Xuanzong] caressing the imperial cat while chatting and laughing, and the spirited young Baihe chasing in the hall.
1:57:45|1:57:49|Chasing and playing. [The Demon Cat] is leaping around in the hall, trying to carefully observe every detail.
1:57:49|1:57:58|It wants to return to the feast of paradise 30 years ago, and [Bai Letian] also looked at every scene in front of him with surprise. In the crowd, he finally saw the arrogant and unruly poetic immortal [Li Bai].
1:57:58|1:58:8|He saw him lying next to Taiye Pool, drinking wine leisurely with his legs crossed, and he also saw [Yang Yuhuan] looking back and saying that to [Li Bai].
1:58:27|1:58:36|The scene of the feast in paradise suddenly disappeared.
1:58:59|1:59:5|Following Guaweng's gaze, we pass through the now overgrown and desolate Taiye Pool, and arrive at a stone slab.
1:59:5|1:59:12|The body of [Yang Yuhuan] was lying quietly on the ground. [Bai Letian] immediately ran over.
1:59:12|1:59:21|He finally saw [Yang Yuhuan], the woman who haunted his dreams, finally appearing before his eyes. Just as the old lady had said.
1:59:21|1:59:28|[Bai Letian] ran up to [Master Konghai] almost in tears, asking.
1:59:57|2:0:6|The demon cat stared at its own body and the imperial concubine for a long time, tears welling up in its eyes.
2:0:19|2:0:38|Master Konghai's words awakened the demon cat, and it finally admitted that Yang Yuhuan was dead, shattering its obsession completely.
2:0:39|2:0:47|The old man lying on the ground asked the demon cat to kill him, but the demon cat showed its claws and then retracted them, choosing not to kill the old man.
2:0:47|2:0:55|At this moment, it let go of the obsession for revenge, turned around and walked past [Bai Letian] and [Kong Hai], bowing its head, because it didn't want them to see the tears in its eyes.
2:0:55|2:1:4|It slowly walked towards [Yang Yuhuan], no longer the demon cat that had harmed countless people, just an ordinary cat.
2:1:4|2:1:12|Gasping for breath, [Bai Long] finally reached the edge of the stone slab. With a leap, it tried to jump to the side of [Yang Yuhuan], but it was already too weak and fell down.
2:1:12|2:1:21|It refused to give up and jumped again, but ended up falling even harder, rolling several meters away. It lay on the ground gasping for breath, barely clinging to life.
2:1:21|2:1:27|[Bai Letian] and [Master Konghai] hurried to his side. Looking at the two, the demon cat finally spoke out his heart.
2:1:29|2:1:35|The two of them looked at it sadly, when suddenly the sound of a crane came from above.
2:1:35|2:1:44|The demon cat struggled for its last breath, lifting its head to meet the [White Crane]. It kept hovering in the dome of the palace, flapping its wings and shuttling under the golden sunlight.
2:1:45|2:1:48|Looking at the sudden appearance of [Bai He], the three of them had different expressions.
2:1:48|2:2:0|[Bai Letian] is puzzled, [Kong Hai] is relieved, while Guaweng is devoutly looking at it with hands clasped together. The demon cat lying on the ground seems to be influenced.
2:2:0|2:2:7|It looked up for a long time at the flying [White Crane] in the sky, then closed its eyes silently and peacefully fell to the ground.
2:2:7|2:2:14|Under their gaze, [Bai He] flew higher and higher, until it disappeared into the sunlight.
2:2:14|2:2:18|It flew away, taking the spirit of the demon cat with it.
2:2:19|2:2:33|When Bai Letian and Kong Hai regained consciousness, they found that the demon cat lying on the ground had already breathed its last breath, and strangely, the body of Bai Long had also disappeared. Kong Hai picked up the demon cat's body and gently placed it next to Yang Yuhuan's body.
2:2:33|2:2:40|The story of the 30-year-old demon cat and [Yang Yuhuan] came to an end. The next day,
2:2:40|2:2:52|[Bai Letian] and [Master Konghai] walked together on the bustling streets of Chang'an once again, as [Master Konghai] spoke.
2:3:16|2:3:22|[Bai Letian] finally confirmed his "Changhen Ge" without changing a word, and the two soon arrived at a tavern, where [Bai Letian] drank it all in one gulp.
2:3:22|2:3:32|Master Konghai couldn't help but speak up.
2:3:41|2:3:46|[Master Konghai] put down the wine in his hand, watching [Bai Letian] disappear into the crowd, and gave a heartfelt praise.
2:3:47|2:3:59|The ruthless and unscrupulous [Bai Letian] is now walking towards the sunset on the head of Chang'an Bridge. He has finally dispelled the clouds in his heart and no longer lives under the shadow of [Li Bai].
2:3:59|2:4:8|The bell of Daqing Long Temple rang again, [Master Konghai] came to the front of the temple once again before leaving.
2:4:14|2:4:22|He entered the Great Blue Dragon Temple as he wished, where the monks stood humbly with their hands clasped together on both sides of the hall. In the center stood a towering Arhat with a distinctive expression.
2:4:22|2:4:30|After walking through the hall and exchanging greetings with the monks in the inner hall, the monk who welcomed him said.
2:4:34|2:4:41|[Master Konghai], with a look of doubt, bid farewell to the monk and walked alone to the staircase, which happened to be behind a golden Buddha statue over 10 meters tall.
2:4:41|2:4:52|As he walked up the stairs to the second floor, Master Huiguo appeared behind him. [Kong Hai] sensed someone behind him and stopped in his tracks. The master stepped forward and looked at [Kong Hai]'s back, asking.
2:4:54|2:4:58|[Master Konghai] smiled knowingly, indeed Master Huiguo is [Dan Long], he turned around.
2:5:2|2:5:8|He took out the box that Master Konghai left at their doorstep last time, with "Feast of Paradise" written on it.
