0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then placed the skewer on the plate.
1:29:32|1:29:54|Upon learning that the police were coming, [Zhang Biao] immediately turned to [Zhu Cong] and said, he suddenly smiled and winked at [Zhu Cong]. At this moment, [Zhu Cong] did not understand what he meant. After [Zhang Biao] finished speaking, he turned around and shouted at the police below the mountain. [Zhang Biao] raised his gun above his head and slowly walked down the hillside.
1:29:54|1:30:18|[Zhu Cong] and [Changzi] silently followed behind him. At this moment, [Zhu Guangsheng] lifted his head in the car and sighed deeply as he looked at him. Meanwhile, Director Liu, who was standing in the crowd, immediately ordered the arrest of [Zhang Biao]. The law enforcement officers then walked cautiously towards [Zhang Biao] with their guns raised, and handcuffed him with cold handcuffs. Witnessing all this, [Zhu Guangsheng] couldn't bear to watch and tightly closed his eyes before the law enforcement officers escorted [Zhang Biao] away.
1:30:18|1:30:27|He looked reluctantly at [Zhu Cong] beside him, and [Zhu Cong], who suddenly realized, finally understood what he had just said. She wanted to step forward to stop him, but hesitated to speak.
1:30:27|1:30:32|After getting off the car, [Zhu Guangsheng] first walked to the injured [Lan Bo] and held him tightly in his arms.
1:31:44|1:31:56|At the same time, an eagle soared in the sky, overlooking the earth with powerful wings, soaring freely without constraints, as if time had gone back to the past.
1:31:56|1:32:9|[Zhu Guangsheng] stood on the hill shouting for Lanbo. As soon as Lanbo playing in the snow heard him, he would immediately run towards him. The heavy snow was falling, connecting the sky and the ground, creating a vast expanse of white where one couldn't distinguish between the sky and the ground.
1:32:9|1:32:25|Flakes of crystal white snow fell from the sky, drifting down in abundance. The snowflakes danced in the air with the rustling cold wind, resembling soft willow catkins or floating goose feathers, wandering in the vast expanse of the world.
1:32:25|1:32:36|Forester [Zhu Guangsheng]'s shocked expression upon hearing the gunshot, his sobbing while cradling Blue Wave on the snowy ground, and his final monologue at the end of the film, all signify the loss of everything.
1:32:36|1:32:53|[Zhu Guangsheng] is a general. In this battle, he defeated ten thousand enemies but lost eight thousand of his own troops. He lost his beloved general, his comrades, and what he had always wanted to protect. His heart collapsed in this moment, and nothing could be more painful for a general than this.
1:32:53|1:33:5|Zhu Guangsheng is another ordinary and insignificant general. His emotions towards this career are like his love for this snowy forest, and for the wolfhounds that follow him to the death.
