0:0:57|0:1:2|Although it is already spring, the trees are still bare, without a single leaf.
1:45:40|1:45:49|[Zhou Yuwen]'s expression became increasingly sorrowful. Finally, unable to contain her melancholy, she hurriedly turned and ran towards the table corner near the door.
1:45:53|1:46:0|Tears finally fell, Dai Xiaomei looked at Zhou Yuwen crying in the corner, feeling a bit guilty as she lowered her head.
1:46:0|1:46:8|At the city gate, Dai Xiaomei, who is already dressed up, is sending medicine back to Shanghai with Lao Huang and Zhang Zhichen.
1:46:8|1:46:15|As they reached the city gate, [Zhang Zhichen] reached out and stopped him, wanting to continue escorting his younger sister Dai Xiu forward.
1:46:25|1:46:29|Dai Liyan and Dai Xiu smiled and walked slowly towards the outskirts of the city.
1:46:32|1:46:36|The three of them walked leisurely, with Zhou Yuwen lost in thought.
1:46:41|1:46:47|Zhang Zhichen half embraced Dai Liyan's shoulder, Lao Huang carried the suitcase, slowly following behind them.
1:46:47|1:46:51|The three of them continued talking and slowly walked towards the door of the car.
1:46:51|1:46:55|In the Dai family courtyard, [Dai Xiu] was struggling to trim the saplings while looking up.
1:46:55|1:46:58|[Zhang Zhichen] came down from the second floor, and [Dai Xiu] greeted him.
1:46:59|1:47:4|[Dai Xiu] paused and waited for [Zhang Zhichen] to walk down the stairs and stand beside him.
1:47:4|1:47:6|He paused for a moment before continuing.
1:47:12|1:47:14|He put down the wrongly cut branches and continued speaking.
1:47:26|1:47:33|[Zhou Yuwen] did not answer [Dai Xiu], just raised her head and silently watched her trimming actions, seeing her sweating a little.
1:47:33|1:47:42|[Zhou Yuwen] took out a handkerchief from her side and handed it to [Dai Liyan]. [Dai Liyan] took the handkerchief, wiped the sweat on his forehead, and then handed it back to him.
1:47:42|1:47:46|[Zhou Yuwen] took the handkerchief, turned around and prepared to leave, reminding Dai Liyan.
1:47:55|1:48:0|Dai Liyan, after listening to Zhou Yuwen's instructions, looked somewhat excited and continued to trim the nearby saplings.
1:48:3|1:48:7|[Zhou Yuwen] turned and walked up the corridor, heading up to the attic along the stairs.
1:48:7|1:48:14|[Zhou Yuwen] sat down on the bench by the attic window and began embroidering with the embroidery frame from the basket.
1:48:14|1:48:21|The slender silver needle shuttles in his hand on the silk cloth, and the embroidery in his hand slowly takes shape, perhaps a little tired. 
1:48:21|1:48:26|He leaned back in his chair for a rest, then continued to lower his head and embroider flowers.
1:48:26|1:48:28|Suddenly, the sound of the train whistle broke the deadlock.
1:48:34|1:48:42|[Zhou Yuwen] slowly raised her head with the sound of the whistle, her gaze somewhat absent-minded, casually looking ahead without any sense of surprise or excitement.
1:48:42|1:48:48|She only paused for a moment, then came to her senses and continued to embroider attentively in the lingering light of the spring sunset.
1:48:48|1:48:56|In the garden, Zhou Yuwen heard the sound of a train whistle, sighed faintly, raised her hand to trim a branch, and then had no further reaction.
1:49:0|1:49:5|The sound of the train running came closer from a distance, and then gradually faded away.
1:49:5|1:49:17|With the train roaring away, the small town fell back into silence. [Zhou Yuwen] still sat by the window in the attic embroidering, everything became quiet again, as if nothing had ever happened.
1:49:17|1:49:25|Outside the small town, the city walls are still covered with thatch, even though it is already spring, there is no sign of spring at all.
1:49:25|1:49:31|Spring may have never arrived, or perhaps it has already come and quietly left.
