0:2:20|0:2:29|In the city, tall buildings stand densely, with crowds of people flowing continuously.
1:43:30|1:43:43|The rising sun cast a golden hue over the mountains, enveloping [Xiong Dun] in its warmth. As he gazed into the distance, his eyes sparkled with a longing for life.
1:43:43|1:43:51|Even if God played a huge joke on her, [Xiong Dun] could turn it into motivation. She boldly pursues her dreams and love.
1:43:51|1:43:56|Pursuing everything they love, living vividly and passionately.
1:43:56|1:43:57|The scene changes,
1:43:57|1:44:5|[Xiong Dun] nestled in her mother's arms, her mother wearing reading glasses, knitting a sweater. She suddenly reached out and touched her mother's lips.
1:44:5|1:44:10|Mom showed a kind smile, and [Xiong Dun] also smiled and said.
1:44:14|1:44:21|His mother smiled indulgently and said.
1:44:38|1:44:44|The two exchanged a smile, and Mom adjusted her reading glasses, knitting a sweater non-stop.
1:45:2|1:45:8|Mom's eyes suddenly turned red, saying to [Xiong Dun].
1:45:13|1:45:18|[Xiong Dun] obediently agreed, and his mother lowered her head to touch [Xiong Dun]'s shoulder with concern. [Xiong Dun] stared at his mother.
1:45:18|1:45:27|With a pout and red eyes, mustering up courage, she spoke out in a tone of grievance. [Xiong Dun's Mother] held back her tears and avoided looking at her.
1:45:28|1:45:32|[Xiong Dun] restrained his emotions, tears shimmering in his eyes as he spoke.
1:45:44|1:45:50|Hearing these words, Mom couldn't control her tears anymore, sobbing uncontrollably. [Xiong Dun] continued.
1:46:19|1:46:25|[Xiong Dun]'s mother's mouth kept twitching, reaching out to hold [Xiong Dun] even tighter.
1:46:26|1:46:31|The mother and daughter held each other tightly, releasing all the painful emotions.
1:46:34|1:46:47|[Xiong Dun] buried his head deeply in his mother's arms, sobbing like a child. Since falling ill, it was the first time [Xiong Dun] cried out loud like this, disregarding everything.
1:46:47|1:46:53|At this moment, [Xiong Dun] realized that the greatest torment brought by illness was the separation from her family.
1:46:53|1:47:4|In the city, everything remains the same, factory chimneys billowing thick smoke. Vehicles on the streets come and go endlessly, no matter how bad life is, the world keeps on turning.
1:47:4|1:47:13|No matter what life throws at her, [Xiong Dun] always faces it with a smile, never being defeated. Even when life tosses her around, up and down,
1:47:13|1:47:20|She can also stand up and resist stubbornly. The scene shifts to the hospital, where Doctor Liang opens the drawer in the office.
1:47:20|1:47:29|He put the documents in his hand into the drawer. Suddenly he noticed the hand cream in the corner, picked it up and remembered it was a gift from [Xiong Dun].
1:47:29|1:47:36|He held it in his hand, turning it over and over, lost in thought. He understood [Xiong Dun]'s condition better than anyone else.
1:47:36|1:47:42|But the sudden deterioration caught everyone off guard. He couldn't control his tears and started crying.
1:47:42|1:47:50|With his hands covering his eyes, letting tears slide down his fingers. He decided to take off his eyes, covering his nose and sobbing silently. At night,
1:47:50|1:47:59|[Xiong Dun] stood on the rooftop, wearing a hat, gloves, and a scarf. She boredly exhaled white mist into the air, feeling the cold of this winter.
1:47:59|1:48:8|A gust of wind blew a plastic bag onto the rooftop, flying past [Xiong Dun] and eventually hanging on the railing, making a rustling sound in the wind.
1:48:8|1:48:21|[Xiong Dun] walked over and rescued the struggling plastic bag from the railing, then threw it into the sky. It flew further and further with the wind, eventually becoming a small dot. [Xiong Dun] stood still, watching the plastic bag fly away.
1:48:21|1:48:28|It's as if the one who just regained freedom is [Xiong Dun] himself. [Xiong Dun]'s condition is getting worse, and everyone is busy with their own tasks.
1:48:28|1:48:34|[Xiao Xia] is busy working, transformed into a workaholic, standing in the conference room, confidently presenting the plan to everyone.
1:48:34|1:48:39|[Xia Meng] is dressed in a handsome suit, standing in front of the spotlight and camera.
1:48:40|1:48:48|[Xiong Dun's Mother] sat in front of the hospital bed, tears in her eyes as she looked at [Xiong Dun], nodding at her. [Xiong Dun] knew that her time was running out.
1:48:48|1:48:58|Facing her mother with a smile, [Xiong Dun's Mother] knew her daughter was bidding her final farewell. She held back her tears, unable to conceal the pain and sorrow.
1:48:58|1:49:4|Xiao Xia, who is in a meeting at the company, suddenly seems to sense something and stops what she is doing.
1:49:4|1:49:7|During the boxing match, [Lao Zheng] suddenly became distracted while sparring with his opponent.
1:49:9|1:49:18|The opponent took advantage of the opening and landed a punch on her face. She closed her eyes in pain and fell backwards. The back of her head hit the ground, slamming heavily on the boxing ring.
1:49:18|1:49:26|Sweat dripped from his hair onto the ground. [Xia Meng], who was in the middle of filming, stood still as if his soul had left his body.
1:49:26|1:49:38|Just back from a business trip, [Ai Mi] sat in the car and suddenly looked up to see a red balloon floating in the sky. It was light and inconspicuous, easily blown by the wind in whichever direction it pleased.
1:49:38|1:49:47|It's as if everyone had a telepathic connection, sensing [Xiong Dun]'s call in his final moments of life. [Ai Mi] was running down the hospital corridor with bags in hand.
1:49:47|1:49:51|Approaching the door of Xiong Dun's ward, I couldn't help but slow down my pace.
1:49:51|1:49:55|She slowly walked forward, but saw the scene she least wanted to see.
1:49:55|1:50:5|[Xiong Dun's Parents] looked devastated, as did the flatlined heart monitor beside them, signaling the departure of [Xiong Dun]. The items in [Ai Mi]'s hands scattered on the ground in an instant.
1:50:5|1:50:13|The sunflower plush toy given to [Xiong Dun] earlier fell to the ground, still playing [Xiong Dun]'s song. [Ai Mi] sat down, hesitating to enter the ward.
1:50:13|1:50:21|She bit her finger, tears streaming down her face silently. The scene then shifted to the funeral of [Xiong Dun].
1:50:21|1:50:28|The projector on the wall displays a cartoon image based on [Xiong Dun], with the words "Bear, we miss you" written below in a cute font.
1:50:29|1:50:37|[Xiao Xia] stood on the stage, bowed to the audience below, and said.
1:50:47|1:50:52|[Xiao Xia] turned around and opened the projector behind her.
1:51:6|1:51:12|[Xiong Dun] couldn't control his tears and stopped.
1:51:42|1:51:50|[Xiong Dun] turned his head, trying hard to hold back his tears. He then used his hand to cover his face, afraid that the tears would fall. However, the tears still stubbornly rolled down.
1:51:50|1:51:59|She had to wipe away the tears with her hand. Sitting in the audience, [Xiong Dun's Mother] also cried silently along with [Xiong Dun]. After [Xiong Dun] wiped away the tears,
1:51:59|1:52:2|Struggling to control her emotions and trembling voice.
1:52:15|1:52:22|[Xiong Dun] puts his hands together. [Xiong Dun's Father] couldn't help but cry.
1:53:20|1:53:25|[Xiong Dun] covered her nose, tears streaming down again. She sniffed and forced a smile, saying, "
1:53:29|1:53:35|[Xiong Dun] laughed and cried at the same time, facing the camera, making a big scissor gesture with his hand.
