0:2:44|0:2:48|Shen Lian's heart tightened as he watched.
1:40:39|1:40:47|The masked man, holding the iron club, unexpectedly pulled out a dagger and swiftly stabbed to resolve the situation.
1:40:50|1:41:0|[Pei Lun] fought more bravely, while [Shen Lian] held back the enemy. The elegant Spring Blade was placed against the masked man's neck, blood splattered, and the man fell down like rotten mud.
1:41:0|1:41:6|[Shen Lian] looked at [Ding Baiying] and [Lu Wenzhao], the two finally assumed a fighting stance, ready to start.
1:41:6|1:41:12|[Shen Lian] knew that this brother and sister duo were the real enemies, and the three of them were ready to strike at any moment.
1:41:14|1:41:28|At this moment, [Bei Zhai] in the mountains was running frantically with a bundle on her back. After a while, her pace gradually slowed down. She gasped and turned around, only to see swords clashing on the other side of the forest. [Bei Zhai] hesitated.
1:41:30|1:41:37|[Shen Lian] was being pressed back by two opponents while holding the ancestral Embroidered Spring Knife. He created some distance and shot out a crossbow bolt.
1:41:39|1:42:1|[Lu Wenzhao] dodged, [Ding Baiying] attacked, [Shen Lian] used a crossbow and a knife to force him back. [Lu Wenzhao] took the opportunity to sneak attack with a knife, hitting [Shen Lian] in the back. [Ding Baiying] attacked again, scratching [Shen Lian] in the abdomen. The two engaged in a fight, with [Shen Lian] narrowly avoiding danger multiple times with his agility. [Ding Baiying] swung a knife, and the two struggled. [Lu Wenzhao] swung a long knife horizontally towards [Shen Lian], who hurriedly defended himself.
1:42:1|1:42:24|[Lu Wenzhao] struck down with his long sword, fiercely hitting [Shen Lian]'s embroidered spring knife. Seizing the opportunity, [Ding Baiying] attacked from the side, but [Shen Lian] leaped into the air, avoiding the fatal blow. As he landed and stood up, [Pei Lun] saw him in a desperate situation and threw his short knife. [Shen Lian] caught it in mid-air, one hand gripping it normally and the other in reverse, adopting both offensive and defensive postures.
1:42:24|1:42:50|In the forest, [Bei Zhai] turned around and ran back towards the drawbridge. On the drawbridge, the black-clothed men were suppressing [Pei Lun], but he used their force against them, sending them off the cliff. [Pei Lun] on the drawbridge used his stick with great force to sweep the enemies off. Meanwhile, [Shen Lian] took the opportunity to duel with [Ding Baiying]. [Ding Baiying] used his sword skills, but when he struck, it hit the back of Shen Lian's embroidered spring knife. Shen Lian took advantage of this to switch the knife from his right hand to his left hand.
1:42:50|1:43:7|[Shen Lian] deciphered the Japanese swordsmanship. Every time he was struck by the back of the blade, [Shen Lian] took the opportunity to counterattack. With gritted teeth, [Ding Baiying] gripped the knife with both hands and struck vertically. [Pei Lun] struggled to climb back up the drawbridge. [Shen Lian] placed his left hand on his right wrist for leverage, completely suppressing [Ding Baiying].
1:43:7|1:43:15|[Lu Wenzhao] hurried over, [Pei Lun] quickly followed, [Shen Lian] threw the pipe knife, [Lu Wenzhao] dodged by turning his head, but firmly grabbed [Pei Lun] from behind.
1:43:15|1:43:40|[Lu Wenzhao] exerted all his strength to strike, but the blade stopped right in front of [Shen Lian]'s forehead. It turned out that [Pei Lun], who caught the blade first, had already rushed in and stabbed [Lu Wenzhao] through. With wide eyes full of disbelief, [Lu Wenzhao] fell. [Pei Lun] then pulled out the blade.
1:43:51|1:43:57|[Ding Baiying] covers her senior brother's wound to stop the bleeding.
1:44:32|1:44:47|Sounds echoed in the valley, [Shen Lian] quickly arrived at the edge of the cliff, only to see many soldiers and horses coming and going in the previous town, with horses neighing, echoing in the canyon, the scene of "birds have flown and the bow is hidden" is about to unfold.
1:44:54|1:45:30|[Shen Lian] and [Ding Baiying] supported the heavily injured [Lu Wenzhao]. There was no cover on the ground, small stones couldn't hide the three of them. [Shen Lian] quickly moved to [Pei Lun]'s side. In the magnificent imperial city, the Prince still stood at the gate, while the old eunuch [Wei Zhongxian] eagerly approached. The Prince turned around anxiously, his eyes filled with tears, while [Wei Zhongxian] was all smiles.
1:45:31|1:45:38|The ambush battle at the cliff edge is still ongoing, the siblings hiding behind the rocks are trembling with fear.
1:45:50|1:46:26|[Lu Wenzhao] suddenly realized, his eyes widened in shock and he felt a sense of panic. He couldn't believe that a loyal minister would end up in such a situation. [Lu Wenzhao] shouted hoarsely, his face twisted in pain, and [Ding Baiying] lowered his eyes, unable to look. [Lu Wenzhao] gently touched his junior sister's eyes, then stood up abruptly. Amid the astonished gazes of the crowd, he walked confidently towards the soldiers.
1:46:26|1:46:36|A cannonball hit his chest, almost knocking him down. Beside him, Ding Baiying nervously said, "The enemy forces are approaching in waves, pushing and shoving each other."
1:46:36|1:47:5|The staggering [Lu Wenzhao] was disregarded by everyone. This time, he was engulfed in the torrential flow and turbulent era like fate. With each strike, [Lu Wenzhao] fell, and [Ding Baiying] surged with blood, gripping his long knife to face the enemy, using his life to write the final elegy. [Master Ding] no longer had swordsmanship, only his heroic spirit.
1:47:5|1:47:31|[Shen Lian] turned around, and the figure reappeared. The soldiers drew their swords and charged forward. [Shen Lian] was anxious. How could he let his beloved take such a risk? He hurried forward.
1:47:41|1:47:58|[Bei Zhai] stopped in his tracks, looking anxiously at [Shen Lian], who held a knife in one hand blocking the drawbridge. The screams of [Master Ding], the fierce battle of [Pei Lun], and the body of [Lu Wenzhao] all foretold this tragic ending.
1:47:58|1:48:32|[Shen Lian] swung his knife at the vine, causing the suspension bridge to sway. Gritting his teeth, he fiercely chopped with both hands gripping the knife. On the bridge, [Bei Zhai] swayed, pleading in agony. As the bridge was about to break, [Bei Zhai] tearfully ran back, but after a few steps, turned back to look at [Shen Lian]. [Shen Lian] kicked and slashed with his knife, cutting through the branches and leaves. Each strike severed his own emotions and attachments.
1:48:32|1:48:49|[Bei Zhai] stood at the bridgehead, momentarily speechless. [Shen Lian] left no room for retreat, swinging his sword once again. The bridge broke, closely mirroring the breaking of [Bei Zhai]'s thoughts.
1:48:49|1:48:57|On the cliff, behind [Shen Lian] is chaos, behind [Bei Zhai] may be the dawn of a new era.
1:48:57|1:49:5|[Shen Lian] glanced at [Bei Zhai] one last time, clutching his sword, and with an unmatched fierceness, he charged into the battlefield.
1:49:5|1:49:18|[Bei Zhai] knew this man was always like this, so she shouldered her burden and headed towards the mountains. The fierce battle at this moment was exhilarating, even if she died here, she would have no regrets.
1:49:18|1:49:28|The bedridden emperor stretched out his hand to beckon his brother, and smiled contentedly.
1:49:40|1:49:52|On the cliff, the oil lamp flickering, [Shen Lian] lying on the ground, waving the Embroidered Spring Knife, [Master Ding] covered in blood, the long knife in his hand already worn out, with the blade curled.
1:50:9|1:50:29|[Shen Lian] suddenly widened his eyes, as if a last burst of energy, his whole spirit revived, wielding his sword with a majestic momentum, like a war god on earth. An archer shot an arrow at his thigh, but [Shen Lian] just slightly swayed his body, then reached back to pull out the arrow embedded in his thigh, fiercely intimidating the soldiers who were closing in on him.
1:50:29|1:51:2|The brave soldier, Shen Lian, who refused to believe in superstitions, seized the opportunity to strike, but ended up trading his life for a wound. Despite being at the end of his strength, he displayed such formidable fighting power that it struck fear into the hearts of the soldiers surrounding him. Sitting on the ground, gasping for breath with his sword in hand, he heard a voice in his mind, as if it was a call from the end of his life. Kneeling on the ground, he furrowed his brow and stared ahead.
1:51:2|1:51:8|The soldier struck with all his might at his back.
1:51:8|1:51:13|Pei Lun was leaning against a giant rock, smoking a pipe peacefully as he fell asleep without knowing when.
1:51:13|1:51:23|Exhausted Master Ding looked blankly at the uneven blades in his hand, [Shen Lian] fell, and half a month later in Beijing City,
1:52:0|1:52:11|[Wei Zhongxian] handed over a roster, which Emperor Chongzhen [Zhu Youjian] took and glanced through. He then calmly looked at [Wei Zhongxian] beside him and spoke,
1:52:30|1:52:34|The young [Zhu Youjian], full of spirit, lifted his head with a change of expression.
1:52:34|1:52:47|[Wei Zhongxian] looked around at the soldiers and officers, realizing that none of them were from his faction. He suddenly woke up to the fact that he had lost power. Realizing the situation, he quickly bowed and took his leave.
1:52:47|1:52:51|With the Wei faction eliminated, there are no eunuch factions in the court anymore.
1:52:51|1:52:57|Three months later, the Emperor stripped [Wei Zhongxian] of all his duties and exiled him to guard the mausoleum in Fengyang.
1:52:57|1:53:26|[Wei Zhongxian] died on the way, and the following year the emperor chose the reign title, Chongzhen. After [Wei Zhongxian] left, the emperor finally started to mark names in red. In this round, he saw [Shen Lian]'s name prominently on the list. The emperor held the brush in the air, hesitating to put it down. In the prison, [Shen Lian] looked disheveled, with unkempt hair and a scruffy beard. The Jinyiwei guards brought along attendants and a feast of food and wine, the flickering firelight illuminating their final dinner.
