0:1:28|0:1:34|The driver got out of the car and headed straight for the entrance of the club.
1:32:4|1:32:20|Tang Zheng was still angrily kicking the door, but couldn't get it open. [Lu Xiaoxing] then felt her way up the stairs to try to open the main door, only to find it tightly locked by Tang Zheng as well. With each kick, the structure outside loosened gradually, and soon he could stick half of his head out.
1:32:46|1:33:9|The police car roared towards the home of [Lu Xiaoxing], [Lu Xiaoxing] anxiously felt around and suddenly tripped over something, falling to the ground. She reached out and touched [Lin Chong]'s body, [Lu Xiaoxing] was shocked and quickly pressed her cheek against [Lin Chong]. Tang Zheng, sweating profusely from pushing the door, exerted more force to push the frame out a bit more. Finally, he squeezed out of the bathroom and rushed outside. [Lu Xiaoxing] used all her strength to help [Lin Chong] sit up, while Tang Zheng circled around several times.
1:33:9|1:33:32|Having just found the staircase, [Lu Xiaoxing] struggled to drag the unconscious [Lin Chong] towards the direction of the stairs. Tang Zhen's footsteps were getting closer, and [Lu Xiaoxing] managed to drag [Lin Chong] to a room near the staircase. Upon seeing the two, Tang Zheng paused for a moment, then his expression turned even more sinister. He quickened his pace, but [Lu Xiaoxing] managed to put [Lin Chong] aside and crawled towards the door before Tang Zheng could reach them. Tang Seng, unable to catch [Lu Xiaoxing], angrily pounded on the door.
1:33:40|1:33:46|[Lin Chong]'s phone rang again. Tang Zheng walked to the coffee table, picked up the phone and slammed it to the ground. At this moment, [Lu Xiaoxing] knelt beside [Lin Chong], trembling as she tried to give [Lin Chong] mouth-to-mouth resuscitation.
1:33:48|1:33:57|[Lin Chong] suddenly felt a dampness on his fingertips, and when he sniffed it, he was shocked. He quickly crawled to the shelf and took out the first aid kit.
1:33:57|1:34:11|Taking out a white bottle from the middle, [Lu Xiaoxing] carefully opened it and sniffed it. Just as [Lu Xiaoxing] was applying medicine to [Lin Chong], Tang Zheng outside picked up a golf club and ruthlessly swung at the door lock. With a full swing, Tang Zheng repeatedly smashed the door lock, leaving [Lu Xiaoxing] frozen in place.
1:34:12|1:34:20|The door lock was knocked open, Tang Zheng kicked open the door, looked down at the room, his face grim, and stepped slowly into the room.
1:34:20|1:34:26|With a cue stick in one hand and a lighter in the other, [Lu Xiaoxing] tried to light it several times, but still couldn't produce a flame.
1:34:26|1:34:48|Tang Zheng cautiously walked forward, closing the lighter lid. He held the baseball bat in the most handy position, carefully surveyed the room, but couldn't see the figures of the two people. Tang Zheng's gaze stopped at the curtain, he pursed his lips and stepped forward to pull open the curtain. There was nothing behind the curtain, suddenly [Lu Xiaoxing] emerged from beside the bookshelf, holding a pair of scissors.
1:34:49|1:34:59|[Lu Xiaoxing] tightly held the scissors, looking confusedly ahead and waving them around randomly. This scene piqued Tang Seng's interest, as he stood by [Lu Xiaoxing]'s side and lightly tapped her shoulder with a baseball bat. [Lu Xiaoxing] still held the scissors in her hand.
1:34:59|1:35:5|Panic-stricken, Lu Xiaoxing thrusts towards Tang Zheng, one hand tightly gripping the bookshelf behind him, while Tang Zheng pokes at the other side of Lu Xiaoxing's shoulder with a baseball bat.
1:35:5|1:35:16|[Lu Xiaoxing] panickedly waved the scissors and felt her way back against the wall, while Tang Zhenzheng noticed [Lin Chong] hidden behind the bookshelf. His brows suddenly furrowed as if he was about to wake up, and Tang Zhenzheng forced [Lu Xiaoxing] into the living room.
1:35:16|1:35:35|From time to time, [Lin Chong] would tap on the wall to provoke [Lu Xiaoxing]. Suddenly, he threw the pool cue aside and rushed forward to grab [Lu Xiaoxing]'s hand, then he grabbed her neck from behind. [Lu Xiaoxing] twisted his hand, threw [Tang Zheng] over his shoulder and onto the ground. While [Tang Zheng] was still trying to get up, [Lu Xiaoxing] hurriedly felt her way to the bar counter, then she picked up an iron bucket from the counter and turned towards the other side.
1:35:35|1:35:44|[Tang Zheng]'s originally injured arm was hurting even more, and it took him a while to struggle to get up before quickly catching up.
1:35:50|1:36:2|[Lu Xiaoxing] lit a match and held it up in front of [Tang Zheng], the iron bucket continuously pouring out liquid, causing [Tang Zheng] to be truly shocked and terrified. [Lu Xiaoxing] raised the match forward, leaving [Tang Zheng] frozen on the side, never expecting the entire bucket of gasoline to be poured all over himself.
1:36:2|1:36:8|[Tang Zheng] chuckled self-deprecatingly and grinned at [Lu Xiaoxing].
1:36:22|1:36:27|[Tang Zheng] looked angrily at the gasoline dripping on [Lu Xiaoxing], he took a few steps back and gently raised his toes.
1:36:35|1:36:56|[Tang Zheng] reluctantly reached into his pocket and accidentally kicked a drum set in the distance. He turned his eyes to [Lu Xiaoxing], who held up the key and shook it gently in front of her. [Lu Xiaoxing] tilted her head slightly to carefully discern the direction. Suddenly, [Tang Zheng] threw the key far away. [Lu Xiaoxing] hurried to grab the key, holding a match in one hand and fumbling for direction with the other. And as the match burned down to the end...
1:36:56|1:36:58|It went out again.
1:36:59|1:37:18|When the match lit up again, [Tang Zheng] raised the drum rack and smashed it towards [Lu Xiaoxing], only to hit the glass in front of him. The match in [Lu Xiaoxing]'s hand fell to the ground in the chaos, and the fire slowly spread, catching [Tang Zheng]'s arm. [Lu Xiaoxing] hurriedly searched on the ground and quickly found the key. By this time, flames had engulfed [Tang Zheng]'s whole body, and he struggled in the fire without time to care for [Lu Xiaoxing].
1:37:18|1:37:24|[Lu Xiaoxing] groped her way up the stairs, leaving [Liang Cong]'s photo there, silently blessing her sister.
1:37:24|1:37:36|The sprinkler started spraying water quickly, easing the fire. [Lu Xiaoxing] rushed out of the basement in a panic and locked the door. Walking along the wall, [Tang Zheng] suddenly emerged from the fire scene and caught up with [Lu Xiaoxing] in just a few steps, grabbing her clothes from behind.
1:37:36|1:37:59|He forcefully threw her onto the bar counter. Tang Zhen's half face was severely burned by the fire, looking terrifying. He staggered forward and dragged [Lu Xiaoxing] up, slapping her down to the ground. Relentlessly, he continued to beat [Lu Xiaoxing] without mercy, causing her to crash into the glass and fall to the ground. Tang Zheng, with his burnt wrist, stumbled and collapsed by the piano. Meanwhile, [Lu Xiaoxing] struggled to prop herself up and slowly crawled towards the exit.
1:37:59|1:38:11|Tang Zheng once again became obsessed, staring infatuatedly at the music box on the piano. After a long time, he tremblingly reached out his hand, carefully touching the protective cover. He slowly picked up the music box and walked menacingly towards [Lu Xiaoxing].
1:38:11|1:38:22|At this moment, [Lu Xiaoxing] was still struggling to climb outward with both arms, Tang Zheng held the music box in front of his eyes, watching the slowly moving [Lu Xiaoxing] through the music and protective cover. His expression was distracted, showing signs of mental collapse.
1:38:22|1:38:38|[Lu Xiaoxing] reached out with both hands, feeling and crawling, suddenly touching the vibrating guide detector her mother bought for her. But at this moment, Tang Zheng had already stood behind [Lu Xiaoxing]. He half-knelt beside [Lu Xiaoxing], firmly pressing her shoulders, and effortlessly turned [Lu Xiaoxing] over, pinching her neck.
1:38:43|1:38:47|Tang Zheng, with a crazy expression, has already mistaken Lu Xiaoxing for his sister Tang Qian.
1:38:55|1:39:15|[Lu Xiaoxing] was choked and couldn't breathe. His expression was scattered, Tang Zheng stared at [Lu Xiaoxing] tightly, his grip getting stronger. [Lu Xiaoxing] weakly raised his hand and pounded Tang Zheng's chest a few times, then furrowed his brow, closed his eyes tightly. Suddenly, Tang Zheng tilted his head to one side, with [Lin Chong] standing behind him holding a baseball bat tightly. He held his stomach in pain and helped [Lu Xiaoxing] to the edge of the bar.
1:39:18|1:39:24|[Lu Xiaoxing] opened her eyes dazedly, and [Lin Chong] placed her hand on his own face.
1:39:27|1:39:32|[Lu Xiaoxing] hurriedly took out a bunch of keys from his pocket and stuffed them into [Lin Chong]'s hand.
1:39:34|1:39:47|[Lin Chong] looked at the key in his hand in astonishment, then glanced at the French window. He lowered his head and placed one of [Lu Xiaoxing]'s hands on his shoulder, then turned towards the French window. With the key in hand, he quickly unlocked the iron chain with a few clicks.
1:39:49|1:40:8|Come on, [Lin Chong] helped [Lu Xiaoxing], who was almost unconscious, to get up. But they found Tang Zheng struggling to stand up. [Lin Chong] hurriedly helped [Lu Xiaoxing] up and pushed open the French window to run outside. Tang Zheng, with his hand on the wall, roared and lunged towards the window. [Lin Chong] quickly turned back to close the window, but was pushed aside by Tang Zheng. [Lu Xiaoxing] was thrown onto a nearby table. [Lin Chong] and Tang Zheng fell into the swimming pool.
1:40:16|1:40:20|[Lin Chong] got up and lunged at Tang Zheng again, who grabbed [Lin Chong]'s arm and threw him into the rain.
1:40:37|1:40:45|On the other side, tied up in the car, the helpless and roaring Liang Cong, Lu Xiaoxing, seemed to be back at the scene of the car accident years ago.
1:40:58|1:41:11|[Lu Xiaoxing] stood up with one hand on the ground, as if it were the same posture as when she forced herself up after the car accident years ago. [Lu Xiaoxing] walked forward a few steps with a dazed look on her face, then fell down again.
1:41:11|1:41:20|But she didn't give up, still struggling to crawl forward, [Lu Xiaoxing]'s hand groping on the ground, suddenly touching the tourist guide she bought for [Liang Cong].
1:41:20|1:41:27|This seemed to give Lu Xiaoxing endless strength as she held the ukulele tightly in her arms and stood up again.
1:41:34|1:41:47|Tang Zheng seemed tireless as he lifted [Lin Chong] out of the water and punched him in the face repeatedly. Meanwhile, in her memory, [Lu Xiaoxing] walked to the front of the car, with [Liang Cong] placing both hands on the passenger seat handle, her eyes still filled with fear and despair.
1:41:47|1:42:2|[Lu Xiaoxing] looked at her brother in the car with tears streaming down her face. She trembled as she reached out her hand to gently touch the window, while the other hand tightly gripped the door handle. She desperately tried to pull the door open, but it wouldn't budge. She then started banging on the window, unsure of what else she could do.
1:42:2|1:42:12|At this moment, it seems that crying is the only thing she can do. She howls, unwillingly grabs the car door handle, but it still has no effect. She weakly taps on the car window, in pain and despair.
1:42:13|1:42:21|[Lin Chong] was thrown to the ground and then lunged at Tang Zheng's calf. Just as he had knocked Tang Zheng to the ground, he was kicked by Tang Zheng into the rainwater. [Lu Xiaoxing] was still immersed in memories.
1:42:21|1:42:27|He helplessly leaned against the car window, not knowing what to do next.
1:42:27|1:42:32|The memory of [Liang Cong] is still very clear, looking at her with tears in her eyes.
1:42:36|1:42:46|Since childhood, he has always been encouraged by [Liang Cong], and now, [Lu Xiaoxing] slowly stands up against the wall. He opens his eyes and once again sees the clear face of [Liang Cong] in his memory.
1:42:46|1:42:55|[Liang Cong] had no despair or panic in his eyes, only endless encouragement and gratitude. He nodded to [Lu Xiaoxing], as if telling her, "You can do it."
1:42:55|1:43:1|His smile finally helped [Lu Xiaoxing] move on from the past, and she turned resolutely towards Tang Zheng.
1:43:6|1:43:26|Tang Zheng pushed Lin Chong into the water, then angrily walked towards Lu Xiaoxing. Lin Chong struggled in the water, trying to stop Tang Zheng, but he was too exhausted to do so and eventually fell into the water. Tang Zheng walked out of the pool, took out a surgical knife from his pocket, and quietly approached Lu Xiaoxing, who was standing quietly next to a sculpture.
1:43:30|1:43:38|The surrounding noise was too loud, greatly affecting Lu Xiaoxing's judgment. She closed her eyes to determine Tang Zheng's direction.
1:43:41|1:43:52|With the vibration of the guide detector in her hand, [Lu Xiaoxing] already had Tang Zheng's exact location in her mind. The image of the man in front of her became clearer and clearer, and he slowly approached her with a grim expression.
1:43:52|1:44:9|[Lu Xiaoxing] still kept her eyes closed, listening attentively with her guide cane held tightly. The frequency of the vibrations of the guide cane increased, and at this moment, Tang Zheng couldn't hold back his anger, rushing towards her with a surgical knife in hand. The figure in his mind drew closer, and [Lu Xiaoxing] clearly felt him charging towards her, raising the knife. Suddenly, [Lu Xiaoxing] opened her eyes wide.
1:44:9|1:44:17|With all her might, Lu Xiaoxing swung the ukulele over, the man in her mind instantly turned into ashes, while in reality, Lu Xiaoxing knocked Tang Zheng unconscious.
1:44:17|1:44:24|She relaxed and collapsed to her knees on the ground, while [Lin Chong] finally climbed out of the pool and breathed a sigh of relief as he knelt down.
1:44:24|1:44:31|The siren blared, and Lu Xiaoxing knew she was saved. Several police cars with flashing lights roared into the villa.
1:44:31|1:44:39|[Lu Xiaoxing] couldn't hold on and started to lean backwards slightly, while the mastermind Tang Zheng lay unconscious on the side, awaiting his judgment by justice.
1:44:39|1:44:45|Looking at [Lu Xiaoxing], [Lin Chong] smiled.
1:44:47|1:44:56|The police successfully arrived at the scene, and both [Lu Xiaoxing] were rescued.
1:44:58|1:45:3|This is a large concert scene, with a photo of [Liang Cong] playing on the stage screen, and the organizer of the concert standing on the stage.
1:45:4|1:45:11|They are all former band members of [Liang Cong], with glow sticks waving in the audience holding banners and signs with the band's name on stage.
1:45:48|1:45:57|The stage lights suddenly flickered, the rhythm changed, making the previously gentle atmosphere instantly lively.
1:45:57|1:46:5|The stage background suddenly turned into a galaxy of stars, with the audience below in darkness, only able to see the glow sticks of the fans flickering, while the guitarist skillfully strummed the strings.
1:46:5|1:46:15|The audience below is filled with banners that say "I love you, North Star", and at this moment, a figure in black walks onto the stage, instantly quieting the entire venue.
