0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside.
1:30:46|1:30:56|Laoying's upturned mouth froze, he glanced at Li Jianguo, then moved his mouth slightly. Next, he raised his left hand and bent his fingers.
1:30:57|1:31:2|Immediately, a drug dealer pressed down on [Zhang Haitao] and walked towards the two of them.
1:31:2|1:31:6|Then, the drug dealer forcefully kicked his knees and ripped off his hat.
1:31:7|1:31:14|The disfigured [Zhang Haitao] looked up and saw [Li Jianguo], instantly covering his face with his hands, but helplessly, his arms were pulled apart by the drug trafficker.
1:31:15|1:31:22|[Li Jianguo] wanted to step forward, but was firmly held back by the drug dealer behind him.
1:31:35|1:31:42|Continuing, he raised his right hand, and the drug dealer behind him immediately handed him a revolver.
1:31:42|1:31:51|Afterward, he unloaded all the bullets from the gun, picked out two, reloaded them into the magazine, and then walked slowly to [Zhang Haitao]'s front, squatting down.
1:32:4|1:32:10|[Zhang Haitao] instantly widened his eyes.
1:32:26|1:32:31|Zhang Haitao listened and his eyes welled up with tears. He looked at [Li Jianguo] helplessly, trembling.
1:32:31|1:32:42|Next, his right hand was forcibly stuffed into the gun by [Laoying]. At this moment, the drug dealer released Zhang Haitao's arms, and he lowered his head to look at the gun in his hand, his right hand trembling uncontrollably.
1:32:43|1:32:55|Laoying was about to burst into laughter, but unexpectedly Zhang Haitao suddenly pressed against his own chin, and Laoying shot Li Jianguo in the left foot.
1:32:57|1:33:12|The drug dealer dragged Zhang Haitao in front of [Li Jianguo], forcing him to point the gun at the other's head, but he refused to shoot. [Laoying] pointed a gun at Zhang Haitao to threaten him.
1:33:14|1:33:18|In desperation, he tightened his index finger, trembling, and pulled the trigger.
1:33:18|1:33:24|At the critical moment, [Lin Kai] used a rocket launcher to shoot down the signal jammer one after another.
1:33:24|1:33:32|Taking advantage of everyone's attention being drawn away, [Li Jianguo] and Zhang Haitao stood up at the same time. [Li Jianguo] first drew the drug dealer's knife and slit the throats of two people.
1:33:33|1:33:38|Zhang Haitao then rolled over and used his gun to take care of the other two.
1:33:39|1:33:44|At this moment, the special police joyfully discovered that [Li Jianguo]'s location had reappeared on the map.
1:33:44|1:33:50|[Lin Kai] threw away the rocket launcher and arrived at the rooftop of another building, aiming his gun at the drug dealers and opening fire.
1:33:50|1:33:57|At this moment, [Laoying] took advantage of the chaos and stabbed [Li Jianguo] in the left shoulder, but was then shot in the right knee by him.
1:33:58|1:34:6|The drug dealer lying in ambush on the rooftop immediately opened fire at [Li Jianguo], causing him to crouch down and then drag [Zhang Haitao] as they ran downstairs.
1:34:7|1:34:14|Watching as [Laoying] picked up a gun and chased after him, [Lin Kai] immediately aimed and fired wildly, hitting him in the left shoulder.
1:34:15|1:34:25|So [Laoying] ran to the door and turned around to shoot, seeing [Lin Kai] hiding behind the wall. At the same time, with the drug dealer coming to help, he immediately chose not to fight, turned around, and left the rooftop.
1:34:26|1:34:31|At this moment, [Li Jianguo] and the other person arrived at a wall and saw [Lin Kai] on the other side, exchanging a glance.
1:34:31|1:34:39|Then, he first pulled out the knife inserted in his left shoulder, and then, pulling up [Zhang Haitao], leaped into the air, stomped on the roof, and fell into the bungalow.
1:34:43|1:34:48|Two drug dealers who were just shot at from above were picked off one by one by [Lin Kai] on the opposite rooftop.
1:35:2|1:35:6|After bumping into [Qingshui] head-on, he asked her to take away Yanan's urn.
1:35:7|1:35:13|In the factory, groups of drug dealers take out various weapons from the cabinets.
1:35:14|1:35:20|[Lin Kai] then found a rope on the rooftop, so he tied it to a wooden pole and made a tight knot.
1:35:20|1:35:31|Then he jumped off the rope and landed on the street. On the other side, [Li Jianguo] raised his hand and took out a drug dealer.
1:35:32|1:35:40|Handing the pistol to Zhang Haitao behind him, Lin Kai picked up the drug dealer's submachine gun and arrived at an alley. The two aimed around, walking back to back.
1:35:40|1:35:43|Shortly after, they stopped in front of a door connected to the street.
1:35:43|1:35:50|Through the small hole in the door, [Li Jianguo] saw [Laoying] leading a large group of drug dealers carrying submachine guns, charging forward.
1:35:50|1:35:54|The residents in the town saw the situation and hurriedly took refuge in their homes.
1:35:55|1:36:3|Shortly after, Zhang Haitao opened the car door and walked out first. Then, [Li Jianguo] led him, walking along the road, and continued forward.
1:37:7|1:37:14|Facing the rain of bullets, [Lin Kai] arrived at the rear of the team. Then, effortlessly took out a few drug dealers with precise shots.
1:37:14|1:37:18|Finally, the drug dealers in the team were almost eliminated.
1:37:20|1:37:35|He took a slight aim, and the bullet shot out from the muzzle, piercing through the shoulders of two drug dealers in succession, then straight into the left shoulder of [Laoying]. But [Laoying], as if possessing an invincible body, did not stop the shooting action at all.
1:37:36|1:37:48|Suddenly, a car drove up to the intersection ahead, and the drug dealers inside crazily shot at [Lin Kai]. Seeing an opportunity to catch their breath, [Li Jianguo] quickly pushed Zhang Haitao and darted into the small alley on the right front.
1:38:3|1:38:10|[Li Jianguo] and [Lin Kai] arrived at a path filled with potted plants, even with pursuers behind them, they quickly split up on both sides of the low wall.
1:38:10|1:38:17|The drug dealer was shot dead by [Li Jianguo] as soon as he showed up. Then, Zhang Haitao smoothly took care of the second person who followed closely.
1:38:18|1:38:29|Upon discovering only two drug dealers, [Li Jianguo] quickly picked up the submachine gun on the ground. Suddenly, a gunshot came from behind, as [Lin Kai] had shot the attacker. Then he ran over.
1:38:34|1:38:39|Zhang Haitao nodded. Then, the three of them walked towards the intersection together.
1:38:40|1:38:44|As soon as he showed up, he was shot at by the drug dealer on a motorcycle and forced back against the wall.
1:38:45|1:38:53|Seeing another sedan approaching, [Lin Kai] shot the driver in the heart and then turned around to take out the two people on the motorcycle.
1:38:56|1:39:0|Li Jianguo saw the situation and shouted loudly, causing Zhang Haitao to cover his head and run towards the direction of the car.
1:39:1|1:39:9|After opening the car door, he forcefully dragged the drug dealer on the driver's seat to the ground. [Li Jianguo] and [Lin Kai] stood back to back, clearing the drug dealers in front of them.
1:39:10|1:39:18|Suddenly, [Laoying]'s car violently crashed into the rear of Zhang Haitao's car. The two who were originally in front of the car each jumped into the alleys on both sides.
1:39:18|1:39:25|Laoying kept suppressing the enemy with firepower. At this moment, Lin Kai and Li Jianguo locked eyes and swiftly rushed towards the intersection.
1:39:25|1:39:29|In an instant, two drug dealers were killed as their figures overlapped.
1:39:30|1:39:35|Taking advantage of [Laoying] being pinned down by the dead drug dealer, [Li Jianguo] quickly climbed into the driver's seat.
1:39:36|1:39:41|[Lin Kai] saw that the vehicle was not starting, so he placed the gun on the car and pushed the back of the car with force.
1:39:42|1:39:50|At this moment, [Laoying] forcefully lifted the body, picked up the gun, and shot towards [Lin Kai]. Unfortunately, being injured by the gunshot, he missed the target.
1:39:50|1:39:56|He then turned around, got into the car, stepped on the gas pedal and accelerated towards the direction of the three people.
1:39:57|1:40:4|The massive impact provided the momentum for [Li Jianguo] to start the vehicle, so he quickly shifted gears and drove forward.
1:40:4|1:40:12|Lin Kai quickly dodged into the roadside ditch, and as he saw them accelerating away, he leaped onto a passing motorcycle and closely followed behind.
1:40:13|1:40:17|Zhang Haitao struggled to raise his gun, aiming at the car in front of him, ready to take down the drug trafficker approaching from the front at any moment.
1:40:20|1:40:27|[Laoying] stepped on the gas pedal fiercely, trying to overtake, but when it didn't work out as planned, he could only irritably use his hand to cover his left shoulder, which was constantly oozing blood.
1:40:28|1:40:39|At this moment, [Lin Kai] was chasing after them and arrived at the intersection. Just as he was about to turn, he ran into the drug dealers who came to reinforce. So he changed direction, drove into the nearby alley, lifted the front of the car, and drove upwards.
1:40:44|1:40:49|Temporarily shaking off a group of gun-wielding thugs, he rode his motorcycle into a kitchen.
1:40:49|1:40:56|Turning his head, Lin Kai saw the gas tank on the ground. He kicked the valve with his foot, then lifted the front of the car to smash the window, flying towards the opposite side.
1:40:58|1:41:5|As if he had eyes on his back, he suddenly pulled out a gun and shot the gas tank behind him.
1:41:5|1:41:11|As a result, the drug dealers who had just entered the kitchen were immediately blown up beyond recognition.
1:41:12|1:41:16|At this moment, he was hit by the explosion and crashed straight into the coffee table in the opposite hotel.
1:41:16|1:41:24|After clutching his stomach for a moment, he quickly got up, mounted the motorcycle, smashed through the door panel, and drove towards the corridor.
1:41:25|1:41:34|Lin Kai was about to go downstairs when suddenly a group of drug dealers rushed up. He stepped on the gas pedal and drove up the stairs to the rooftop.
1:41:35|1:41:41|Looking around, before he could decide which way to go, the drug dealer on the opposite rooftop spotted him.
1:41:42|1:41:46|So he had no choice but to grit his teeth and dash forward.
1:41:46|1:41:51|The drug dealer on the opposite rooftop, upon seeing the situation, immediately started shooting and spraying towards them.
1:41:51|1:41:59|Helpless, the bullets always grazed past him. Finally, the drug dealer was provoked.
1:41:59|1:42:4|One person mounted the rocket launcher on his shoulder, aimed in the direction of [Lin Kai], and fired.
1:42:4|1:42:12|The shell grazed the rear of Lin Kai's car, hitting the water tank beside him accurately, and the entire rooftop was quickly engulfed by flames and rushing water.
1:42:13|1:42:20|Taking advantage of the drug dealer's vision being blocked by the explosion, [Lin Kai] stepped on the gas pedal again, flew off the rooftop, and landed on the rooftop of another building.
1:42:22|1:42:29|Bowing his head, [Lin Kai] quickly chased after [Li Jianguo] and [Laoying] who were speeding away in a car.
1:42:29|1:42:35|At this moment, the two cars were driving one after the other and crashed into the market. All the fruits on the stalls were swept to the ground.
1:44:30|1:44:40|Seeing Laoying's car turning the corner and still closely following Li Jianguo, Lin Kai accelerated towards the car on the side of the road and leaped into the air with the help of the force. Then, with a powerful leap, he grabbed onto the roof of Laoying's car.
1:44:42|1:44:51|Sensing someone above, [Laoying] suddenly turned the steering wheel, throwing [Lin Kai] straight onto the hood of the car. The drug dealer in the back seat quickly opened fire.
1:44:51|1:44:55|Unexpectedly, after being grabbed by [Lin Kai] and clinging to the car door, he raised his hand and struck his chest.
1:44:55|1:45:2|Laoying shuddered all over, immediately steering the car towards the truck on the side of the road. Lin Kai, who was hanging on the side door, had just climbed onto the roof.
1:45:2|1:45:11|He was hit by a sudden brake and crashed into the wall in front of him. Then, [Laoying] quickly reversed, leaving [Lin Kai] on the ground, and then stepped on the gas pedal to hit him again.
1:45:12|1:45:20|Fortunately, [Lin Kai] quickly flipped over and managed to hide just below the wall and the front of the car.
1:45:20|1:45:29|Unfortunately, he was stuck right at the front wheel. [Laoying] angrily gripped the gun and forcefully opened the driver's door, getting out of the car.
1:45:30|1:45:39|[Li Jianguo] kept looking at the rearview mirror, observing if there were any vehicles following. At this moment, [Laoying] roared at [Lin Kai].
1:45:41|1:45:45|Raising the submachine gun in his hand, he aimed it at his head.
1:45:45|1:45:52|While about to pull the trigger, [Lin Kai] was hit by the speeding vehicle driven by [Li Jianguo], sending him flying into the air.
1:45:52|1:46:6|Next, [Li Jianguo] kicked open the car door, aimed the gun at the eagle lying on the ground first, then quickly approached [Lin Kai]. Without listening, [Li Jianguo] immediately opened the car door.
1:46:6|1:46:11|Upon entering the driver's seat, Lin Kai was immediately struck from behind by the drug trafficker driving towards him.
1:46:12|1:46:17|At this moment, the vehicle moved away and [Lin Kai] quickly ran to his side.
1:46:20|1:46:28|The drug dealer driving towards them crazily shoots at the car blocking the road, while [Li Jianguo] hides behind the car and demands [Lin Kai] to leave.
1:46:28|1:46:31|So, he had to quickly evacuate with [Zhang Haitao].
1:46:32|1:46:39|Driving a distance, [Lin Kai] saw through the rearview mirror that [Li Jianguo] was firmly guarding the back of the car and shooting forward.
1:46:40|1:46:47|[Zhang Haitao] turned around and watched as his figure gradually disappeared from sight.
1:46:47|1:46:54|At this moment, [Li Jianguo] shoots the drug dealer in the driver's seat in the head, then crouches down and quietly takes out the approaching drug dealer.
1:47:45|1:47:51|At this moment, a drug dealer aimed at [Lin Kai] and fired a stray bullet, which happened to hit the vehicle in front.
1:47:52|1:48:3|But [Lin Kai] showed no fear in the face of the explosion. The blazing car pushed through the vehicles at the intersection, and the drug dealers who followed hastily got into their car and accelerated to chase after [Lin Kai].
1:48:6|1:48:13|Back in the town, [Li Jianguo] was lying on the ground, clutching his chest, continuously spitting out blood.
1:48:13|1:48:31|Lying on the ground, [Laoying] suddenly woke up, struggled to lift his head and looked around. He found a submachine gun not far from himself, and also noticed [Li Jianguo] eyeing the submachine gun. So the two faced each other and scrambled towards the submachine gun.
1:48:31|1:48:40|Unfortunately, the gun was closest to [Laoying], so when he got hold of it, he shot [Li Jianguo] directly in the left shoulder.
1:48:40|1:48:45|Looking at the suffering Li Jianguo, the bloodied Laoying excitedly asked.
1:49:8|1:49:14|[Laoying] listened, widened his eyes, propped his left hand on the ground, but slowly raised the muzzle with his right hand.
1:49:14|1:49:22|Next, aiming at [Li Jianguo]'s chest, a shot was fired. Seeing [Laoying] pointing the gun at himself again,
1:49:22|1:49:27|[Qingshui] pulled the trigger without hesitation, only to have the bullet pass through his own chest.
1:49:27|1:49:36|In an instant, the urn slipped from her hands and she fell backwards on the road. At that moment, a gust of wind blew by.
1:49:36|1:49:44|Laoying, spitting blood from his mouth, saw the ashes being thrown into the air and desperately moved his head and hands.
1:49:44|1:49:50|Watching the ashes being blown away bit by bit, his eyes were red and he kept sobbing in his mouth.
1:49:50|1:49:56|Trying every possible means, Lin Kai headed towards the direction of the urn, wanting to touch and leave his own mark for Yunan to find later.
1:49:58|1:50:12|Suddenly, [Li Jianguo] opened his eyes again and looked at [Laoying], who had already crawled to his feet. He took out a short knife from behind, knelt down, and plunged it straight into [Laoying]'s back.
1:50:12|1:50:19|[Qingshui] looked at [Li Jianguo] like this, and remembered the scene of hiding under the boards as a child, watching his father being shot.
1:50:19|1:50:27|Li Jianguo gently patted her.
1:50:36|1:50:45|After speaking, [Li Jianguo] removed his hand from the corner of her mouth, then booped her nose, smiled, and finally, bent down and left from under the wooden board.
1:50:45|1:50:51|Now, seeing the man who once couldn't bear to kill himself, covered in blood.
1:50:52|1:50:57|[Qingshui] slowly closed his eyes, tears streaming down from the corners of his eyes.
1:51:12|1:51:16|The sun was setting in the west, and the three of them lay on the ground for a long time.
1:51:16|1:51:25|On the other side, [Lin Kai] drove quickly through a field of knee-high rice paddies, even though the dust kicked up blocked the view of the drug dealers behind.
1:51:25|1:51:34|But the bullets fired wildly by the opponent made him still not dare to take it lightly. At this moment, the vehicle drove through the paddy fields and arrived in the woods.
1:51:34|1:51:41|After twisting and turning, he drilled deeper. But suddenly, [Lin Kai] noticed that Zhang Haitao was no longer making any noise.
1:51:51|1:51:59|After speaking, [Lin Kai] stepped on the gas pedal fiercely, passing through another bend, while the drug trafficker behind him mounted a machine gun and chased relentlessly.
1:51:59|1:52:7|At this moment, [Lin Kai] stretched his neck and looked up at the sky. After observing the direction in which the leaves were swaying, he took out a signal gun from his pocket.
1:52:7|1:52:14|Next, a signal flare with a special marking bloomed above the river.
1:52:20|1:52:24|In the helicopter, the pilot quickly reported the direction upon seeing the signal flare.
1:52:25|1:52:29|The special police officers rushing to the river drove the airship towards the target location.
1:52:29|1:52:38|At this moment, [Lin Kai] emerged from the woods, under the crazy gunfire of the drug traffickers, he stepped on the gas pedal hard and drove straight towards the river.
1:52:38|1:52:48|Before falling into the water, [Lin Kai] threw himself towards [Zhang Haitao], using his body to block most of the impact from the rushing water, and then pushed him out of the car with all his strength.
1:52:49|1:52:54|At this moment, [Zhang Haitao] used both hands and feet to emerge from the water, taking big breaths of fresh air.
1:52:54|1:53:0|Lin Kai was not seen surfacing for a long time, as his shoelace got tangled in the clutch.
1:53:0|1:53:7|He gritted his teeth, bent down and fumbled. Finally, before running out of breath, he successfully surfaced.
1:53:7|1:53:18|The two figures were quickly captured by the armed police on the airship. Before the drug dealers could shoot at them, they continued to suppress the firepower on the shore.
1:53:19|1:53:24|Seeing the reinforcements arriving, the drug dealers quickly retreated and slipped into the car, preparing to make a quick getaway.
1:53:25|1:53:29|But the special police had already locked down all of [Laoying]'s strongholds in the small town.
1:53:29|1:53:34|The drug manufacturing plant and the transportation line were all wiped out by a large number of armed forces.
1:53:34|1:53:44|Next, [Lin Kai] and Zhang Haitao were pulled onto the airship, escorted by multiple helicopters, turned a corner, facing the setting sun, and headed towards China.
1:54:14|1:54:22|[Lin Kai] in police uniform, arrived at the cemetery.
1:54:33|1:54:41|As soon as Director Lin finished speaking, nearly 50 police officers holding their police caps solemnly saluted.
1:54:43|1:54:49|Standing on both sides of Chief Lin were [Lin Kai] and Zhang Haitao, looking at the tombstone of [Li Jianguo], unwilling to lower their right hands from the salute for a long time.
1:55:11|1:55:16|At this moment, [Lin Kai] recalled the instructions given to him by the director in the office.
1:55:16|1:55:24|Finally, unable to hold back the tears, [Lin Kai] wept. Meanwhile, [Laoying] sat in a wheelchair, gazing at his 36-year-old comrade.
