0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
1:57:18|1:57:27|Just as [Bai Letian] lazily stretched his ribs, a bright light suddenly appeared behind him, accompanied by joyful voices in his ears. In an instant, they were transported back to the magnificent and splendid feast of paradise 30 years ago.
1:57:27|1:57:43|[Bai Letian] was extremely excited as he watched the guests frolicking in front of him, dancers performing aerial dances, and the Taiye Pool filled with 7000 catties of fine wine. [Yang Yuhuan] and [Tang Xuanzong] were caressing the imperial cat while chatting and laughing, and the spirited young Baihe was chasing around in the hall.
1:57:45|1:57:58|Chasing and playing. The [Demon Cat] is leaping around in the hall, wanting to carefully examine each frame, wanting to return to the feast of paradise 30 years ago. [Bai Letian] is also pleasantly surprised by each frame before him. In the crowd, he finally sees that arrogant and unruly poetic immortal [Li Bai].
1:57:58|1:58:8|He saw him lying next to Taiye Pool, drinking wine leisurely with his legs crossed, and he also saw [Yang Yuhuan] looking back and saying that to [Li Bai].
1:58:27|1:58:36|The scene of the feast in paradise suddenly disappeared.
1:58:59|1:59:12|Following Guaweng's gaze, passing through the now overgrown and desolate Taiye Pool, on a stone slab lies the body of [Yang Yuhuan], lying peacefully. [Bai Letian] immediately ran over.
1:59:12|1:59:28|He finally saw Yang Yuhuan, the woman who haunted his dreams, appearing before his eyes. Just as the old lady had said. Bai Letian ran up to Kong Hai almost in tears, asking.
1:59:57|2:0:6|The demon cat stared at its own body and the imperial concubine for a long time, tears welling up in its eyes.
2:0:19|2:0:38|Kong Hai's words awakened the demon cat, and it finally admitted that Yang Yuhuan was dead, and its obsession was completely shattered.
2:0:39|2:0:55|The old man lying on the ground begged the demon cat to kill him, but the demon cat showed its claws and then retracted them, choosing not to kill him. At that moment, it let go of its desire for revenge, turned around, and walked past the feet of [Bai Letian] and [Kong Hai], because it didn't want them to see the tears in its eyes.
2:0:55|2:1:12|It slowly walked towards [Yang Yuhuan], no longer the demon cat that had harmed countless people, but just an ordinary cat. Gasping for breath, it finally reached the edge of the stone slab. It leaped, trying to jump to the side of the noble consort, but it had no strength left and fell down.
2:1:12|2:1:27|It refused to accept defeat and jumped again, only to fall even harder, rolling several meters away. It lay on the ground gasping for breath, barely clinging to life. [Bai Letian] and [Kong Hai] quickly rushed to its side. Looking at the two, the demon cat finally spoke its mind.
2:1:29|2:1:44|The two of them looked at it sorrowfully, when suddenly a crane's cry came from above. The demon cat struggled for its last breath, lifted its head to see the [Huang He]. It kept hovering in the dome of the palace, flapping its wings and shuttling in the golden sunlight.
2:1:45|2:2:7|Gazing at the sudden appearance of the White Crane, the three individuals had different expressions. Bai Letian was puzzled, Kong Hai was relieved, while Guaweng clasped his hands together devoutly as he looked at it. The demon cat lying on the ground seemed to be influenced, as it lifted its head and stared at the White Crane flying in the sky for a long time, then quietly closed its eyes and peacefully fell to the ground.
2:2:7|2:2:18|Under their gaze, [Bai He] flew higher and higher, disappearing into the sunlight. It flew away, taking the soul of the demon cat with it.
2:2:19|2:2:33|When Bai Letian and Kong Hai regained consciousness, they found that the demon cat lying on the ground had already breathed its last breath, and strangely, the body of Bai Long had also disappeared. Kong Hai picked up the demon cat's body and gently placed it next to Yang Yuhuan's body.
2:2:33|2:2:52|The story of the 30-year-old demon cat and [Yang Yuhuan] came to an end. The next day, [Bai Letian] and [Kong Hai] walked once again on the bustling streets of Chang'an, and [Kong Hai] said.
2:3:16|2:3:32|[Bai Letian] finally confirmed his "Changhen Ge" without changing a word. The two soon arrived at a tavern, where [Bai Letian] drank it all in one gulp. Unable to resist, [Kong Hai] spoke up.
2:3:41|2:3:46|[Master Konghai] put down the wine in his hand, watching [Bai Letian] disappear into the crowd, and gave a heartfelt praise.
2:3:47|2:4:8|The ruthless and unscrupulous [Bai Letian] is now walking towards the sunset on the head of Chang'an Bridge, finally dispelling the shadows in his heart and no longer living under the shadow of [Li Bai]. The bell of the Great Blue Dragon Temple rings again, and [Master Konghai] comes to the temple again before parting.
2:4:14|2:4:30|He entered the Great Blue Dragon Temple as he wished, where the monks stood humbly with their hands clasped together on both sides of the hall. In the center stood a towering Arhat with a distinctive expression. After passing through the hall and exchanging greetings with the monks who welcomed him in the inner hall, the monk said.
2:4:34|2:4:52|[Master Konghai], with a look of doubt, bid farewell to the monk and came alone to the staircase. The staircase was just behind a golden Buddha over 10 meters high. As he reached the second floor, Master Huiguo appeared behind him. Sensing someone behind him, [Konghai] stopped in his tracks, and the master stepped forward, gazing at [Konghai]'s back, and asked.
2:4:54|2:4:58|[Master Konghai] smiled knowingly, indeed Master Huiguo is [Dan Long], he turned around.
2:5:2|2:5:8|He took out the box that Master Konghai left at their doorstep last time, with "Feast of Paradise" written on it.
