0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
1:33:11|1:33:30|Time is incredibly cruel. In the blink of an eye, 75 days have passed. The diesel is running out, and the light of the electric heater gradually dims and finally disappears. The wind and snow pick up outside again, the temperature drops sharply. Without diesel, the generator loses power and, after a few stalls, slowly comes to a stop.
1:33:30|1:33:43|The cruel issue of survival hung over the two like the sword of Damocles once again, with the wind and snow raging outside. [Wu Fuchun] could no longer stay safely at home, they must make a desperate effort to find a way out.
1:33:44|1:33:59|In the room, [Jing Ruyi] packs up the luggage for [Wu Fuchun], then takes out a booklet from her pocket. [Wu Fuchun] looks at [Jing Ruyi] for a while, then slowly reaches out to take the booklet she handed over.
1:34:8|1:34:20|Fuchun looked at [Jing Ruyi] with eyes so gentle they could squeeze out water. Then, under [Jing Ruyi]'s expectant gaze, he opened the book, a collection of poems, with many markings made by [Jing Ruyi] in the blank spaces.
1:34:40|1:34:50|Time cannot be wasted for a moment, Wu Fuchun once again embarked on the journey to find the research station.
1:35:14|1:35:23|[Jing Ruyi]'s teeth have started to fall out.
1:35:48|1:36:3|He took off his shoes, endured the intense pain, and moved his already blackened toes, hoping to persevere a little longer. Exhausted from searching for a way, he sat on a rock, watching the waves crashing against the giant rocks ahead.
1:36:11|1:36:16|Wu Fuchun discovered a huge whale skeleton and stood next to it.
1:36:18|1:36:30|Wu Fuchun couldn't contain the despair in his heart, looking at the skeleton with a sense of hopelessness, then turning to face the turbulent sea. The waves kept crashing onto the shore, in an endless cycle.
1:36:31|1:36:43|The hollow eye sockets of the skeleton gazed calmly at him, the wind blowing through the bones making a rustling sound. Fuchun closed his eyes, trying to feel his most genuine thoughts deep inside.
1:36:43|1:37:7|He quickly found the answer, took out a shovel and began to dig the snow under his feet with force. At this time, the sky over Antarctica was clear, but the bright sunlight couldn't warm his chest. Soon a large pit was dug, this was the final resting place in Fuchun's heart. He calmly lay in the pit, later Fuchun carried [Jing Ruyi] back to the seaside, [Jing Ruyi] leaned tightly against Fuchun.
1:37:7|1:37:10|Both Wu Fuchun and Jing Ruyi looked at the sea in the distance, neither of them said a word.
1:37:15|1:37:21|Ruyi looked ahead with a melancholy expression, and [Wu Fuchun] pursed his lips and pondered for a while before speaking.
1:37:42|1:37:50|Ruyi greedily gazes at the sky and glaciers in front of her.
1:38:4|1:38:10|[Wu Fuchun] tears streamed down his face, trembling as he forcibly held back from crying out loud.
1:38:36|1:38:47|Ruyi leaned against [Wu Fuchun] with relief, savoring their final moments together. 70 days ago, [Wu Fuchun] gave her a reason to live, and now it was her turn to bring him the final belief.
1:38:47|1:39:5|In the end, [Wu Fuchun] listened to her advice. He walked forward with a backpack on his back, braving the wind and snow, taking one step at a time. Suddenly, he stopped in his tracks, hesitated, and turned around. Looking back, not far behind him was a cabin, and at the door of the cabin stood the person he loved the most.
1:39:5|1:39:16|[Wu Fuchun] pursed his lips, lowered his eyes, and couldn't help but glance deeply at Ruyi before turning away in pain. The injury on his right foot was getting worse, so [Wu Fuchun] could only limp forward.
1:39:16|1:39:29|Ruyi didn't return to the house until she couldn't see the figure of [Wu Fuchun]. She glanced at the stove that had never been lit again, limped back to the wooden house, and [Wu Fuchun]'s will to survive was not as strong as before.
1:39:29|1:39:47|Ruyi's physical condition was the biggest blow to him, and he knew that Ruyi didn't want to become a burden to him at the last moment. Fuchun walked in the snow, occasionally looking back, unaware that [Jing Ruyi] was sitting in the wooden house, his eyes never leaving the place where he disappeared.
1:39:47|1:40:9|During this time alone, [Jing Ruyi] tore down the poster and placed it by the seat, repeatedly caressing the areas she had drawn, the numbers marked by arrows. His mouth had already cracked in several places, his spirits not as high as before. Meanwhile, [Wu Fuchun] faced the wind and snow, searching for the final way out in this countdown.
1:40:9|1:40:28|The weather in Antarctica turned bad again, [Wu Fuchun] dragged his backpack against the fierce storm, struggling to move forward. The bone-chilling ice shards cut like blades on his face, and the clothes wrapped around his body could only be piled up around his neck. The strong wind made it impossible for him to move forward, and the backpack in his hand was blown away without a trace.
1:40:28|1:40:42|He propped himself up with his hands, crawling forward bit by bit against the storm. In these over 70 days, [Wu Fuchun] had never encountered such harsh weather. The fierce wind, accompanied by heavy snow, mercilessly slapped against his face.
1:40:45|1:41:2|The strong wind blew [Wu Fuchun] up and he flew backwards. Instinctively, he reached out in all directions and finally managed to stabilize himself on the ground. At this moment, [Wu Fuchun] couldn't even open his eyes. He gritted his teeth, stepped his foot into the snow, and lay down as close to the ground as possible.
1:41:2|1:41:18|The blizzard continued, and soon the visibility around was almost zero, [Wu Fuchun] was nowhere to be seen. After an unknown amount of time, the blizzard finally stopped, [Wu Fuchun] was almost completely covered by snow, with only half of his head exposed.
1:41:19|1:41:35|The piercing sound and icy touch brought [Wu Fuchun] back to consciousness. His eyelashes trembled slightly as a penguin stood in front of him, tilting its head curiously to observe him.
1:41:36|1:41:48|The penguin called out twice to [Wu Fuchun], seemingly indicating for him to move forward. Then it turned around and staggered ahead, revealing the wind vane on its back. [Wu Fuchun] stood still for a moment.
1:41:48|1:41:58|Hastily propping up his arm and crawling forward, wanting to see clearly, the penguin walked and stopped, occasionally turning its head to look, as if confirming whether Wu Fuchun was following it.
1:41:58|1:42:15|It brought [Wu Fuchun] to the side of the wind vane, looking at [Wu Fuchun], then gestured for him to look down. Following the penguin's gaze, he saw several colorful steel houses. The penguin accompanied [Wu Fuchun] for a while, understanding that it had completed its mission, and then wobbled away.
1:42:15|1:42:27|The penguin waddled forward, swaying its head from side to side. Suddenly, it stopped in its tracks, as if sensing the gaze of Wu Fuchun. It turned its head to look at Wu Fuchun, leaving behind a trail of small footprints like maple leaves.
1:42:36|1:42:53|[Wu Fuchun] could only muster enough strength to make it to the nearest house. He collapsed weakly next to the seven of clubs, frustratedly hitting his own legs. He bent down to pick up a stone and began desperately pounding on the paint bucket behind him, trying to get the examiner's attention.
1:43:6|1:43:11|[Wu Fuchun] collapsed on the ground, then looked unwillingly towards the nearby colored steel house.
1:43:40|1:43:57|In the moment of despair for [Wu Fuchun], a group of people in orange ski suits rushed towards him. He stiffly turned his head to the side, looking bewildered. In that moment, there were not only tears in [Wu Fuchun]'s eyes, but also a glimmer of light shining. It wasn't just himself, but also [Jing Ruyi], who was saved.
1:43:57|1:44:4|Four researchers hurriedly took [Wu Fuchun] on a heavy snow vehicle towards the small wooden house, with [Wu Fuchun] sitting inside.
1:44:4|1:44:22|At the thought of seeing [Jing Ruyi] soon, his mouth couldn't help but curl up, the snowmobile raced at full speed, sometimes along the seaside, sometimes across the snowfield, the vehicle rushed towards the wooden house without stopping, suddenly the driver slammed on the brakes, causing everyone to stumble.
1:44:22|1:44:40|The snow-capped mountain in front suddenly triggered an avalanche, with snow blocks roaring and rolling down like a tsunami. The wooden cabin was only a few kilometers away from the foot of the mountain. The researchers had no time to think about a rapid retreat. It was then that [Wu Fuchun] saw the illusion behind through the car window.
1:44:40|1:44:44|The snowmobile raced forward at a speed matching that of the avalanche,
1:44:47|1:45:5|[Wu Fuchun] opened the car door and tried to rush out, but was firmly grabbed by two members of the scientific expedition team. At this moment, all he could see was a vast expanse of white, and he could no longer see the shadow of the wooden house. [Wu Fuchun] stood still, staring ahead blankly. He thought of the people in the wooden house waiting for him to come home, and he recklessly wanted to rush down.
1:45:6|1:45:14|Two expedition members quickly grabbed [Wu Fuchun]'s shoulders and dragged him back, knowing better than anyone the terror of an avalanche.
1:45:18|1:45:34|[Wu Fuchun] lay on the side of the car door, wailing in despair towards the direction of the avalanche. Several members of the expedition team could only hold on to [Wu Fuchun] tightly and lead him away from this dangerous place.
1:45:34|1:46:0|In his dream, [Wu Fuchun] repeatedly saw this scene. That day, he carefully placed the candlestick on the wooden table, illuminating the face of the Virgin Mary. Inside the small wooden house, he knelt on one knee, gently took her hand, and devoutly put the imaginary ring on the ring finger of [Jing Ruyi]. After putting on the ring, [Wu Fuchun] raised his hand to lift the white veil covering [Jing Ruyi]'s head. [Jing Ruyi] then lowered her head to look into [Wu Fuchun]'s eyes.
1:46:0|1:46:4|After completing everything with the shy little girl, [Wu Fuchun] also looked affectionately at [Jing Ruyi].
1:46:6|1:46:21|At this moment, their eyes were only on each other. Then [Wu Fuchun] slowly leaned towards [Jing Ruyi] and gently brushed her lips. [Wu Fuchun] lay on the hospital bed, opening his eyes blankly. The room was dark, but occasionally a streak of light would pass over his cheeks.
1:46:21|1:46:43|[Wu Fuchun] turned to look out the window, at this moment the white day in Antarctica had completely passed, and polar night had arrived. The aurora floated lightly, sometimes dim and sometimes bright. Emitting a blue-green light from deep to shallow, [Wu Fuchun] seemed to understand the truth that [Jing Ruyi] was studying at this moment, he stared fixedly at the splendid aurora outside the window.
1:46:43|1:46:54|The brilliant light illuminated the eyes of [Wu Fuchun], revealing not only the shock of beauty, but also his endless yearning. He leaned towards the edge of the bed, yet his eyes were reluctant to move away from the aurora.
1:46:54|1:47:6|Because [Jing Ruyi] has deeply engraved the aurora in his heart, thinking of this, [Wu Fuchun] sadly lowers his eyes, drifting to the other side, that is the ski suit he is wearing, also [Jing Ruyi]'s ski suit.
1:47:6|1:47:19|[Wu Fuchun] gently stroked the ski suit, then took out the Antarctic survival guide that [Jing Ruyi] gave him from the outer pocket. [Wu Fuchun] flipped through a few pages, carefully drawing two lines in red pen next to each note.
1:47:19|1:47:40|At this moment, [Wu Fuchun] trembled as he held the survival manual, unable to control his emotions and bent down to cry. He forced back his tears and turned a few more pages, only to find the Guanyin pendant that [Jing Ruyi] had always worn around her neck lying quietly in the manual. He took the jade pendant out of the manual and held it in his hand, examining it carefully.
1:47:40|1:47:56|Suddenly thinking of the day when [Jing Ruyi] saved him with her body temperature, he made the most sincere promise to Guanyin. [Wu Fuchun] looked out the window and saw the familiar scene again, she loved this land. He didn't believe that [Jing Ruyi] would just sit and wait to die in the cabin.
1:47:56|1:48:4|So [Wu Fuchun] escaped and rode a snowmobile all the way, quickly arriving at a snowy slope.
1:48:4|1:48:24|The road here is rugged and often has protruding rocks. Despite increasing the horsepower, the snow keeps flipping out from under the wheels without any progress. [Wu Fuchun] limps towards the hillside. This is the meeting place he and [Jing Ruyi] agreed upon.
1:48:34|1:48:42|[Wu Fuchun] knelt down in front of the snow pit and saw [Jing Ruyi] lying inside as if asleep.
1:48:50|1:48:55|[Wu Fuchun] held [Jing Ruyi]'s hand and looked into her eyes with deep affection.
