0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside the house.
1:40:28|1:40:39|At this moment, [Lin Kai] was chasing after them. When he arrived at the intersection and was about to turn, he ran into the drug dealers who came to reinforce. So he changed direction, drove into the nearby corridor, lifted the front of the car, and drove upwards.
1:40:44|1:40:56|Temporarily shaking off a group of gun-wielding thugs, he rode a motorcycle into a kitchen. Turning his head, he saw a gas tank on the ground, kicked the valve with his foot, then lifted the front of the bike to smash the window and flew towards the opposite side.
1:40:58|1:41:11|As if he had eyes on his back, [Lin Kai] suddenly pulled out a gun and shot the gas tank behind him. As a result, the drug dealers who had just entered the kitchen were immediately blown to pieces.
1:41:12|1:41:24|At this moment, he was hit by the explosion and crashed straight into the coffee table in the opposite hotel. After pausing for a moment to hold his stomach, he quickly got up, straddled the motorcycle, smashed through the door panel, and drove towards the corridor.
1:41:25|1:41:34|Lin Kai was about to go downstairs when suddenly a group of drug dealers rushed up. He stepped on the gas pedal, rushed up the stairs, and arrived on the rooftop.
1:41:35|1:41:59|Looking around, before he could decide which way to go, the drug dealer on the opposite rooftop spotted him. So, he had no choice but to grit his teeth and run straight ahead. Seeing this, the drug dealer on the opposite rooftop started shooting at him continuously. Helplessly, the bullets always grazed past him. Finally, the drug dealer got annoyed.
1:41:59|1:42:12|One person mounted the rocket launcher on his shoulder, aimed in the direction of [Lin Kai], and fired. The shell grazed the back of [Lin Kai]'s car, hitting the water tank beside him accurately, and the entire rooftop was quickly engulfed by flames and water.
1:42:13|1:42:20|Taking advantage of the drug dealer's line of sight being blocked by the explosion, [Lin Kai] stepped on the gas again, flew off the rooftop, and landed on the rooftop of another building.
1:42:22|1:42:35|Bowing his head, [Lin Kai] quickly chased after [Li Jianguo] and [Laoying] who were speeding away in their car. At that moment, the two cars collided in the market, with fruits from the stalls scattered all over the ground.
1:44:30|1:44:40|Seeing Laoying's car turning the corner and still closely following Li Jianguo, Lin Kai accelerated towards the car on the side of the road, using the force to leap into the air. Then, with a powerful leap, he grabbed onto the roof of Laoying's car.
1:44:42|1:44:55|Sensing someone above him, [Laoying] abruptly turned the steering wheel, throwing [Lin Kai] straight onto the hood of the car. The drug dealer in the back seat quickly opened fire, but was caught off guard when [Lin Kai] dodged and grabbed onto the car door, raising his hand to hit him in the chest.
1:44:55|1:45:11|Laoying shuddered all over, immediately steering the car towards the truck on the side of the road. Lin Kai, hanging on the side door, had just climbed onto the roof when he was slammed by Laoying's sudden brake into the wall in front of him. Then, Laoying quickly reversed, leaving Lin Kai on the ground, and then stepped on the gas pedal to ram into him.
1:45:12|1:45:29|Fortunately, [Lin Kai] quickly rolled over and managed to hide just under the wall and the front of the car. Unfortunately, he got stuck right at the front wheel. [Laoying] angrily gripped his gun and forcefully opened the driver's door, stepping out.
1:45:30|1:45:39|[Li Jianguo] kept looking at the rearview mirror, checking if there were any vehicles following. At this moment, [Laoying] roared at [Lin Kai].
1:45:41|1:45:52|Upon finishing speaking, he raised the submachine gun in his hand and aimed it at his head. Just as he was about to pull the trigger, he was hit by the high-speed vehicle driven by [Li Jianguo] and sent flying into the air.
1:45:52|1:46:11|Next, [Li Jianguo] kicked open the car door, aimed his gun at [Laoying] who was lying on the ground, then quickly approached [Lin Kai]. Without hesitation, [Li Jianguo] opened the car door. Unexpectedly, as soon as he got into the driver's seat, he was shot in the leg by the drug dealer who drove up behind him.
1:46:12|1:46:17|At this moment, the vehicle moved away, and [Lin Kai] quickly ran to his side.
1:46:20|1:46:31|The drug dealer driving towards them crazily sprayed bullets at the car blocking the road, with [Li Jianguo] hiding behind the car and demanding [Lin Kai] to leave. Therefore, he had to quickly evacuate with [Zhang Haitao].
1:46:32|1:46:39|Driving a distance away, [Lin Kai] saw through the rearview mirror that [Li Jianguo] was firmly guarding the back of the car and shooting forward.
1:46:40|1:46:54|[Zhang Haitao] turned around and watched as his figure gradually disappeared from sight. At that moment, [Li Jianguo] shot the drug dealer in the driver's seat in the head, then crouched down and quietly took out the approaching drug dealer.
1:47:45|1:47:51|At this moment, a drug dealer aimed at [Lin Kai] and fired a stray bullet, which happened to hit the vehicle in front.
1:47:52|1:48:3|But [Lin Kai] showed no fear in the face of the explosion, the blazing car rammed straight into the cars blocking the intersection, and the drug dealers behind dodged and quickly got into the car, accelerating to chase after [Lin Kai].
1:48:6|1:48:13|Back in the town, [Li Jianguo] was lying on the ground, clutching his chest, continuously spitting out blood.
1:48:13|1:48:31|Laoying, lying on the ground, suddenly woke up, struggled to lift his head and looked around, only to find a submachine gun not far from himself. At the same time, he also noticed Li Jianguo, who was eyeing the submachine gun. So the two faced each other and scrambled towards the submachine gun.
1:48:31|1:48:45|Unfortunately, the gun was closest to [Laoying], so when he grabbed it, he shot [Li Jianguo] directly in the left shoulder. Watching the painful [Li Jianguo], the bloodied [Laoying] excitedly asked.
1:49:8|1:49:27|[Laoying] listened, eyes wide open, left hand on the ground, while slowly raising the gun with his right hand. Then, aiming at [Li Jianguo]'s chest, he fired a shot. Seeing [Laoying] pointing the gun at himself again, [Qingshui] pulled the trigger without hesitation, only to have the bullet pass through his own chest.
1:49:27|1:49:50|In an instant, the urn slipped from her hands and she fell backwards on the road. At that moment, a gust of wind blew by, lifting the ashes directly into the air. Seeing this, [Laoying], who was spitting blood, desperately moved his head and hands. With tears in his eyes, he watched as the ashes were blown away bit by bit, continuously sobbing.
1:49:50|1:49:56|Trying every possible means, he climbed towards the direction of the urn, wanting to touch it again with his own hands, leaving a mark for himself from Yunan.
1:49:58|1:50:19|Suddenly, [Li Jianguo] opened his eyes again and looked at [Laoying], who had crawled to his feet. He took out a dagger from behind, knelt down, and plunged it straight into [Laoying]'s back. As [Qingshui] watched this [Li Jianguo], she was reminded of the scene from her childhood when she hid under a wooden board and saw her father being shot.
1:50:19|1:50:27|Li Jianguo gently patted her.
1:50:36|1:50:51|After speaking, [Li Jianguo] moved his hand away from her mouth, then tapped her nose, smiled, and then, bent over, left from under the wooden board. Now, seeing the man who once couldn't bear to harm himself, covered in blood.
1:50:52|1:50:57|[Qingshui] slowly closed his eyes, tears streaming down from the corners of his eyes.
1:51:12|1:51:34|As the sun sets in the west, three people lie on the ground for a long time. On the other side, [Lin Kai] drives through a field of waist-high rice paddies in a hurry. Even though the dust kicked up blocks the view of the drug dealers behind him, the bullets they crazily shoot make him remain vigilant. At this moment, the vehicle drives through the rice paddies and arrives in the woods.
1:51:34|1:51:41|After twisting and turning, he drilled deeper. But [Lin Kai] suddenly noticed that Zhang Haitao was no longer making any noise.
1:51:51|1:52:14|After speaking, [Lin Kai] stepped on the gas pedal hard, passing through another bend, while the drug trafficker behind him mounted a machine gun and chased relentlessly. At this moment, [Lin Kai] stretched his neck, looked up at the sky, observed the direction of the swaying leaves, and then took out a signal flare from his pocket. Subsequently, a signal flare with a special mark bloomed above the river.
1:52:20|1:52:38|In the helicopter, the pilot quickly reported the direction upon seeing the signal flare. The special police officers rushing to the river drove the airboat towards the target. At this moment, [Lin Kai] emerged from the woods, stomped on the gas pedal under the crazy gunfire of the drug traffickers, and headed straight towards the river.
1:52:38|1:52:48|Before falling into the water, [Lin Kai] threw himself towards [Zhang Haitao], using his body to block most of the impact from the rushing water, and then pushed him out of the car with all his strength.
1:52:49|1:53:7|At this moment, [Zhang Haitao] used both hands and feet to emerge from the water, breathing in fresh air deeply. Seeing that [Lin Kai] had not surfaced for a long time, it turned out that his shoelace was tangled on the clutch. So, he gritted his teeth and bent down to search. Finally, just before running out of breath, he successfully emerged from the water.
1:53:7|1:53:18|The two figures were quickly spotted by the armed police on the flying boat. Before the drug traffickers could shoot at them, they continued to suppress the firepower on the shore.
1:53:19|1:53:34|Seeing the reinforcements arrive, the drug dealers quickly retreated and rushed into their cars, preparing to escape. However, the special police had already locked down all of Laoying's strongholds in the small town. The drug manufacturing plant and transportation lines were all wiped out by a large number of armed forces.
1:53:34|1:53:44|Next, [Lin Kai] and Zhang Haitao were pulled onto the airship, escorted by multiple helicopters, turned a corner, facing the setting sun, and headed towards China.
1:54:14|1:54:22|[Lin Kai] in police uniform, arrived at the cemetery.
1:54:33|1:54:41|As soon as the director finished speaking, nearly 50 police officers holding police caps solemnly saluted.
1:54:43|1:54:49|Standing on both sides of the bureau chief, [Lin Kai] and Zhang Haitao, looking at the tombstone of [Li Jianguo], unwilling to put down the right hand saluting for a long time.
1:55:11|1:55:24|At this moment, [Lin Kai] recalled the instructions from the director in the office, and finally couldn't help but shed tears. Zhang Haitao sat in a wheelchair, looking at his 36-year-old comrade.
