0:2:44|0:2:48|Shen Lian felt a tightness in his heart as he watched.
1:41:30|1:41:37|[Shen Lian] was being pressed back by two opponents while holding the ancestral Embroidered Spring Knife. He created some distance and shot out a crossbow bolt.
1:41:39|1:42:1|[Lu Wenzhao] dodged, [Ding Baiying] attacked, [Shen Lian] used a crossbow and a knife to force him back, [Lu Wenzhao] took the opportunity to sneak attack with a knife, hitting [Shen Lian] in the back, [Ding Baiying] attacked again, scratching [Shen Lian]'s abdomen, the two fought together, [Shen Lian] narrowly avoided danger several times with his agility, [Ding Baiying] struck with a knife, the two struggled, [Lu Wenzhao] swung a long knife horizontally towards them, [Shen Lian] hurriedly defended.
1:42:1|1:42:24|[Lu Wenzhao] struck down with his long sword, fiercely hitting [Shen Lian]'s embroidered spring knife. Seizing the opportunity, [Ding Baiying] attacked from the side, but [Shen Lian] leaped into the air, avoiding the fatal blow. As he landed and stood up, [Pei Lun] saw him in a desperate situation and threw his short knife. [Shen Lian] caught it in mid-air, one hand gripping it normally and the other in reverse, adopting both offensive and defensive postures.
1:42:24|1:42:50|In the forest, [Bei Zhai] turned around and ran back towards the drawbridge. On the drawbridge, black-clothed men were suppressing [Pei Lun], but he used their force to strike back, sending them off the cliff. [Pei Lun] on the drawbridge used his stick with great force to sweep the enemies off. [Shen Lian] took the opportunity to duel with [Ding Baiying]. [Ding Baiying] used his Japanese sword skills, but his strike hit the back of Shen Lian's embroidered spring knife. Shen Lian took advantage of this to switch the knife from his right hand to his left hand.
1:42:50|1:43:7|[Shen Lian] deciphered the Japanese swordsmanship. Every time he was struck by the back of the blade, [Shen Lian] took the opportunity to counterattack. With gritted teeth, [Ding Baiying] gripped the knife with both hands and struck vertically. [Pei Lun] struggled to climb back up the drawbridge. [Shen Lian] placed his left hand on his right wrist for leverage, completely suppressing [Ding Baiying].
1:43:7|1:43:15|[Lu Wenzhao] hurried over, [Pei Lun] quickly followed, [Shen Lian] threw the pipe knife, [Lu Wenzhao] dodged by turning his head, but firmly grabbed [Pei Lun] from behind.
1:43:15|1:43:40|[Lu Wenzhao] exerted all his strength to strike, but the blade stopped in front of [Shen Lian]'s forehead. It turned out that [Pei Lun], who caught the blade first, had already killed [Lu Wenzhao] by stabbing him through. With wide eyes full of disbelief, [Lu Wenzhao] fell. [Pei Lun] then pulled out the blade.
1:43:51|1:43:57|[Ding Baiying] covers her senior brother's wound to stop the bleeding.
1:44:32|1:44:47|Sounds echoed in the valley, [Shen Lian] hurried to the edge of the cliff, only to see many soldiers and horses coming and going in the previous town, with the sound of neighing echoing in the canyon, the scene of birds hiding and bows ready to be staged.
1:44:54|1:45:30|[Shen Lian] and [Ding Baiying] supported the heavily injured [Lu Wenzhao]. There was really no cover on the ground, the small stones couldn't hide the three of them. [Shen Lian] quickly moved to [Pei Lun]'s side. In the magnificent imperial city, the Prince still stood at the gate. The old eunuch [Wei Zhongxian] eagerly approached, while the Prince turned around with a worried look. The Prince was on the verge of tears, but [Wei Zhongxian] was all smiles.
1:45:31|1:45:38|The ambush battle at the cliff edge is still ongoing, the siblings hiding behind the rocks are trembling with fear,
1:45:50|1:46:26|[Lu Wenzhao] suddenly realized, his eyes widened in shock and he felt a sense of panic. He couldn't believe that a loyal minister would end up in such a situation. [Lu Wenzhao] shouted hoarsely, his face twisted in pain, and [Ding Baiying] lowered his eyes, unable to look. [Lu Wenzhao] gently touched his junior sister's eyes, then stood up abruptly. With a proud and defiant posture, he walked towards the soldiers, amidst the astonished gazes of the crowd.
1:46:26|1:46:36|A cannonball hit his chest, almost knocking him down. Beside him, [Ding Baiying] nervously said, "The enemy forces are surging forward, pushing and shoving each other."
1:46:36|1:47:5|The staggering [Lu Wenzhao] was disregarded by everyone. This time, he was engulfed in the torrential flow and turbulent era like fate. With each strike, [Lu Wenzhao] fell, and [Ding Baiying] surged with blood, gripping his long sword to stand up and face the enemy, using his life to write the final elegy. [Master Ding] no longer had swordsmanship, only heroism.
1:47:5|1:47:31|[Shen Lian] turned around, and the figure reappeared. The soldiers drew their swords and charged forward. [Shen Lian] was anxious, unwilling to let his beloved take such a risk. He hurried forward.
1:47:41|1:47:58|[Bei Zhai] stopped in his tracks, looking anxiously at [Shen Lian], who held a knife in one hand blocking the drawbridge. The screams of [Master Ding], the fierce battle of [Pei Lun], and the body of [Lu Wenzhao] all foretold this tragic ending.
1:47:58|1:48:32|[Shen Lian] swung his knife at the vine, causing the suspension bridge to sway. Gritting his teeth, he fiercely chopped with both hands gripping the knife. On the bridge, [Bei Zhai]'s figure swayed, pleading in agony. As the bridge was about to break, [Bei Zhai] tearfully ran back, but after a few steps, turned back to look at [Shen Lian]. [Shen Lian] kicked and slashed with his knife, cutting through the branches and leaves, severing his own emotions and concerns one slash after another.
1:48:32|1:48:57|[Bei Zhai] stood at the bridgehead, momentarily speechless. [Shen Lian] left no room for retreat, swinging his sword once again. The bridge broke, cutting off not only the bridge but also [Bei Zhai]'s deep concerns. On the cliff, behind [Shen Lian] was chaos and disorder, while behind [Bei Zhai] perhaps lay the dawn of a new era.
1:48:57|1:49:18|[Shen Lian] gave one last glance at [Bei Zhai], lifted his sword, and with an unmatched fierceness, charged into the battlefield. Knowing this man's nature, [Bei Zhai] shouldered her burden and headed towards the mountains. The fierce battle was now in full swing, even if one were to die here, there would be no regrets.
1:49:18|1:49:28|The bedridden emperor stretched out his hand to beckon his brother, and smiled contentedly.
1:49:40|1:49:52|On the cliff, the oil lamp flickering, [Shen Lian] lies on the ground, wielding the Embroidered Spring Knife, while [Master Ding], covered in blood, his long knife with jagged edges, lies beside him.
1:50:9|1:50:29|[Shen Lian] suddenly widened his eyes, as if a last burst of energy, his whole spirit revived, wielding his sword with a majestic aura, like a war god in the mortal world. An archer shot an arrow at his thigh, but [Shen Lian] just slightly swayed his body, then reached back to pull out the arrow deeply embedded in his thigh, fiercely intimidating the soldiers who were closing in on him.
1:50:29|1:51:2|The brave soldier, Shen Lian, who doesn't believe in superstitions, seizes the opportunity to strike, but ends up trading injury for life. Despite being at the end of his strength, he unexpectedly displays such formidable fighting power that it terrifies the besieging soldiers. Sitting on the ground, gasping for breath with his sword in hand, he hears a voice in his mind, as if it's a call from the brink of death. Kneeling on the ground, he furrows his brow and stares with determination.
1:51:2|1:51:23|The soldier struck with all his might on his back. Pei Lun, leaning against a huge rock at some point, fell asleep peacefully with a pipe in his mouth. Exhausted, Master Ding stared blankly at the uneven blades in his hand, Shen Lian fell, and half a month later in Beijing City,
1:52:0|1:52:11|[Wei Zhongxian] handed over a roster, which Emperor Chongzhen [Zhu Youjian] took and glanced through. He then calmly looked at [Wei Zhongxian] beside him and spoke,
1:52:30|1:52:51|Young [Zhu Youjian], full of spirit, raised his head and changed his attitude. [Wei Zhongxian] looked around at the soldiers and officers, realizing that none of them were from his faction. He suddenly woke up to the fact that he had lost power. Understanding the situation, he quickly bowed and took his leave. In this battle, the Wei faction was completely eliminated, and there were no eunuch factions in the court anymore.
1:52:51|1:52:57|Three months later, the Emperor stripped [Wei Zhongxian] of all his duties and exiled him to guard the tomb in Fengyang.
1:52:57|1:53:26|[Wei Zhongxian] died on the way, and the next year the emperor chose the reign title, Chongzhen. After [Wei Zhongxian] left, the emperor finally started to mark names in red. This time, he saw [Shen Lian]'s name prominently on the list. The emperor held the brush in the air, hesitating to put it down. In the prison, [Shen Lian] looked disheveled, with unkempt hair and beard. The Imperial Guards arrived with attendants, bringing food and wine, the flickering firelight illuminating their final dinner.
