0:2:20|0:2:27|拍完后，皮草男坐在中国女孩对面打量着她。
1:33:53|1:33:59|[吴富春]看了[荆如意]半晌，缓缓伸出手接过她递来的册子。
1:34:8|1:34:20|富春看向[荆如意]的目光温柔的可以掐出水来，随后他在[荆如意]期待的目光下打开了册子，这是一本诗集，[荆如意]在空白的地方标了许多东西。
1:34:40|1:34:50|时间不能耽误片刻，富春再次踏上了寻找科考站之旅。
1:35:14|1:35:23|[荆如意]的牙齿已经开始脱落。
1:35:48|1:36:3|他脱下鞋忍着剧痛活动着已经发黑的脚趾，希望能再多坚持一段时间。找路找累了他便坐在一块石头上，看着前方海浪击打着巨石。
1:36:11|1:36:16|富春发现了一块巨大的鲸鱼骸骨，站在鲸鱼骸骨的旁边。
1:36:18|1:36:25|富春压抑不住内心的绝望，心灰意冷地看着这副骸骨，又转头面向波涛汹涌的大海。
1:36:25|1:36:30|浪花不断地拍上海滩，周而复始。
1:36:31|1:36:43|骸骨空洞的双眼平静地注视着他，风吹过骨头，发出沙沙的声音，富春闭上双眼，用心感受着自己内心最真实的想法。
1:36:43|1:37:7|他很快找到了答案，拿出铁锹用力的开始铲脚下的雪，此时南极上空一片晴朗，可这明晃晃的日光怎么也暖不热他的胸膛很快大坑挖好了，这就是富春心里最后的归宿，他从容的躺在坑里，后来富春背着[荆如意]再次来到海边，[荆如意]紧紧的靠着富春来，
1:37:7|1:37:10|两个人看着远处的海面，谁也没有说话。
1:37:15|1:37:21|如意忧郁地看着前方，[吴富春]抿着嘴思索了半天才开口。
1:37:42|1:37:50|如意贪婪地看着眼前的天空和冰川。
1:38:4|1:38:10|[吴富春]泪如雨下，他颤抖着嘴角强忍着不让自己哭出声。
1:38:36|1:38:40|如意欣慰地靠在[吴富春]肩上，享受着他们最后的时光。
1:38:40|1:38:47|70天前[吴富春]给了她活下去的理由，而现在换她给[吴富春]带来最后的信念。
1:38:47|1:38:58|最终[吴富春]听从了她的意见，他背着背包迎着风雪深一脚浅一脚地往前走着，突然他停下了脚步，还是不舍地转过身。
1:38:58|1:39:5|向背后望去，在他身后的不远处就是木屋，而木屋的门口站着他最爱的人。
1:39:5|1:39:16|[吴富春]抿着嘴垂下眼，又忍不住地深深望了如意一眼后，忍痛转过身，右脚的伤越来越重了，[吴富春]只能一瘸一拐地往前行走。
1:39:16|1:39:29|如意一直到看不见[吴富春]的身影后才回到屋内，她撇了一眼再也没有燃过的灶台，一瘸一拐地回到木屋，而[吴富春]的求生欲也不如之前那么强烈。
1:39:29|1:39:36|如意的身体是对他最大的打击，他也知道如意不想在最后时刻变成自己的拖累。
1:39:36|1:39:47|富春行走在雪原，时不时就会回头望一望，殊不知家中的[荆如意]坐在了木屋里，眼睛一刻也未从他消失的地方移开。
1:39:47|1:40:9|在这段独自一人的时光里，[荆如意]把海报撕下来放在座椅边，一遍又一遍地抚摸着她画过的地方，标记的箭头列出的数字，他的嘴角已经裂开了好几个口子，精神也大不如前，而[吴富春]迎着风雪在这场倒计时中寻找着最后的出路。
1:40:9|1:40:28|南极的天气再次变得恶劣起来，[吴富春]拖着背包迎着猛烈的风暴，艰难地向前走着，刺骨的冰渣像刀刃一样划在脸上，围在身上的衣服也只能堆在脖颈上，强风让他根本无法前进，手里的背包也被吹得无影而终。
1:40:28|1:40:38|他用手撑着地面，迎着风暴一点一点向前爬，这70多天里[吴富春]从来没有遇见过如此恶劣的天气。
1:40:38|1:40:42|狂风裹着暴雪毫不客气地拍打在他脸上。
1:40:45|1:40:51|只见狂风将[吴富春]竟然吹得站起来，随后直接向后飞去。
1:40:51|1:40:54|他本能的四处乱抓，终于趴在地上稳住了。
1:40:54|1:41:2|此时[吴富春]根本睁不开眼，他咬着牙将脚踏进雪里又趴下来，尽可能地贴在地上。
1:41:2|1:41:9|暴风雪仍在继续，很快周围的能见度几乎为0，再也看不到[吴富春]。
1:41:9|1:41:18|不知过了多久，暴风雪终于停了，[吴富春]几乎全身都被风雪覆盖，只露出了半个脑袋。
1:41:19|1:41:26|刺耳的叫声和冰冷的触感让[吴富春]有了知觉。
1:41:26|1:41:35|他的睫毛微微颤抖，在他面前站着一只企鹅，这只企鹅歪着脑袋好奇地打量着他。
1:41:36|1:41:46|企鹅向[吴富春]叫了两声，似乎示意他往前走，随后转过身，摇摇晃晃地往前走去露出了背后的风向标。
1:41:46|1:41:48|[吴富春]愣了半天。
1:41:48|1:41:58|急忙撑着手臂向前爬，想要看得真切，企鹅走走停停，时不时的转头看一眼，像是在确认[吴富春]是否在跟着自己。
1:41:58|1:42:9|它带着[吴富春]来到风向标旁，看着[吴富春]，又示意他往下看，顺着企鹅的视线望去，看到几片色彩斑斓的彩钢房。
1:42:9|1:42:15|企鹅陪着[吴富春]看了半天，明白自己已经完成使命，摇摇晃晃地离开了。
1:42:15|1:42:27|企鹅摇头晃脑地向前走着，突然停下了小步，似乎是感觉到了[吴富春]的目光，它回过头看了眼[吴富春]，只留下了一串枫叶般的小脚印。
1:42:36|1:42:53|[吴富春]的力气只能够支撑他来到最近的房子，他无力地摔倒在七筒边上，气急败坏地砸着自己的腿，他俯身捡起一个石块马拿着石块拼命的敲打身后的油漆桶，试图引起科考员的注意。
1:43:6|1:43:11|[吴富春]瘫倒在地上，又不甘心地看向不远处的彩钢房。
1:43:40|1:43:57|在[吴富春]即将绝望的时候，一群身穿橘色滑雪服的人朝他奔来，他僵硬地转过头迷茫地看着侧方，这一刻[吴富春]的眼里不不止有泪，还有闪烁着的光芒，不只是自己[荆如意]也得救了。
1:43:57|1:44:4|四名科考员急忙带着[吴富春]上了重型雪地车向小木屋出发，[吴富春]坐在里面。
1:44:4|1:44:22|一想到能马上见到[荆如意]，他的嘴角就忍不住地扬起，雪地车马力全开，时而行进在海边，时而迈向雪原，车子马不停蹄地向木屋奔去，突然驾驶员一个急刹车，将众人都摔了个踉跄。
1:44:22|1:44:29|只见前面的雪山发生了雪崩，雪块发出轰鸣般的响声，铺天盖地翻滚来。
1:44:29|1:44:33|而木屋就在离山脚下不过几公里的位置。
1:44:33|1:44:40|科考员根本没有时间思考飞速撤退，这时[吴富春]才通过车窗看到了背后的假象。
1:44:40|1:44:44|雪地车飞速前进着与雪崩比赛的速度，
1:44:47|1:45:5|[吴富春]打开车门想要冲下去，却被两个科考队员紧紧地抓住，此刻漫天都是白茫茫的一片，他再也看不到木屋的影子。[吴富春]愣住了，他怔怔地看着前方，他想到木屋里的人一直在等他回家，不要命地往下冲。
1:45:6|1:45:14|两名科考队员急忙扳住[吴富春]的肩膀将他拖回，他们比谁都会清楚雪崩的可怕。
1:45:18|1:45:28|[吴富春]趴在车门边，冲着雪崩的方向发出绝望的哭嚎。
1:45:28|1:45:34|几名科考队员只能死死地抓住[吴富春]将他带离这个危险的地方。
1:45:34|1:46:0|[吴富春]的梦里反复出现这一幕，那天他将烛台小心地放在木桌上，照亮了圣母玛利亚的脸，在小木屋内他单膝跪地，温柔地牵起她的手，并将想象中的戒指无比虔诚地套进[荆如意]的无名指，戴完戒指后，[吴富春]抬起手揭开盖在[荆如意]头上的白纱，[荆如意]则配合地低下头看向[吴富春]的眼神里，
1:46:0|1:46:4|带着小女孩的娇羞而完成这一切后，[吴富春]也深情地望着[荆如意]。
1:46:6|1:46:21|此刻他们的眼神里只有彼此，随后[吴富春]缓缓的靠向[荆如意]轻轻熨上她的嘴唇，[吴富春]躺在病床上茫然睁开双眼，此时屋里暗沉沉的却时不时有流光划过他的脸颊。
1:46:21|1:46:32|[吴富春]转过头向窗外看去，此时南极洲的白昼已经彻底过去，极夜到了。极光轻盈地飘荡时暗时亮。
1:46:32|1:46:43|从深到浅发出蓝绿色的光芒，[吴富春]在这一刻似乎明白了[荆如意]研究的真理，他目不转睛地盯着窗外绚丽的极光。
1:46:43|1:46:54|灿烂的光芒照亮了[吴富春]的眼，除了对美的震撼，更透露出他无尽的思念，他靠向床边，但他的眼睛不舍得从极光中移开。
1:46:54|1:47:6|因为[荆如意]已经将极光深深地刻在了他的心底，想到这里[吴富春]难过地垂下眼，飘向另一侧，那是他穿着的滑雪服，也是[荆如意]的滑雪服。
1:47:6|1:47:13|[吴富春]轻柔地抚着滑雪服，又从外侧口袋里掏出[荆如意]给他的南极生存指南。
1:47:13|1:47:19|[吴富春]翻开了几页，每一处注意事项都用红笔细心地画上了两条杠。
1:47:19|1:47:40|看到这里[吴富春]颤抖着捧着生存手册忍不住地俯下身痛哭，[吴富春]强忍泪水又往后翻了几页，发现那一件被[荆如意]一直戴在脖子上的观音吊坠，此刻正静静地躺在手册中，他把玉坠从手册中拿出来，举在手中仔细端详着。
1:47:40|1:47:46|突然想到[荆如意]用体温救下他的那天，他向观音许下最真诚的诺言。
1:47:46|1:47:53|[吴富春]抬起头看向窗外，这是[荆如意]再熟悉的景象，她热爱这片土地。
1:47:53|1:47:56|他不相信[荆如意]会在小木屋里坐以待毙。
1:47:56|1:48:4|于是[吴富春]逃了出来，骑上雪地摩托一路奔驰而去，[吴富春]很快地来到了一处雪坡前。
1:48:4|1:48:16|这里崎岖不平，时常有突出的石块，他加大马力雪不停地从车轮下翻出来，但依旧没有前进半分，[吴富春]一瘸一拐地向山坡上冲去。
1:48:16|1:48:24|这是他和[荆如意]约好的地方。
1:48:34|1:48:42|[吴富春]跪倒在雪坑前，瞧见[荆如意]躺在里面仿佛睡着了一般。
1:48:50|1:48:55|[吴富春]握着[荆如意]的手看向她的眼神里透着深情。
