0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
1:38:18|1:38:29|发现仅有两个毒贩后，[李建国]迅速捡起地上的冲锋枪，突然，背后传来一声枪响，原来是[林凯]击毙了偷袭的人。然后他跑了过来。
1:38:34|1:38:39|张海涛点点头。随后，三人一起向路口走去。
1:38:40|1:38:44|结果刚一露头，就被骑摩托车的毒贩开枪逼回墙根。
1:38:45|1:38:53|看到又有一辆轿车袭来，[林凯]一枪命中驾驶员心脏，又转身干掉摩托车上的两人。
1:38:56|1:39:0|[李建国]见状大吼，于是张海涛捂着头，向轿车的方向跑去。
1:39:1|1:39:9|拉开车门后，奋力将驾驶位上的毒贩扯到地上。[李建国]和[林凯]则背靠背，清理着面前的毒贩。
1:39:10|1:39:18|突然，[老鹰]的车狠狠撞向张海涛的车尾。原本在车前的二人，各自跳进两边的小巷，
1:39:18|1:39:25|[老鹰]则不断带人火力压制。此时，[林凯]、[李建国]视线交汇，迅速扑向路口。
1:39:25|1:39:29|身影相叠瞬间，打死两个毒贩。
1:39:30|1:39:35|趁着[老鹰]被死掉的毒贩压在身下，[李建国]急忙钻进驾驶座。
1:39:36|1:39:41|[林凯]见车辆迟迟打不着，于是将枪背在车上，用力推着车尾。
1:39:42|1:39:50|此时，[老鹰]用力掀开尸体，拿起枪，就冲[林凯]射去。无奈，身负枪伤没能打中。
1:39:50|1:39:56|接着，他转身上车，轰大油门加速撞向三人的方向。
1:39:57|1:40:4|巨大的冲击刚好为[李建国]发动车辆提供了动力，于是，他迅速挂档，向前开去。
1:40:4|1:40:12|闪身躲进道沿的[林凯]，看到他们加速离开，横跨上一辆摩托车后，紧紧跟在后方。
1:40:13|1:40:17|张海涛则艰难地举着手枪，对准车前，以备随时干掉，从前方而来的毒贩。
1:40:20|1:40:27|[老鹰]猛踩油门，想要超车，但没能如意后，只能烦躁地用手，捂住不断向外渗血的左肩。
1:40:28|1:40:39|此时[林凯]追着他们，来到路口，刚要转弯，就撞见了前来增援的毒贩，于是他调转方向，钻进一旁的楼道中，抬起车头，向上方开去。
1:40:44|1:40:49|暂时甩掉一众持枪毒饭后，他骑着摩托车，来到一个厨房里。
1:40:49|1:40:56|一扭头，看到地上的煤气罐后，先用脚踹下阀门，接着，抬起车头撞碎窗户，向对面飞去。
1:40:58|1:41:5|仿佛后背长眼一般，他突然掏出手枪，回身击中煤气罐。
1:41:5|1:41:11|于是，刚刚踏进厨房的毒贩们，立刻被炸得面目全非。
1:41:12|1:41:16|此时他受到爆炸的冲击，直直撞向对面宾馆的茶几。
1:41:16|1:41:24|捂着腹部缓了一会后，他迅速起身，跨上摩托车，撞碎门板，向楼道驶去。
1:41:25|1:41:34|原本正要下楼，哪料，此时突然冲上来一群毒贩，于是，他猛轰油门，冲上楼梯，来到了天台上。
1:41:35|1:41:41|环视四周，还没来得及确定往哪开，对面天台的毒贩就发现了他。
1:41:42|1:41:46|于是，他只能硬着头皮，直直向前奔去。
1:41:46|1:41:51|对面天台的毒贩见状，便不断开枪，向其扫射。
1:41:51|1:41:59|无奈，子弹总是从他身侧，擦边而过。终于，毒贩被惹恼了，
1:41:59|1:42:4|其中一人将火箭筒架在肩上，对准[林凯]的方向，发射出去。
1:42:4|1:42:12|炮弹擦过[林凯]的车尾，精准命中其身旁的水箱，整个天台迅速被火舌以及大水淹没。
1:42:13|1:42:20|趁着毒贩视线被爆炸遮挡，[林凯]再轰油门，从天台飞出，来到另一栋楼的楼顶。
1:42:22|1:42:29|一低头，看见[李建国]和[老鹰]疾驰的车之后，迅速向二人的方向追去。
1:42:29|1:42:35|此时，二人的车正一前一后，撞进菜市场。摊位上的水果全部被扫到地上。
1:44:30|1:44:40|眼看[老鹰]的车转过弯，依旧紧跟着[李建国]，[林凯]加速冲向路旁的轿车，借力腾入空中。随后，奋力一跃，抓住[老鹰]的车顶。
1:44:42|1:44:51|察觉到头顶有人，[老鹰]猛打方向盘，将[林凯]径直地甩到车前盖上。后座上的毒贩迅速开枪，
1:44:51|1:44:55|不料，被[林凯]闪身扒住车门后，抬手击中胸口。
1:44:55|1:45:2|[老鹰]浑身一颤，立刻将车撞向路边的货车。挂在侧门的[林凯]刚爬到车顶，
1:45:2|1:45:11|就被他一个刹车撞到面前的墙上。接着，[老鹰]迅速倒车，将[林凯]甩在地上，又猛踩油门撞向他。
1:45:12|1:45:20|好在[林凯]马上翻身，堪堪躲在墙壁与车头的正下方。
1:45:20|1:45:29|但不巧的是，他正好卡死在前轮的位置，[老鹰]则生气地捏着枪，用力打开驾驶座车门，走了下来。
1:45:30|1:45:39|[李建国]则不断看向后视镜，观察是否还有车辆追踪。此时，[老鹰]吼向[林凯]。
1:45:41|1:45:45|说罢，就举起手里的冲锋枪，对准他的脑袋。
1:45:45|1:45:52|正在要抠下扳机时，就被[李建国]高速驶来的车辆撞飞到了空中。
1:45:52|1:46:6|接着，[李建国]踹开车门，先用枪瞄准趴在地上的[老鹰]，随后，迅速来到[林凯]面前。[李建国]没听，而是立刻打开车门。
1:46:6|1:46:11|哪料，刚钻进驾驶室，就被身后驾车而来的毒贩打中后脚。
1:46:12|1:46:17|此时车辆移开，[林凯]迅速跑到他身边。
1:46:20|1:46:28|驾车而来的毒贩，疯狂向横在路中央的轿车扫射，[李建国]躲在车后，强硬要求[林凯]离开。
1:46:28|1:46:31|于是，他只能带着[张海涛]迅速撤离。
1:46:32|1:46:39|驶出一段距离，[林凯]透过后视镜看到，[李建国]牢牢守在车后，向前射击。
1:46:40|1:46:47|[张海涛]则转过身，眼睁睁看着他的背影，逐渐消失在视线当中。
1:46:47|1:46:54|此时，[李建国]一枪将驾驶坐上的毒贩爆头，随后，猫着腰，悄悄命中跑过来的毒贩。
1:47:45|1:47:51|此时，一名毒贩冲着[林凯]的方向，打出一枚流弹，并恰好击中顶在前方的车辆。
1:47:52|1:48:3|但[林凯]丝毫不惧面前爆炸，熊熊燃烧的飞车直直顶着他撞开路口处的车子，躲开之后的毒贩见状急忙上车，加速向[林凯]追去。
1:48:6|1:48:13|回到小镇里，[李建国]正仰面躺在地上，捂着胸口，不断向外呕血。
1:48:13|1:48:31|趴在地上的[老鹰]突然醒了过来，艰难抬头看了看四周，发现离自己不远处，有一把冲锋枪，同时也发现了对冲锋枪虎视眈眈的[李建国]。于是面对面的二人，争相向冲锋枪爬去。
1:48:31|1:48:40|不巧的是，枪距离[老鹰]最近，因此，他拿到手后，直接打中[李建国]的左肩。
1:48:40|1:48:45|看着痛苦的[李建国]，满脸是血的[老鹰]兴奋地问道。
1:49:8|1:49:14|[老鹰]听完，瞪大了双眼，左手撑在地上，右手却缓缓地将枪口抬起。
1:49:14|1:49:22|接着，对准[李建国]的肺部，就是一枪。看到[老鹰]又将枪口对准自己，
1:49:22|1:49:27|[清水]毫不犹豫扣动扳机，不料，子弹还是从自己胸前穿过。
1:49:27|1:49:36|瞬间，骨灰坛从手中脱离，她也仰面倒在路上。此时，一阵风吹过，
1:49:36|1:49:44|骨灰直接被扬入空中，口吐鲜血的[老鹰]看到后，用头和手部拼命地挪动自己。
1:49:44|1:49:50|望着一点一点被吹飞的骨灰，他双眼通红，嘴里不断呜咽。
1:49:50|1:49:56|想尽一切办法，要爬到骨灰坛的方向去，想要再亲手摸摸，玉楠留给自己随后的印记。
1:49:58|1:50:12|突然，[李建国]再次睁开双眼，望着已经爬到自己脚边的[老鹰]，他从身后掏出短刀，跪在地上，直直插进[老鹰]的背部。
1:50:12|1:50:19|[清水]望着这样的[李建国]，又想起了小时候，自己躲在木板下，看到爸爸被射杀的场景。
1:50:19|1:50:27|[李建国]温柔地拍拍她。
1:50:36|1:50:45|说完，[李建国]将手从她的嘴角上移开，又点了点她的鼻子，微笑着，随后，猫着腰，从木板下离开了。
1:50:45|1:50:51|如今，看到曾经不忍对自己痛下杀手的男人，落得浑身是血。
1:50:52|1:50:57|[清水]慢慢闭上双眼，泪从眼角流了下来。
1:51:12|1:51:16|夕阳西下，三个人就这样，久久倒在地上。
1:51:16|1:51:25|另一边，[林凯]驾车，急忙穿过一片半人高的稻田，即便扬起的灰尘挡住了后方毒贩的视线，
1:51:25|1:51:34|但对方疯狂扫射的子弹，让他仍不敢掉以轻心。此时，车辆穿过稻田来到树林里，
1:51:34|1:51:41|七扭八歪之后，向深处钻去。但[林凯]突然发现张海涛没了动静。
1:51:51|1:51:59|说完，[林凯]狠踩油门，穿过了又一个弯道，身后的毒贩，则架着机关枪，穷追不舍。
1:51:59|1:52:7|此时，[林凯]伸长脖子，望向天空，观察了树叶摇摆的方向后，从怀里，掏出信号枪。
1:52:7|1:52:14|接着，带有特殊标识的信号弹，绽放在河道上方。
1:52:20|1:52:24|直升机上，飞行员看到信号弹后，迅速报告方位。
1:52:25|1:52:29|河道上赶来的特警，则驾驶飞艇，向目标处进发。
1:52:29|1:52:38|此时，[林凯]从树林中钻出，在毒贩的疯狂扫射下，狠踩油门，直直向河道开去。
1:52:38|1:52:48|落水前，整个人扑向[张海涛]，用身体抵挡住了绝大部分水流带来的冲击力，然后奋力地将他从车内推出去。
1:52:49|1:52:54|此时，[张海涛]手脚并用，钻出水面，大口呼吸着新鲜空气。
1:52:54|1:53:0|见[林凯]却久久不见浮上来，原来他的鞋带缠在了离合上。
1:53:0|1:53:7|于是，他咬紧牙关，弯腰摸索。终于在最后一口气用完之前，顺利钻出水面。
1:53:7|1:53:18|二人的身影很快被驾驶飞艇的武警捕捉到，赶在毒贩冲他们开枪前，不断对岸上，进行火力压制。
1:53:19|1:53:24|看到救兵赶到，毒贩连忙后退，钻进车内，准备溜之大吉。
1:53:25|1:53:29|但特警早已锁定[老鹰]在小镇中所有的据点。
1:53:29|1:53:34|制毒工厂，还有运输线全部被大批武装力量一网打尽。
1:53:34|1:53:44|接着，[林凯]和张海涛二人被拉上飞艇，在多架直升机的护航下，转过弯，迎着夕阳，向中国的方向开去。
1:54:14|1:54:22|[林凯]身穿警服，来到墓地。
1:54:33|1:54:41|局长话音刚落，近50名手捧警帽的警察，庄严致意。
1:54:43|1:54:49|站在局长两侧的[林凯]和张海涛，望着[李建国]的墓碑，久久不愿意放下敬礼的右手。
1:55:11|1:55:16|此时，[林凯]回想起局长在办公室中对自己的嘱托，
1:55:16|1:55:24|终于，忍不住掉下了眼泪。张海涛则坐在轮椅上，看着享年36岁的战友。
