0:0:39|0:0:46|开门的是一个戴着贝雷帽的年轻男子，二人对视后，眼镜男提着篮子进入了报馆。
1:33:30|1:33:33|[林翔]驾驶车辆，推着飞机向前行驶着。
1:33:33|1:33:37|[秋山雅子]从地上爬起之后，飞快地跑上车辆。
1:33:37|1:33:40|接着抬腿一跨，就爬上了车。
1:33:40|1:33:43|然后他双手勒住[林翔]的脖子。
1:33:43|1:33:47|[贺兰芳]扭头看向这一幕，眼里充满了担心。
1:33:47|1:33:50|[林翔]一手把住方向盘，一手拿起团垫的尖刀。
1:33:51|1:33:58|他将尖刀卡在油门上，一个铜锋跃起，绊到了[秋山雅子]的身后。
1:33:58|1:34:6|二人在车辆的后方较量着，随着车辆的行驶，飞机的前轮渐渐抬起，俨然一副随时可以起飞的架势。
1:34:7|1:34:16|[秋山雅子]看到之后，连忙把卡在油门的尖刀取出，车辆缓缓慢了下来，飞机前轮也缓缓落在了地面上。
1:34:16|1:34:22|[林翔]一个翻越将尖刀踩断，另一端又将油门给拉下，车辆又向前行驶着。
1:34:23|1:34:31|[秋山雅子]嘴和[林翔]二人打得不可开交，大批日军从别的地方汇聚在这里，将飞机潜伏夹击。
1:34:31|1:34:37|[岑子默]也从另一条街道上跑过来，他看着眼神的明媚，心里思维着该怎么办。
1:34:38|1:34:41|这时，一辆敌方的大卡车行驶过来。
1:34:41|1:34:47|[岑子默]没有犹豫，直接爬上卡车，一脚将拿机枪的日军踏飞。
1:34:52|1:34:54|[梁栋]骑着摩托车赶过来，在飞机前开路。
1:34:56|1:34:59|他拿着手枪将迎面驶来的日军全部干掉。
1:34:59|1:35:5|摩托车也因为受到枪击而变得不受控制，[梁栋]最终跳车。
1:35:5|1:35:11|另一边，[岑子默]将车上驾驶室的两人干掉之后，也跳车才保住了性命。
1:35:11|1:35:13|[秋山雅子]拿着刀与[林翔]搏斗着。
1:35:14|1:35:20|凌翔一个弯腰躲了过去，接着就被踹到车辆的打昏玻璃前。
1:35:20|1:35:27|[秋山雅子]为了继续踹他，一脚将玻璃踢碎，凌翔看准时机，将他的腿死死抱住。
1:35:27|1:35:33|这时，飞机慢慢脱离地面，与车辆的链接也渐渐分开，然后朝着空中飞去。
1:35:34|1:35:42|凌翔看着车辆马上要撞向墙面，就将[秋山雅子]的腿弯折，然后跳车滚到了地面上。
1:35:42|1:35:48|断腿的[秋山雅子]没能做出反应，就随着车辆撞向了墙面，接着落入了海中。
1:35:56|1:36:2|三人看着飞机慢慢消失在视野中，他们也互相搀扶着体会劫后余生的轻松感。
1:36:2|1:36:6|在夕阳的映射下，三人的背影显得格外伟岸。
1:36:6|1:36:11|1945年9月2日，日本正是在无条件投降书上签字，画面逐渐变暗。
1:36:11|1:36:17|在亮起来时，[林翔]坐在一间简洁的房间里，窗帘被他拉上，整个房间显得很暗淡。
1:36:17|1:36:24|只有[林翔]身后的桌上有一盏灯亮着，他坐在桌前，戴着耳机，手指按压电台，给[贺兰芳]发着电报。
1:36:51|1:37:10|镜头慢慢拉向窗外，原本被窗帘拉上的屋子此时突然变得明亮，透过窗户看向屋外，街上的百姓们都在放着鞭炮庆祝，仅以此片献给隐蔽战线上的无名英雄，以及所有为新生活奋斗过的人们。
