0:1:55|0:2:3|五岳之地，深山奇里，竹林繁茂生长，冬雪两无痕迹。
1:53:39|1:54:9|以护其周全，远观其肃杀之气，[无鸾]亦不敢寸尽分毫这么大，其思虑如何应对之时，却听背后羽林卫冲身而上，于是凌空跃起奋力劈腿而出，将那两人逼退，落地时又转身向前将手中短剑支出径直击碎眼前与林卫之面具，其力道之大令内羽林卫翻倒在地，难以起身，再看[无鸾]以绳索勾连剑柄画，短剑做长鞭不乏奋，
1:54:9|1:54:16|限时恰如猛虎，驱驰进退间宛若蛟龙，越女软剑本已近身格斗见长。
1:54:16|1:54:29|如今[无鸾]借以长边把控克敌于三尺之外，令来犯之敌难以近身，唤回短剑[无鸾]路而大汉或者四溅如长虹，直指新帝，继而说到
1:54:50|1:55:4|殿上新帝炽令众羽林卫空出位置，自己则取了桌上金樽，回首俯瞰殿下[无鸾]，而后高声说道
1:55:6|1:55:12|说罢新帝举金樽，从左右羽林卫中穿山而过，稳步跨上台阶，往殿下行去坐上。
1:55:12|1:55:20|皇后已然拭去泪痕恢复如初，只是眼看形势大变，故而面容森寒。又见兄弟手帕毒酒，
1:55:20|1:55:36|将行至[无鸾]深浅，一时间气息难定，新帝无畏，立身于剑刃之下，目视[无鸾]，开口说道
1:56:15|1:56:24|眼至于此，新帝似是想到了什么。缓缓举头望向大殿穹顶，目中有泪光闪烁，徜徉许久
1:56:24|1:56:29|咽下喉中梗阻，方才开口说道
1:56:43|1:56:50|说罢又低垂眼帘，丝毫不顾及眼前见风，勿自作迷茫之状，继而感慨如斯。
1:57:3|1:57:20|说如此后，新帝就于[无鸾]剑下捧金樽置于唇边，将其中毒酒劲吞入喉，[无鸾]不解，却也不加阻拦，只默然看着眼前叔父吞咽毒酒，须于片刻之后新帝抛掷金樽余地，顿感不适，只觉气息虚浮，步履飘忽。
1:57:20|1:57:30|皇后见新帝如此，煞是双肩耸动，泪眼颇缩，却不知是不舍新帝而伤感，亦或是得偿如愿而喜气。
1:57:30|1:57:59|感受到自己已是弥留之际，新帝遂转身往殿上醒，去途中撤走，街上御林军又将顶上朝官摘下纳于怀中，带到行至皇后身侧，便置于其脚边，继而福贵于地瘫倒在皇后怀中，悠悠开口道新帝说如此便卸去了气力，躺倒在皇后怀中在看皇后，
1:57:59|1:58:6|将一双玉手蒙语心底额前脑后泪如雨下，方才之从容冷峻，已然消散无踪。
1:58:6|1:58:10|应是见得新帝痴情至此，故而涕零霸见。
1:58:10|1:58:23|新帝自吞毒酒轰毙内，世间猛地跪倒口中高呼，皇上驾崩，于是乎满朝文武皆贵服余地，以示祭奠。
1:58:23|1:58:30|羽林卫不再戒备分裂，殿下左右不动如山，宛如今时见新帝毒发身亡。
1:58:32|1:58:38|[无鸾]便将腕上绳索卸下，连同短剑一同摔落地上大仇得报，只见他仰望穹顶。
1:58:38|1:58:45|四是在悼念王父在天之灵正当此时却见皇后跪于身后开口说道，皇上，
1:58:56|1:59:3|任凭你处置见无伦不答，皇后又往其身前说如此便听[无鸾]开口。说道把这罪恶的称呼
1:59:16|1:59:40|[无鸾]出手攥住剑刃，只听[殷隼]交集道竟然有毒，果然只是须臾之刻，[无鸾]被匕首割伤之处已然蔓延溃烂，电光火石之间，皇后面如铁寒，去锁蓬短剑贯穿阴笋咽喉，继而转身查看[无鸾]伤口
2:0:9|2:0:30|匕首毒性刚烈，而[无鸾]亦无心苟活。如今大仇得报心愿已了，便于此时毒发身亡。
2:0:33|2:0:37|[婉后]声嘶力竭呼唤着爱人的性命，
2:0:37|2:0:49|他机关算尽却未曾想落得如此结局。大殿中横陈尸身四具有太常之子女先皇遗子，更有当今圣上满朝文武却无人问津，
2:0:49|2:0:57|只是于客座之上，以头抢地静观场中局势，群臣麻木如斯，实属罕见。今日夜宴，
2:0:57|2:1:32|朝殿内灯烛盈满，名如白昼，方才又绸光交错，莺歌燕舞，而如今却寂寥无比，寒溢阴沉[婉后]，就于此森寒之中，怀抱[无鸾]失身正更苦难自愈时却听殿上，那世间幡然醒悟，贵服余地，向[婉后]呼嚎道，女皇陛下万岁，夜宴至此，方休终是以[婉后]独登皇位落幕，
2:1:32|2:1:36|只是他之所爱以及爱他之人都已然离去，
2:1:51|2:2:8|钦此大雪漫天便见[殷太常]，蓬头垢面，身负霜雪，行于天地间垂垂老矣之时，唯有雪山玄宝玉屏风陪伴身侧，仿佛在讥讽着[殷太常]，于冰雪当中蛰伏一生所期待的情。
2:2:8|2:2:15|晴空万里，不过是白发人送黑发人的惨剧，织染居中，[婉后]黯然神伤，勿子开口
2:3:21|2:3:33|言至于此，[婉后]竟痴痴的笑了起来，今日他不施粉黛，铅华蔚然，好似又恢复了曾为婉儿的模样。他几乎趴伏在地颤抖双手。
2:3:33|2:3:43|抚摸着那团成就了他如今模样的茜素红布匹，抚摸着自己曾经炽热汹涌，如今却归于沉寂的欲望
2:4:32|2:4:47|言之于此，窃听剑锋争名，不知从何处而来的一支短剑与白雪分分中，穿堂而过，深入[婉后]府藏之中，借如此周遭内侍女眷纷纷逃离，竟无一人上前施救。
2:4:47|2:4:52|[婉后]戴梅锦簇只觉胸前火辣将怀中茜素红布匹扔下，
2:4:52|2:5:4|便见其心脏所在，已然被越女软剑贯穿，正待其察探之时，又见那短剑被人抽离消失无踪。[婉后]强忍着胸腹监知剧痛转，
2:5:4|2:5:31|转身一观，却于茫茫大雪中见到了一个她无论如何也想不到的人，正长持滴血之越女短见默然地望着他，[婉后]梦中惊诧无比，艰难指向那人似乎要说些什么，却终是气力散尽，陈诗织染居中，而行凶者也不上前查探，只是将那短剑泡进院内水瓮之中，溅起浮萍无数，随即离去。
