0:3:2|0:3:9|于是，他拿起垂在耳边的对讲机迅速作出指示。五辆车兵分三路，寻找骊靬古城。
1:44:28|1:44:37|突厥人则在阵后方有序地击打牛皮鼓，士兵们驾马踩着鼓点，便如离弦之箭般，窜下山头。
1:44:39|1:44:46|提比斯十万大军已头顶盘旋苍鹰，四面八方腹背受敌。
1:44:48|1:44:57|此时，[红日]快马冲至[冷月]身边，大吼着让她去营救[霍安]，说完，便率领大队人马直冲十万大军的方向。
1:44:59|1:45:5|眼看军队即将被三十六国联合军团围住，提比斯张开双臂，高呼作战。
1:45:7|1:45:24|伴随着轰鸣又极富规律的战鼓，位列大军最外侧的骑兵瞬间调转方向，朝东南西北四个角冲锋而去。然而此事到底还是难以抵挡酝酿杀意已久的联合军团。
1:45:24|1:45:32|[红日]一众部下骑马穿过其中一阵，手起刀落，守卫的长盾很快便被一分为二。
1:45:35|1:45:40|匈奴人则翻身下马，穿至步兵阵前，甩起手中勾着麻绳的飞石，就向对方投去。
1:45:40|1:45:52|扬起的沙土瞬间使守卫眯着双眼，匈奴人见此，勾起长纱护住口鼻，接着，举起长刀杀入阵中。
1:45:53|1:46:2|眼见一波进攻奏效，乌孙人也用同样的招式发起反击，石块所落之处，守卫无不被砸晕，倒在地上。
1:46:2|1:46:11|另一边，[霍安]一行人不得不从矮山顶处撤下，守卫正从山脚源源不断地向山上厮杀。
1:46:11|1:46:19|千钧一发之际，[冷月]从守卫背后射出一支冷箭，吸引对方的注意。接着。
1:46:19|1:46:26|率队踏马，冲向手持长盾长枪的守卫。排列整齐的阵型瞬间被冲散，
1:46:27|1:46:36|守卫们更是撇下马四散而逃。[霍安]见此连忙示意众人下山，随后他挪到[冷月]的面前。
1:46:44|1:46:51|看着手舞小腹，忍痛止血的[霍安]，[冷月]端坐于马上，瞪着水润的双眼坚定表态。
1:46:55|1:46:59|终于，提比斯被眼前凌乱的攻势所惹恼，接着，他便举起长剑怒吼进攻。
1:47:0|1:47:5|盔甲明亮的守卫，此次不仅鸣鼓，更有六人吹响了长号。
1:47:5|1:47:13|原本连连遇挫的守卫，此刻仿佛脱胎换骨一般，在乱战中接连斩杀数名联合军士兵。
1:47:13|1:47:24|只见那长枪近着寒光，直入士兵胸腹，带出的鲜血喷洒进大漠之中，很快，便被飞沙掩埋。
1:47:24|1:47:30|龟兹和乌孙的首领也在混乱之中被守卫包夹，乱枪直杵心脏。
1:47:30|1:47:35|身手了得的[老鼠]更是遭遇偷袭，一剑直穿小腹。
1:47:35|1:47:41|奋力厮杀的[雁头]，不慎被守卫猛推跌倒之后，也被人一枪戳中腰侧。
1:47:58|1:48:4|再一抬眼，[霍安]便看到此二人竟口吐鲜血，双双瘫软在山脚前。
1:48:4|1:48:10|肘部、背部、腿部连挨三刀的[殷破]单于也直直跪倒在地上。
1:48:10|1:48:16|姗姗来迟的[红日]，只能眼睁睁地看着守卫一刀砍下他的头颅。
1:48:16|1:48:23|被刺激到毫无章法发泄的[红日]，径直被守卫一刀割破肚皮。
1:48:24|1:48:32|此时一只苍鹰发出长叫，利爪直戳守卫的双目，[红日]见势，爬起身就一剑封喉。
1:48:32|1:48:39|但到底是寡不敌众，此时[红日]的周围竟已布满了盾剑齐备的守卫。
1:48:39|1:48:46|很快，众人便将他围挤在长盾之中，利用缝隙渐渐直入[红日]的胸腹。
1:48:48|1:48:56|待提比斯执剑而来，众人散开阵型，放出[红日]。接着，便见他浑身鲜血，仍然剑指提比斯。
1:48:59|1:49:6|但终是满身疮痍，斜斜地向一旁倒去。提比斯则勾着嘴角，欣赏他惨死的模样。
1:49:8|1:49:12|突然，乱阵远处扬起的风沙引起了他的注意。
1:49:13|1:49:18|夕阳之下，成排头顶尖帽，架着骏马的大部队，藩旗飘扬。
1:49:18|1:49:23|逐渐靠近之后，提比斯终于意识到这是安息国的人马。
1:49:24|1:49:31|再一听到对方竟然吹起了长号，谋臣阿格里立刻下令，马上退兵。
1:49:32|1:49:39|原本还与[霍安]等人激战的守卫，则默默地放下长枪，挪着步子向后面撤去。
1:49:39|1:49:43|不多时，[霍安]国的人马已经昂首行至战场前。
1:49:44|1:49:52|原本立于宝座旁，指挥守卫擂响战鼓的谋臣阿格里眼神一闪，赶忙向正前方的提比斯走去。
1:49:55|1:50:2|而提比斯则是紧紧盯着不远处，用头纱遮住大半面庞，华冠丽服的[安息国女皇]。
1:50:5|1:50:12|此时女皇身边的骑士突然暴怒地大吼道，正是提比斯，杀害了战神克拉苏。
1:50:12|1:50:23|同时也是他，毒瞎了自己的亲弟弟普里斯，察觉到一众手下怀疑的目光，提比斯反斥，这纯粹是无稽之谈。
1:50:43|1:50:52|而在女皇说话间，身边的侍从也将互助协议高举过头顶，向众人展示。
1:50:52|1:51:11|此时，提比斯听到[安息国女皇]的质问，亲手杀了父亲和弟弟会是什么感觉时，他仿佛又回到了毒害小王子的那间寝宫之中，正当他垂下双眼，呼吸急促之时，谋臣阿格里不知何时已经来到身边，轻声劝说道，
1:51:11|1:51:21|现在回头还来得及。接着伸出左手，向他讨要长剑。提比斯见此轻轻将自己沾满鲜血的手慢慢握了上去。
1:51:24|1:51:32|下一秒，竟一箭捅穿了阿格里的腹腔，然后低下头，轻轻在对方耳边低声说，
1:51:34|1:51:42|一个真正的英雄是永远不会回头的。说完一松手，阿格里便瞪大双眼，斜着向一旁倒去。
1:51:48|1:51:53|接着，他挺直腰板怒视周遭，称现在就来做个了断。
1:51:54|1:51:59|然而不论是守卫还是安息国的人马，都无人敢上前迎战。
1:52:0|1:52:6|提比斯嘲讽的话语还未说出口，便见他眼神一变，直直射向正前方。
1:52:7|1:52:25|原来是[霍安]拄着短剑从人群中一瘸一拐地走了出来，望着逐渐靠近的他，提比斯迈步上前，接着开口道，如果说，这一盘夺权大棋有什么失策的话，那就是低估了[霍安]从中起到的作用。
1:52:28|1:52:43|但[霍安]却不以为然，认为提比斯其实是低估了人性，而当对方询问他为何站出来时，[霍安]仅仅表示，是为了朋友卢魁斯。提比斯听此。冷然一笑，嘲讽着说。
1:53:9|1:53:23|此番回应，惹得众人振臂高呼，霍恩借势表态称，那就让我们彼此之间做一个了断，一定会给[霍安]一个罗马葬礼。话音刚落，[霍安]便提剑直冲提比斯面门。
1:53:23|1:53:29|然而提比斯身形更快，躲闪之间，狠劈长剑竟让[霍安]连退五步。
1:53:29|1:53:45|接着又骑身而上，手腕中的长剑如霹雳一般，直刺向[霍安]的腰间和臂膀，但剑招招被挡。提比斯悬起而跳，落地的同时狠狠劈向[霍安]的面门。
1:53:45|1:53:51|连忙用短剑举过头顶，护住身体的[霍安]，竟被这力道直直劈倒在地上。
1:53:51|1:53:56|狼狈爬起身之时，拿剑的手更是不受控制地颤抖着。
1:53:57|1:54:10|提比斯饶有兴趣地用长剑在空中点了点[霍安]的手腕，接着似浮光掠影一般逼至[霍安]身前，刀刃再次相接，又抬脚直踹他受伤的大腿。
1:54:11|1:54:17|眼看[霍安]仍不放弃，提比斯翻动手臂，转身向他袭去。
1:54:17|1:54:21|被长剑搅动的空气仿佛能悬下人的脑袋。
1:54:24|1:54:32|到底是身上有伤，[霍安]手臂发酸，连连败退后，丢了武器，又被一剑划飞了胸前的护甲，仰面倒地。
1:54:32|1:54:38|鲜艳的血液很快从胸前被割破的衣料中渗了出来。
1:54:39|1:54:49|提比斯反而陷入了乐趣，用长剑挑起掉落在一旁的短剑，走到[霍安]身边之后，俯下身递给他。
1:54:49|1:54:54|接过短剑后，[霍安]握住刀柄，不待起身就甩向提比斯。
1:54:54|1:55:4|被他轻巧一闪之后，[霍安]摇摇晃晃直起了身，刚砍了没两下，手中的剑又被提比斯击飞出去。
1:55:5|1:55:14|没了武器的[霍安]只能扬起左臂，用护甲一下一下抵挡提比斯那宛如千斤重的攻击。
1:55:14|1:55:30|终于，提比斯被[霍安]的大吼惹怒，先一剑砍断他的护甲，又一肘抡向他的脸庞，最后扬起一脚怒踹在他的胸口。仰面重重倒地的[霍安]仍然想爬起身。
1:55:30|1:55:39|但很快就又趴在了地上。此时，[提比斯]来到[霍安]身边，蹲下身子，慢慢用剑抬起他的脸庞，
1:55:39|1:55:44|轻声说道，戴着[卢魁斯]的发带根本就是不祥之兆。
1:55:48|1:55:52|而[霍安]趁机将右手探入腰后，抄出匕首翻身就向[提比斯]刺去。
1:55:52|1:56:1|不料被对方一眼看透，接着，[提比斯]竟一把掐住[霍安]的脖子，将他生生提了起来。
1:56:1|1:56:9|另一只手抓住[霍安]的手腕，调转方向，匕首便直直刺入了[霍安]的腰间。
1:56:9|1:56:16|看了看痛苦的[霍安]，[提比斯]抬手将[卢魁斯]的发带扯下，扔向一边。
1:56:16|1:56:21|随后，右手轻轻一推，[霍安]便软着身子倒了下去。
1:56:21|1:56:24|焦急的[冷月]瞪大双眼，看着缓缓爬向发带的[霍安]。
1:56:32|1:56:43|接着，在所有人呼喊的声音中，[霍安]双臂大张，艰难地挪动身子，终于用指尖碰到了[卢魁斯]的发带。
1:56:43|1:56:57|不屑的[提比斯]上前一步，一把拽起[霍安]的衣领，让他跪在地上，一边说着战斗结束，一边将脚伸向[霍安]的下巴，缓缓用劲，让其跪直身体。
1:57:4|1:57:14|正当提比斯高举长剑，准备进行斩首之时，囚牢中[卢魁斯]面目全非的怒吼，唤醒[霍安]。
1:57:16|1:57:21|接着，他用握紧发带的拳头，一击打弯提比斯的小肘。
1:57:22|1:57:30|还没来得及做出反应，提比斯便被[霍安]那左腕上，断了半截的护甲，划伤了脖颈。
1:57:30|1:57:37|接着[霍安]沉下身，双臂抱住提比斯的腰，发疯似地直直冲向守卫。
1:57:38|1:57:49|狠狠撞在长盾上的提比斯，抬手就向守卫求助，哪料众人竟全部躲开了他，口吐鲜血的他不解地望向自己的正前方。
1:57:50|1:57:57|安息国女皇则在此时道出了真谛，权力往往会暴露出人们最大的弱点。
1:57:57|1:58:10|望着正自东方落下的太阳，提比斯回想起，自己出征时意气风发的模样，而他坚信，一个真正的英雄是永远不会回头的。
1:58:13|1:58:20|接着，他强忍从脖子上传来的疼痛，弯下腰将身前的[霍安]缓缓拽起。
1:58:21|1:58:35|利落又迅速地拔出那柄捅进腰侧的匕首，然后将其放进二人的胸膛之间，利刃没入肉体的声音，瞬间使[霍安]瞪大了双眼。
1:58:36|1:58:46|接着，他扭过头直直地看向提比斯，对方竟直直地向后面倒去，心脏处竟赫然插着那把匕首。
1:58:46|1:58:53|一时之间，谁也没有看清，这把胸膛上的匕首到底是由谁所为。
1:58:53|1:58:57|而[霍安]也在提比斯倒下之后，喘着粗气缓缓跪在了地上。
1:59:43|1:59:51|此时，一阵清风吹过，他终于也缓缓闭上了双眼。
1:59:52|2:0:1|经此一战，鉴于罗马义士的忠勇可嘉，大汉元帝特意下诏，允许罗马人在丝绸之路上建立城市。
2:0:1|2:0:12|而普里斯王子身份尊贵，因此将罗马语中王者一词作为此城之名，翻译为汉语便是骊靬。
2:0:13|2:0:20|此外，由于[霍安]保证了大汉边界的稳定，因此皇帝破例允许了他的请求。
2:0:20|2:0:27|罗马士兵和雁门关众义士皆归属于都护府，并组成新的西域和平新军。
2:0:28|2:0:37|于是在骊靬古城建好之后，[霍安]便和罗马士兵一起，将霍去病的盔甲立于城中央，高耸入云的石柱之上。
2:1:27|2:1:34|但随即，[霍安]又想起多年前，自己在雁门关遇到霍去病将军的情景。
2:1:34|2:1:50|当时霍去病怒指城池，豪言要让三十六国旗帜升起在这雁门关外的愿望，如今不仅达成了，更让化敌共存的目标，有了实体的承载。骊靬这座古城，便是最好的证明。
2:1:54|2:2:1|卢魁斯副手的声音将[霍安]从回忆中拉了出来，听到对方称自己为军团首长。
2:2:2|2:2:8|[霍安]又再次想起[卢魁斯]当初在残破的城墙上，问出的那番话。
2:2:10|2:2:16|倘若明天就会失去今天所结交的朋友，是否还值得结缘呢。
2:2:17|2:2:25|如今，望着身披重甲，一脸凝重的副手，[霍安]郑重道谢，曾经那个问题的答案已然有了结论。
2:2:25|2:2:36|面前这高耸入云的卷云甲，更加诠释了[霍安]一直以来所追求的，化敌共存的意义。
2:2:36|2:2:45|时光流转，岁月更迭，虽然那用顽石铸成的猛禽之翼，在风霜之下，早已残破不堪。
2:2:46|2:2:54|但它所代表的和平、友爱以及团结之意，仍在那历史长河中散发出耀眼的光芒。
2:2:54|2:3:2|通过卫星复原出整个故事之后，[凯瑞娜]十分开心能和[克里斯提]一同见证这段历史。
2:3:4|2:3:12|低头看向靠在自己肩膀上的[凯瑞娜]，[克里斯提]也同样感叹于[霍安]等人这感人至深的情谊。
