0:1:54|0:2:2|画面中，羊孤独的身影在冰雪中前行，艳阳当空，两只狼悄悄地跟在它的身后。
1:32:20|1:32:39|[杨柳松]看着这摧毁力极强的巨大风力愣在原地，他突然想起身后的帐篷与自行车立刻飞搬而去，可龙卷风早已迅雷不及羊耳之势袭来，心急如焚的[杨柳松]拼命加快速度，可还是眼睁睁看着自己的东西被卷入漩涡之中。
1:32:40|1:32:45|还来不及反应，那巨大的龙卷风就冲了[杨柳松]疯狂地扑过来。
1:32:48|1:32:55|尽管[杨柳松]起的风沙模糊了他的视线，可他还是使出浑身解数，卖力地向前奔跑。
1:32:55|1:33:1|可很快，[杨柳松]就被漫天飞舞的黄沙所笼罩，整个人被卷入了漩涡之中。
1:33:1|1:33:6|[杨柳松]失去意识，此刻好似坠落在深海中，慢慢向底部沉去。
1:33:7|1:33:15|头顶上方的一丝光亮也逐渐变得越来越暗，此时，他潜意识里出现与[蓝天]告别的那一天。
1:33:15|1:33:23|坐在车里的[蓝天]摇下车窗微笑地看着他，正对面的夕阳发出闪闪光亮，映照着他漂亮的脸庞。
1:33:23|1:33:30|[杨柳松]站在车窗前，依依不舍地看着她，可喉咙却好像被堵住一样说不出一句话。
1:33:30|1:33:38|[蓝天]盯着她看了许久，随后拿起一旁的相机跌了过去，[杨柳松]低头看着相机沉默不语。
1:33:44|1:33:48|[杨柳松]将相机拿在自己的手上，[蓝天]主辅导。
1:33:51|1:33:56|[蓝天]委婉地关心，让[杨柳松]的内心涌入一阵暖流。
1:33:56|1:34:1|他笑着看了看[蓝天]，随后便骑车踏上去往枪堂的方向。
1:34:1|1:34:6|坐在车内的[蓝天]双手合十，一脸担忧地闭着眼睛祈祷。
1:34:6|1:34:12|[杨柳松]的身影逐渐离他越来越远，[蓝天]看着他的背影，挤出一丝笑容。
1:34:24|1:34:29|此刻，即将坠入海底的羊，仿佛听到[蓝天]内心的呼唤。
1:34:29|1:34:35|它极力伸展双臂，不断向上游动，向着头点的光亮拼尽全力。
1:34:35|1:34:41|画面转回现实世界，熟悉的广阔无际沙漠再次出现在眼前。
1:34:41|1:34:44|羊面朝下，趴在沙子里一动不动。
1:34:44|1:34:52|过了一会儿，它逐渐恢复意识，翻了个身从地上爬起，衣服与背包上的沙子也跟着不停地向外洒出。
1:34:53|1:34:58|他眯着眼睛回头看了看，只见[小狼]仔就在不远处，定定地看着他。
1:35:8|1:35:16|暮色将至，天空突然变得昏沉，远处的一群脚马仿佛被追赶似的不断向前奔跑。
1:35:16|1:35:22|连绵不绝的山丘外，一群牦牛正排着队向另一座更高的山丘走去。
1:35:22|1:35:26|洋溢眼望去，到处都是由金一色的沙子堆砌而成。
1:35:27|1:35:38|无数道沙石涌起的褶皱如同凝固的波涛，一直延伸到远处与天际相接，根本想象不出哪里才是沙的尽头。
1:35:38|1:35:42|没有改变的是，[小狼]仔依旧紧紧地跟在羊的身后。
1:35:57|1:36:15|大雁在空中呼响而过，飞向自由的远方，精疲力竭的羊躺在地上，看着这漫漫长空，周围被洪水冲刷过的地方已经变成一片泥泞的沼泽地，羊眼神空洞，不知道自己是否还能走出这片荒地。
1:36:15|1:36:19|他的脸由于风沙的吹打，变得更加有黑粗糙。
1:36:19|1:36:23|仅剩一只的登山杖，也被他死死地抓在手里。
1:36:23|1:36:27|此时，饥饿无比的[羊]，心跳也开始变得急促。
1:36:30|1:36:31|这时，画面转到客栈。
1:36:32|1:36:41|[蓝天]坐在轮椅上看着地图，上面画着横穿羌膛的路线图，估计所用时间应该是80天。
1:36:41|1:36:48|[杨柳松]此时到底在经历什么，[蓝天]一概不知，他只能默默祈祷着，等到[杨柳松]平安归来的那一天。
1:36:54|1:37:1|今天是穿越羌塘的第69天，所处之地位于海拔5428米。
1:37:1|1:37:12|[羊]拄着登山杖，一瘸一拐的身影出现在满是沙粒的峭壁边缘，峭壁上显露出一条条整齐的横纹，极力地展现着大自然的鬼斧神工。
1:37:13|1:37:17|[大狼]仔则露出一颗脑袋，注视着[羊]的身后。
1:37:17|1:37:21|河面的一处薄冰下方，几条鱼在里面肆意乱窜。
1:37:21|1:37:30|[羊]趴在一旁，手里拿着石头，一下又一下地捶着冰面。
1:37:30|1:37:35|隐隐传来的咚咚声，吓得海底的鱼四处游荡。
1:37:35|1:37:42|[杨柳松]依旧保持着原来的姿势，不断地击打冰面，丝毫不在意冰渣子冲着脸庞到处飞溅。
1:37:54|1:37:59|[杨柳松]累得气喘吁吁，已经没有力气再举起石头。
1:37:59|1:38:6|他用手拨开砸下来的冰渣，却发现自己的努力对于厚实的冰层来说于事无补。
1:38:6|1:38:10|[小狼]仔站在一旁，嘴里也发出可怜的哼唧声。
1:38:10|1:38:18|无奈之下，[杨柳松]只好带着[小狼]仔再次出发，万万没想到爬过山丘后，迎来的是更加陡峭的下坡路。
1:38:18|1:38:23|[羊依旧]一手撑着登山杖，侧着身子缓缓地迈动脚步。
1:38:23|1:38:29|狼仔则安心地呆在背包里，跟随[羊依旧]身体的抖动晃来晃去。
1:38:29|1:38:34|已经几天没有吃饭的[羊依旧]，感觉脚底也如同踩了棉花一样使不上力气。
1:38:34|1:38:40|它稍不留神腿软了一下，便跌跌撞撞地从山坡上冲了下去。
1:38:40|1:38:42|可眼前的一幕再次让人绝望。
1:38:43|1:38:48|那一眼望不到头的沙漠如同复制粘贴一般再次出现。
1:38:48|1:38:58|这一天是穿越羌塘的第七十四天，海拔四千五百五十七米，[杨柳松]眯着眼睛张着干瘪的嘴巴看向前方。
1:38:58|1:39:4|它再也撑不住，一下跪在原地，[大狼]伸出舌头喘着气，也默默地停下。
1:39:4|1:39:9|一阵寒风吹过，将散落在两旁的头发变得更加凌乱。
1:39:9|1:39:19|[杨柳松]扎了一下干裂的嘴唇，时不时抬起沉重的眼皮看向前方，一旁可爱的小狼仔在他的袖口蹭来蹭去撒着娇。
1:39:19|1:39:23|[杨柳松]伸手将他抱在自己的腿上，轻轻地揽入怀里。
1:39:24|1:39:28|狼仔开心地舔了舔羊的手腕，吐出舌头，喘着热气。
1:39:28|1:39:36|羊低头看了眼狼仔，眼神忽然变得异常坚定，无边的沙海中点缀着一层层沙流。
1:39:36|1:39:41|他们凭借顽强的毅力，将根深深地扎在沙土之中，艰难地存活着。
1:39:42|1:39:47|[杨柳松]不再犹豫，撑着登山杖站了起来，再次向前出发。
1:39:47|1:39:54|夜色抹去最后一丝残阳，夜幕就像剧场里的幕布，慢慢地落了下来。
1:39:54|1:40:4|[杨柳松]利用电击棒将一滩丛柳点着，在火光的映照下，他的脸变得忽明忽暗，[大狼]仔远远地看着燃烧的丛柳，有一丝好奇。
1:40:5|1:40:15|多天以来的断粮使整个人变得晕头转向，他转头看着火光前的[小狼]仔，不由地产生了一种可怕的欲望。
1:40:15|1:40:23|今天已经是第七十五天，此时，[蓝天]拄着登山杖，一拳一拐地向高耸的沙丘进发。
1:40:23|1:40:28|他力气不支，脚一软跪在了沙地上，不停地喘着粗气。
1:40:28|1:40:35|[小狼]仔看到后，立刻跑了过来，发出心疼的哼唧声，可[蓝天]却拿起登山杖打向他。
1:40:57|1:41:4|一阵冷风袭来，扬起地表的细沙，[蓝天]继续撑着登山杖，颤颤巍巍地向前走去。
1:41:4|1:41:9|[小狼]仔不顾它暴力的阻拦，依旧紧紧地跟在身后。
1:41:9|1:41:17|日进黄昏，无数道沙石涌起，褶皱如同凝固的浪涛，一直延伸到远方的地平线。
1:41:17|1:41:20|这时，身后的山峰却出现了狼群的影子。
1:41:40|1:41:48|羊饿了几天几夜，拖着快要散架的身躯走得越来越慢，[大狼]仔则默默地跟在它的旁边。
1:41:48|1:41:59|今天是旅程的第76天，海拔位于4550米，这时，羊再也支撑不住，闷头倒下，渐渐失去意识。
1:41:59|1:42:2|繁星点点的闪耀银河出现在羊的脑袋里。
1:42:3|1:42:12|这时，他感受到手里传来一阵温暖，迷迷糊糊地睁开眼，一只纤细的手轻轻地与自己的手食指相扣。
1:42:12|1:42:21|羊忍不住转头，向旁边看去，发现[蓝天]握着自己的手躺在旁边，脸上带着温暖的笑意。
1:42:21|1:42:27|躺在一旁的羊看着熟悉的面孔有点发神，此时，他如梗在喉，一句话都说不出来。
1:42:28|1:42:36|[蓝天]穿着与寻常不同的服饰，笑盈盈地看了她一眼，随即转头看向挥洒在高空中的满天银河。
1:42:36|1:42:42|很快，她的眼神变得极其哀伤，随后，深深吸了一口气，说道。
1:43:46|1:43:51|[蓝天]说话时的眼睛亮晶晶的，眼神散发出对自由的向往。
1:43:51|1:43:57|他看着头顶的满天星河，随即嘴角露出一抹释然的笑容。
1:44:1|1:44:6|紧接着，他伴随着手中的温暖，满足地闭上双眼。
1:44:6|1:44:10|一旁的[蓝天]张开双臂，脸上充满幸福的微笑。
1:44:10|1:44:25|两人手牵手躺在灿烂银河下的身影，渐渐变得越来越远，画面逐渐陷入一片漆黑之中。
1:44:25|1:44:34|只见一瞬间乌云密布，黑云压着天空，一道道闪电从空中劈开，仿佛有吞噬天地的气势。
1:44:34|1:44:38|[小狼]被轰隆隆的雷声所吓醒，很快歪着脑袋又睡去。
1:44:45|1:44:54|一群恶狼疯了似的向他们的方向跑来，而此时，躺在地上的羊却一动不动。
1:44:54|1:45:0|察觉到异样的[小狼]立刻醒来，可羊手握着哨子依旧没有任何反应。
1:45:0|1:45:3|他着急地跑到羊的身边，试图将它唤醒。
1:45:35|1:45:41|清晨的沙丘在阳光下一如既往地沉默着，浩瀚连绵一望无际。
1:45:41|1:46:2|他经过亿万年的沉淀和磨难，安然地注视着所有的变化和叙事的流转，超然物外，炎日下的沙粒透出一丝丝热气，他也望去，似乎脚下的这片黄沙都飘着一种淡淡且延续的热波，七十七天在沙海中的奔波与严寒饥饿的对抗。
1:46:2|1:46:9|在踏入这片变化莫测的土地之前，他也不知道这会不会是一次有去无回的旅程。
1:46:10|1:46:14|客栈门前的[蓝天]坐在轮椅上，像是早已等候多时。
1:46:14|1:46:25|他身着一袭束缚，从轮椅上站起来，走出门外站在台阶上，头顶的阳光照在他明媚的脸庞上，他却忍不住抬手遮挡。
1:46:25|1:46:31|随着镜头渐渐拉近，他慢慢伸出自己的另一只手，弯下腰露出甜美的笑容。
1:46:32|1:46:46|阳光渐渐地温暖起来，洒在世界里抚摸着万物，天里的风也开始慢慢地温和下来，拂面而过不再凉意无限，[蓝天]的脸也逐渐在太阳的光辉下消失不见。
1:46:46|1:46:54|落日余晖下，[小狼]蹦蹦跳跳的身影逐渐显现，[杨柳松]头看着他，拄着登山杖倒退着向后跳。
1:46:55|1:47:2|他飘逸的中长发，肆意地被吹到耳后，地上的沙尘也跟随他的脚步不断地扬起。
1:47:2|1:47:9|随后，他躺在遍布丛柳的沙地上，双手抱起[小狼]，撅着嘴，假装发出嚎叫声。
1:47:9|1:47:20|[小狼]这时却起了兴致，拼命扬起脑袋张大嘴巴，发出撕心裂肺的嚎叫声，叫声中含着悲痛，而[杨柳松]的脸上却露出欣慰的笑容。
1:47:21|1:47:27|2010年，[杨柳松]首次尝试徒步恒川羌塘无人区。
1:47:27|1:47:34|2014年，[李聪明]在恒川羌塘无人区时，于可可西里乐协舞弹壶失踪。
1:47:34|1:47:40|2016年，[吴万江]历时52天首次完成了羌塘无人区的恒川路线。
1:47:41|1:47:46|一个人，一辆自行车，一个帐篷，七十七天横穿羌膛。
