0:1:28|0:1:34|驾驶员下了车径直冲向俱乐部入口。
1:38:22|1:38:38|[路小星]伸出双手边摸边爬，突然摸到母亲买给她的震动导盲探测器，但此时唐铮已经站到[路小星]身后，他半跪到[路小星]身边，将[路小星]肩膀牢牢摁住，又轻而易举的将让[路小星]翻过身，掐上她的脖子。
1:38:43|1:38:47|唐峥表情癫狂，已经将[路小星]当成了妹妹唐倩。
1:38:55|1:39:15|[路小星]被掐得喘不上气，他神情涣散，唐峥死死盯着[路小星]不放，手中力道更重了，[路小星]抬手无力的=地捶了几下唐峥胸口，随后皱着眉头紧闭双眼，突然唐峥歪着脑袋倒向一边，背后站着握紧球棍的[林冲]，他痛苦地捂着腹部将[路小星]扶到吧台边，
1:39:18|1:39:24|[路小星]恍惚间睁开双眼，[林冲]将她的手放到自己脸上。
1:39:27|1:39:32|[路小星]急忙从口袋里掏出一串钥匙塞到[林冲]手里。
1:39:34|1:39:47|[林冲]诧异地看着手中钥匙，又看向落地窗快走，[林冲]低下头将[路小星]一只手搭到自己肩上，转身走向落地窗，有了钥匙咔三两下便解开铁链。
1:39:49|1:40:8|来，[林冲]再次浮起几近昏迷的[路小星]准备起身，不料发现唐峥已经挣扎站起，[林冲]慌忙扶起[路小星]推开落地窗朝屋外跑去，只见唐争手扶墙壁嘶吼着扑向落地窗，[林冲]急忙回身关窗却被唐峥冲开，[路小星]被甩到旁边台子上，[林冲]和唐峥摔进游泳池里耶。
1:40:16|1:40:20|[林冲]爬起身再次扑向唐峥，唐峥扭住[林冲]胳膊将他摔进雨中。
1:40:37|1:40:45|另一边是被拴在车里时，无助嘶吼的[梁聪]，[路小星]，仿佛又回到当年的车祸现场。
1:40:58|1:41:11|[路小星]一手撑地用力站直身子，仿佛还是当年车祸后强行起身那副模样[路小星]恍惚地扶着额头向前走了几步后再次摔倒。
1:41:11|1:41:20|但她没有放弃，依旧挣扎着向前爬去，[路小星]的手在地上摸索着，突然摸到了她买给[梁聪]的游客里里。
1:41:20|1:41:27|这仿佛赐予[路小星]无尽的力量，她将尤克里里紧紧抱在怀里，再次强撑着站起身。
1:41:34|1:41:47|唐峥仿佛不知疲倦，他将[林冲]从水里托起，一拳拳砸在[林冲]脸上，而记忆中[路小星]走到车前，[梁聪]双手附在副驾把手上，看向她的眼神依旧充满惊恐与绝望。
1:41:47|1:42:2|[路小星]泪流满面的看着车内的弟弟，颤抖着伸出手轻轻抚在车窗上，另一只手紧握车把，拼命拉扯着车门却纹丝不动，她又拍打起车窗，不知还能怎么办。
1:42:2|1:42:12|此刻她似乎只有哭这一件事可以做，她嘶吼着又不甘心拽着车门把手，依旧没有任何作用，她无力拍着车窗痛苦而绝望。
1:42:13|1:42:21|[林冲]被摔在地上又扑向唐峥小腿，他刚将唐峥扑倒在地，又被唐峥一脚踹进雨水中，[路小星]依旧沉浸在记忆中。
1:42:21|1:42:27|他无助的趴在车窗边，不知道该怎么办才。
1:42:27|1:42:32|记忆中的[梁聪]依旧很清晰，正眼泪汪汪地看着她。
1:42:36|1:42:46|小时候他一直在被[梁聪]鼓励着，而如今依旧如此，[路小星]靠着墙壁缓缓站起身，他睁开双眼再次看到记忆中[梁聪]清晰的面孔。
1:42:46|1:42:55|[梁聪]眼中没有绝望，没有惊慌，只有无尽的鼓励和感激，他冲[路小星]点头，似乎在告诉她，你一定行。
1:42:55|1:43:1|他的笑容让[路小星]终于走出过去，想到这里小心坚定的转向唐峥。
1:43:6|1:43:26|唐峥一把将[林冲]推进水中，怒目圆瞪走向[路小星]，[林冲]在水中挣扎着，试图阻拦唐峥步伐，可之前一切耗费太多精力，他终究无力地倒倒在水泊中，唐峥走出泳池，从口袋中掏出手术刀悄悄向[路小星]走去，[路小星]静静地站在雕塑旁。
1:43:30|1:43:38|周围声音太嘈杂，极其影响[路小星]判断，她闭上双眼判断唐峥方向。
1:43:41|1:43:52|随着手中导盲探测器的震动，[路小星]脑海中已经浮现出唐峥的确切位置，眼前男人的画面越发清晰，她狰狞着慢慢向自己靠近。
1:43:52|1:44:9|[路小星]依旧紧闭双眼，认真侧耳聆听着手中导盲器握得越发紧，导盲器振动频率越来越高，此时唐峥按捺不住心中怒火，手举手术刀狂奔而来脑海中人影越发近了，[路小星]清楚感受到他冲了过来举起了刀子，[路小星]猛然睁开双眼。
1:44:9|1:44:17|尽全力将尤克里里挥了过去，脑海里的男人瞬间化为灰烬，而在现实中[路小星]将唐峥扇晕了过去。
1:44:17|1:44:24|她放松下来，虚脱地跪在地上，[林冲]也终于爬出泳池，松了口气跪倒在地。
1:44:24|1:44:31|警笛响起，[路小星]知道自己得救了，几辆警车闪烁着刺眼的警灯，呼啸着驶进别墅。
1:44:31|1:44:39|[路小星]也撑不住一点点向后倒去，而罪魁祸首唐峥毫无知觉地躺在一边，等待他的将是正义的审判。
1:44:39|1:44:45|看着[路小星]，[林冲]露出笑容。
1:44:47|1:44:56|警方成功到达现场，[路小星]二人都得救了。
1:44:58|1:45:3|这是一个大型演唱会现场，舞台屏幕上播放着[梁聪]照片，台上站着演唱会的举办者。
1:45:4|1:45:11|他们都是[梁聪]曾经的乐队成员，台下荧光棒不停挥舞着横幅和登台写着乐队的名字。
1:45:48|1:45:57|突然舞台灯光闪烁起来，节奏变换，让原本柔情的气氛瞬间变得活跃。
1:45:57|1:46:5|舞台背景突然化为漫天星河，台下黑压压一片，只能看到粉丝们的荧光棒在闪烁，吉他手熟练地拨动琴弦。
1:46:5|1:46:15|台下拉满了写着北极星我爱你的横幅，此时一个黑影走上舞台，全场瞬间安静。
